阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
納稅,纳税,nà shuì,"to pay taxes"
納稅人,纳税人,nà shuì rén,"taxpayer"
乃,乃,nǎi,therefore
乃至,乃至,nǎizhì,"conj.: even, go so far as to"
耐,耐,nài,"endure, durable, stand, withstand, be able to bear or endure, bear, resistance, resist"
耐人尋味,耐人寻味,nài rén xún wèi,"thought-provoking, worth thinking over, to provide food for thought"
耐性,耐性,nài xìng,"patience, endurance"
南瓜,南瓜,nán guā,"pumpkin"
難處,难处,nán chu,"trouble, difficulty, problem"
難得一見,难得一见,nán dé yī jiàn,"rarely seen"
難點,难点,nán diǎn,"difficulty"
難怪,难怪,nánguài,no wonder
難關,难关,nán guān,"difficulty, crisis"
難堪,难堪,nán kān,"hard to take, embarrassed"
難說,难说,nánshuō,"Hard to say"
難為情,难为情,nán wéi qíng,"embarrassed"
難以想象,难以想象,nányǐxiǎngxiàng,"Unimaginable"
難以置信,难以置信,nán yǐ zhì xìn,"hard to believe, incredible"
撓,挠,náo,"to scratch, to thwart, to yield"
惱羞成怒,恼羞成怒,nǎo xiū chéng nù,"to fly into a rage out of humiliation, to be ashamed into anger (idiom)"
腦海,脑海,nǎohǎi,"brain, mind"
腦筋,脑筋,nǎojīn,"way of thinking, ideas, head, mind, skull, brains"
鬧事,闹事,nào shì,"to cause trouble, to create a disturbance"
鬧著玩兒,闹着玩儿,nàozhewánr,"to play games, to joke around, to play a joke on sb"
內存,内存,nèi cún,"internal storage, computer memory, random access memory (RAM)"
內閣,内阁,nèigé,cabinet
內涵,内涵,nèihán,"intension, comprehension, intention, connotation"
內行,内行,nèi háng,"expert, adept, experienced, an expert, a professional"
內幕,内幕,nèi mù,"inside story, non-public information, behind the scenes, internal"
內向,内向,nèi xiàng,"reserved (personality), introverted, (economics etc) domestic-oriented"
內需,内需,nèi xū,"domestic demand"
嫰,嫩,nèn, nèn,"old variant of 嫩[nen4], tender, delicate"
能耗,能耗,nénghào,"Energy consumption"
能耐,能耐,néng nài,"ability, capability"
能人,能人,néng rén,"capable person, Homo habilis, extinct species of upright East African hominid"
能源,能源,néngyuán,"energy sources, energy, juice, power sources, energy resources, the sources of energy, sources of energy"
尼龍,尼龙,ní lóng,"nylon (loanword)"
泥潭,泥潭,ní tán,"quagmire"
泥土,泥土,nítǔ,"dirt, muck, earth, marl, soil, soli, clay, clart"
擬,拟,nǐ,"intend, plan"
擬定,拟定,nǐdìng,"formulate, conjecture"
逆,逆,nì,"contrary, opposite, backwards, to go against, to oppose, to betray, to rebel"
匿名,匿名,nì míng,"anonymous"
年畫,年画,niánhuà,"New Year picture, New Year pictures"
年邁,年迈,nián mài,"old, aged"
年限,年限,nián xiàn,"age limit, fixed number of years"
年薪,年薪,nián xīn,"annual salary"
年夜飯,年夜饭,nián yè fàn,"New Year's Eve family dinner"
年終,年终,nián zhōng,"end of the year"
黏,黏,nián,"sticky, glutinous, to adhere, to stick"
念念不忘,念念不忘,niàn niàn bù wàng,"to keep in mind constantly (idiom)"
念書,念书,niànshū,"read, study"
念頭,念头,niàntóu,"thing, purport, spirit, intention, idea, vision, notion, thought, train, intent"
孃,娘,niáng, niáng,"variant of 娘[niang2]"
釀造,酿造,niàng zào,"to brew, to make (wine, vinegar, soybean paste etc) by fermentation"
鳥巢,鸟巢,niǎo cháo,"bird's nest, nickname for Beijing 2008 Olympic stadium"
尿,尿,niào, suī,"to urinate, urine, CL:泡[pao1], see 尿[niao4]"
揑,捏,niē, niē,"variant of 捏[nie1]"
擰,拧,níng, nǐng, nìng,"to pinch, wring, mistake, to twist, stubborn"
凝固,凝固,níng gù,"to freeze, to solidify, to congeal, fig. with rapt attention"
凝聚,凝聚,níngjù,"condense (of vapor), coalesce, concentrate"
寧可,宁可,níngkě,"(would) rather, better"
寧願,宁愿,níngyuàn,"prefer, (would) rather, better, choose"
扭曲,扭曲,niǒuqū,distort
扭頭,扭头,niǔ toú,"to turn one's head, to turn around"
扭轉,扭转,niǒuzhuǎn,"turn round/back, reverse, remedy (a situation)"
紐帶,纽带,niǔ dài,"tie, link, bond"
紐扣,纽扣,niǔ koù,"button"
農場,农场,nóngchǎng,"rancher, pen, farming, wick, ranch, hacienda, grange, farm, homestead, farmstead, plantation, steading, land"
農曆,农历,nónglì,"farmer's_calendar, lunar calendar, lunar_calendar"
農民工,农民工,nóng mín gōng,"migrant workers"
農作物,农作物,nóng zuò wù,"(farm) crops"
濃厚,浓厚,nónghòu,"thick, strong, dense, rich, pronounced"
濃縮,浓缩,nóng suō,"to concentrate (a liquid), concentration, espresso coffee, abbr. for 意式濃縮咖啡|意式浓缩咖啡"
濃郁,浓郁,nóng yù,"rich, strong, heavy (fragrance), dense, full-bodied, intense"
濃重,浓重,nóng zhòng,"dense, thick, strong, rich (colors), heavy (aroma), deep (friendship), profound (effect)"
弄虛作假,弄虚作假,nòng xū zuò jiǎ,"to practice fraud (idiom), by trickery"
奴隸,奴隶,nú lì,"slave"
女婿,女婿,nǚ xu,"daughter's husband, son-in-law"
暖烘烘,暖烘烘,nuǎn hōng hōng,"nice and warm, cosy, heartwarming"
虐待,虐待,nüè dài,"to mistreat, to maltreat, to abuse, mistreatment, maltreatment"
挪,挪,nuó,"to shift, to move"
諾言,诺言,nuò yán,"promise"
哦,哦,ó,particle: used when informing sb. of st. (to draw people's attention); indicating mild imperative/suggestion/exclamation/guess/etc.
毆打,殴打,ōudǎ,"beat up, come to blows"
嘔吐,呕吐,ǒutù,"heave, barf, sick, puke, gag, vomit, cat, upchuck, reject, spew, vomitive, disgorge, bring_up, be sick, regorge, heave_up, throw up"
趴,趴,pā,"to lie on one's stomach, to lean forward, resting one's upper body (on a desktop etc), (Taiwan) percent"
拍板,拍板,pāi bǎn,"clapper-board, auctioneer's hammer, to beat time with clappers"
拍賣,拍卖,pāi mài,"to auction, auction sale, to sell at a reduced price"
拍戲,拍戏,pāi xì,"to shoot a movie"
排斥,排斥,páichì,"repel, exclude, reject"
排放,排放,páifàng,"discharge, drain off (gas/etc.)"
排練,排练,pái liàn,"to rehearse, rehearsal"
徘徊,徘徊,páihuái,"perambulate, fluctuate, roll, hesitation, mosey, pace up and down, tarry, divagate, peripatetic, roam, stray, vacillate, linger, hover, rove, cast, pace back and forth, cruise, stravage, dally, maunder, wander, loiter, stroll, stooge, waver, drift, on the prowl, range, swan, hang_around, prowl, vagabond, fluctuation, ramble, hesitate, traik, skulk"
牌照,牌照,pái zhào,"(business) licence, vehicle licence, car registration, licence plate"
派別,派别,pài bié,"denomination, group, school, faction, school of thought"
派遣,派遣,pài qiǎn,"to send (on a mission), to dispatch"
鑾,鑾,luán,"Empire"
攀升,攀升,pān shēng,"to clamber up, (of prices etc) to rise"
盤,盘,pán,m.[event]
盤算,盘算,pán suàn,"to plot, to scheme, to calculate"
判處,判处,pàn chǔ,"to sentence, to condemn"
判定,判定,pàn dìng,"to judge, to decide, judgment, determination"
判決,判决,pànjué,adjudge
盼,盼,pàn,"hope/long for, expect"
叛逆,叛逆,pàn nì,"to rebel, to revolt, a rebel"
龐大,庞大,pángdà,"huge, immense"
旁觀,旁观,páng guān,"spectator, non-participant"
拋,抛,pāo,"to throw, to toss, to fling, to cast, to abandon"
拋開,抛开,pāo kāi,"to throw out, to get rid of"
拋棄,抛弃,pāoqì,"dispose, cast aside, toss away, toss, lurch, throw out, put away, reject, abandonment, chuck, ditch, jettison, slough, renounce, flee, throw away, give up, desert, cast out, desolate, doff, chuck_out, fling, jilt, forgo, chuck out, discard, abandon, toss out, cast away, forsake"
鑤,刨,bào, páo, bào,"variant of 刨[bao4], to dig, to excavate, (coll.) to exclude, not to count, to deduct, to subtract"
跑車,跑车,pǎo chē,"racing bicycle, sporting bicycle, sports car, logging truck, on the job (of a train conductor)"
跑道,跑道,pǎodào,"track, lane, starting-rail, runway, course, chicane, tract, racetrack, racecourse, raceway"
跑龍套,跑龙套,pǎo lóng tào,"to play a small role"
泡沫,泡沫,pào mò,"foam, (soap) bubble, (economic) bubble"
胚胎,胚胎,pēi tāi,"embryo"
陪伴,陪伴,péi bàn,"to accompany"
陪葬,陪葬,péi zàng,"to be buried with or next to dead person (of deceased's partner, or of funerary objects)"
賠錢,赔钱,péi qián,"to lose money, to pay for damages"
佩服,佩服,pèifú,admire
配件,配件,pèi jiàn,"component, part, fitting, accessory, replacement part"
配偶,配偶,pèiǒu,spouse
配送,配送,pèi sòng,"distribution, delivery"
配音,配音,pèi yīn,"dubbing (filmmaking)"
噴泉,喷泉,pēn quán,"fountain"
抨擊,抨击,pēngjí,"attack (in speech/writing), assail"
烹調,烹调,pēng tiáo,"to cook, cooking"
蓬勃,蓬勃,péngbó,"full of vitality, vigorous, rising, flourishing"
鵬程萬里,鹏程万里,péng chéng wàn lǐ,"the fabled roc flies ten thousand miles (idiom), one's future prospects are brilliant"
膨脹,膨胀,péngzhàng,"expand, swell, inflate"
捧,捧,pěng,"hold/carry sth. level in both hands, boost, boast, exalt, flatter"
捧場,捧场,pěng chǎng,"to cheer on (originally esp. as paid stooge), to root for sb, to sing sb's praises, to flatter"
碰釘子,碰钉子,pèng dīng zi,"to meet with a rebuff"
碰巧,碰巧,pèng qiǎo,"by chance, by coincidence, to happen to"
碰上,碰上,pèng shàng,"to run into, to come upon, to meet"
碰撞,碰撞,pèng zhuàng,"to collide, collision"
批發,批发,pī fā,"wholesale, bulk trade, distribution"
批判,批判,pīpàn,criticize
披露,披露,pī lù,"to reveal, to publish, to make public, to announce"
劈,劈,pī, pǐ,"to hack, to chop, to split open, (of lightning) to strike, to split in two, to divide"
皮帶,皮带,pí dài,"strap, leather belt, CL:條|条[tiao2],根[gen1]"
疲憊,疲惫,pí bèi,"beaten, exhausted, tired"
疲憊不堪,疲惫不堪,píbèibùkān,"Exhausted"
疲倦,疲倦,pí juàn,"to tire, tired"
疲勞,疲劳,pí láo,"fatigue, wearily, weariness, weary"
脾,脾,pí,"spleen"
匹配,匹配,pǐ pèi,"to mate or marry, to match, matching, compatible"
媲美,媲美,pì měi,"to match, is comparable with"
僻靜,僻静,pì jìng,"lonely, secluded"
譬如,譬如,pìrú,"for example, such as"
譬如說,譬如说,pìrúshuō,"for example, such as"
片子,片子,piànzi5,"a roll of film, film, movie, record, album"
偏差,偏差,piānchā,"deviation, error"
偏方,偏方,piān fāng,"folk remedy, home remedy"
偏見,偏见,piān jiàn,"prejudice"
偏僻,偏僻,piān pì,"remote, desolate, far from the city"
偏偏,偏偏,piānpiān,"just, but, only"
偏向,偏向,piān xiàng,"partial towards sth, to prefer, to incline, erroneous tendencies (Leftist or Revisionist deviation)"
偏遠,偏远,piānyuǎn,"remote, faraway"
篇幅,篇幅,piān fu,"length (of a piece of writing), space occupied on a printed page"
片段,片段,piànduàn,"part, extract, fragment"
騙人,骗人,piàn rén,"to cheat sb, a scam"
漂,漂,piāo, piǎo, piào,"to float, to drift, to bleach, elegant, polished"
飄,飘,piāo,"blow about, float, blow/drift about, flutter, wave, blow, drift about"
票房,票房,piào fáng,"box office"
撇,撇,piē, piě,"to cast away, to fling aside, to throw, to cast, left-slanting downward brush stroke (calligraphy)"
拼搏,拼搏,pīn bó,"to struggle, to wrestle"
拼命,拼命,pīnmìng,"go all out regardless of danger to one's life, fight desperately, exerting the utmost strength, risk life, make death-defying effort, defy death, risk one's life, with all one's might"
貧富,贫富,pín fù,"poor and rich"
貧窮,贫穷,pínqióng,"poor, needy"
頻率,频率,pínlù,"relative frequency, frequency, periodicity"
頻頻,频频,pínpín,"again and again, repeatedly"
品嘗,品尝,pǐn cháng,"to taste a small amount, to sample"
品德,品德,pǐn dé,"moral character"
品位,品位,pǐn wèi,"rank, grade, quality, (aesthetic) taste"
品行,品行,pǐn xíng,"behavior, moral conduct"
聘,聘,pìn,"engage, invite"
聘任,聘任,pìn rèn,"to appoint (to a position), appointed"
聘用,聘用,pìn yòng,"to employ, to hire"
乒乓球,乒乓球,pīng pāng qiú,"table tennis, ping-pong, table tennis ball, CL:個|个[ge4]"
平常心,平常心,píngchángxīn,"Ordinary heart"
平淡,平淡,píng dàn,"flat, dull, ordinary, nothing special"
平和,平和,pínghé,"calm, pacify, composed, moderate, gentle"
平價,平价,píng jià,"reasonably priced, inexpensive, to keep prices down, (currency exchange) parity"
平面,平面,píngmiàn,"smooth, planar, planeness, plane, tabulate, level, flatness, two-dimensionality, table, sheet, horizontal surface, flat"
平民,平民,píngmín,"vulgus, ragtag, commonality, third estate, plebe, populace, civvy, commoner, common people, rabble, the populace, multitude, ceorl, citizen, commonage, commonalty, common person, mister, roturier, plebeian, people, plebs, democracy, commons, the common people, mass, pleb, civilian, common man"
平日,平日,píng rì,"ordinary day, everyday, ordinarily, usually"
平息,平息,píng xī,"to settle (a dispute), to quieten down, to suppress"
評定,评定,píng dìng,"to evaluate, to make one's judgment"
評論員,评论员,pínglùnyuán,"commentator"
評判,评判,píng pàn,"to judge (a competition), to appraise"
評審,评审,píngshěn,"judge, referee, umpire"
評委,评委,píng wěi,"evaluation committee, judging panel, judging panel member, adjudicator, abbr. for 評選委員會委員|评选委员会委员[ping2 xuan3 wei3 yuan2 hui4 wei3 yuan2]"
憑借,凭借,píng jiè,"to rely on, to depend on, by means of, thanks to, sth that one relies on"
憑著,凭着,píngzháo,"Depend"
憑證,凭证,píng zhèng,"proof, certificate, receipt, voucher"
瓶頸,瓶颈,píngjǐng,bottleneck
萍水相逢,萍水相逢,píng shuǐ xiāng féng,"strangers coming together by chance (idiom)"
潑冷水,泼冷水,pō lěng shuǐ,"lit. to pour cold water on, fig. to dampen one's enthusiasm"
頗,颇,pǒ,"pretty, quite an, very, quite, jolly, fearfully, quite a, molto, middling, considerably, greatly"
迫不及待,迫不及待,pòbùjídài,too impatient to wait
迫害,迫害,pò hài,"to persecute, persecution"
迫使,迫使,pòshǐ,"distress, obligate, intrude, exact, haze, enforce, feeze, pressure, tie_down, force, compel, enjoin, flog, insist, condemn, oblige, thrust, impel, necessitate, drive, hurl, sell_up, nail_down, make, corner"
破案,破案,pò àn,"to solve a case, shabby old table"
破除,破除,pò chú,"to eliminate, to do away with, to get rid of"
破解,破解,pò jiě,"to break (a bond, constraint etc), to explain, to unravel, to decipher, to decode"
破舊,破旧,pò jiù,"shabby"
破裂,破裂,pòliè,"split up, flaw, rip, rend, splinter, part, break away, come_apart, chip off, come apart, bust, broken, break up, separate, chip, fracture, fall apart, split, break_down, crack, rupture, break off, come off, check, break, burst"
破滅,破灭,pò miè,"to be shattered, to be annihilated (of hope, illusions etc)"
破碎,破碎,pò suì,"to smash to pieces, to shatter"
魄力,魄力,pò lì,"courage, daring, boldness, resolution, drive"
撲克,扑克,pū kè,"poker (game) (loanword), deck of playing cards"
撲面而來,扑面而来,pū miàn ér lái,"lit. sth hits one in the face, directly in one's face, sth assaults the senses, blatant (advertising), eye catching, (a smell) assaults the nostrils"
鋪路,铺路,pū lù,"to pave (with paving stones), to lay a road, to give a present to sb to ensure success"
菩薩,菩萨,púsà,"Buddhist idol, a term applied to a kindhearted person, kindhearted person, Bodhisattva, joss, Buddha, Boddhisatva"
樸實,朴实,pǔ shí,"plain, simple, guileless, down-to-earth, sincere and honest"
樸素,朴素,pǔ sù,"plain and simple, unadorned, simple living, not frivolous"
普通人,普通人,pǔ tōng rén,"ordinary person, private citizen, people, the person in the street"
譜,谱,pǔ,"musical notation, table, chart, design, guide"
瀑布,瀑布,pù bù,"waterfall"
七嘴八舌,七嘴八舌,qī zuǐ bā shé,"lively discussion with everybody talking at once"
沏,沏,qī,"to steep (tea)"
淒涼,凄凉,qī liáng, qī liáng,"desolate (place)"
期盼,期盼,qípàn,look forward to
欺騙,欺骗,qīpiàn,"cheat, dupe"
欺詐,欺诈,qī zhà,"to cheat"
漆,漆,qī,"paint, lacquer, CL:道[dao4], to paint (furniture, walls etc)"
齊心協力,齐心协力,qí xīn xié lì,"to work with a common purpose (idiom), to make concerted efforts, to pull together, to work as one"
其後,其后,qí hoù,"next, later, after that"
其間,其间,qí jiān,"in between, within that interval, in the meantime"
奇花異草,奇花异草,qí huā yì cǎo,"very rarely seen, unusual (idiom)"
奇跡,奇迹,qí jì,"miracle, miraculous, wonder, marvel"
奇特,奇特,qítè,"unusual, geezer, queer, exotic, peculiar"
歧視,歧视,qíshì,"treat with bias, despise"
祈禱,祈祷,qídǎo,pray
碁,棋,qí, qí, qí,"variant of 棋[qi2]"
棋子,棋子,qí zǐ,"chess piece, CL:個|个[ge4],顆|颗[ke1]"
旗袍,旗袍,qí páo,"Chinese-style dress, cheongsam"
旗幟,旗帜,qízhì,"flag, stand, banner, colors, standard, colours, pennon, ensign, streamer, national flag, rallying point, signal flag"
乞丐,乞丐,qǐ gài,"beggar"
乞求,乞求,qǐ qiú,"to beg"
乞討,乞讨,qǐ tǎo,"to beg, to go begging"
豈有此理,岂有此理,qǐ yoǔ cǐ lǐ,"how can this be so? (idiom), preposterous, ridiculous, absurd"
啟迪,启迪,qǐ dí,"to edify, enlightenment"
啟蒙,启蒙,qǐ méng, qǐ méng,"to instruct the young, to initiate, to awake sb from ignorance, to free sb from prejudice or superstition, primer, enlightened, the Enlightenment, Western learning from the late Qing dynasty"
啟示,启示,qǐshì,"apocalypse, illumination, revelation"
起步,起步,qǐbù,start (a task)
起草,起草,qǐ cǎo,"to make a draft, to draw up (plans)"
起程,起程,qǐ chéng,"to set out, to leave"
起初,起初,qǐchū,"initio, ab initio, first, primarily, early, in_the_beginning, originally, at_first, in the beginning, initially, at the start, at first, early on"
起伏,起伏,qǐfú,"rise and fall, undulate"
起勁,起劲,qǐ jìn,"vigorously, energetically, enthusiastically"
起跑線,起跑线,qǐ pǎo xiàn,"the starting line (of a race), scratch line (in a relay race)"
起源,起源,qǐyuán,origin
氣憤,气愤,qì fèn,"indignant, furious"
氣管,气管,qì guǎn,"windpipe, trachea, respiratory tract, air duct, gas pipe"
氣餒,气馁,qì něi,"to be discouraged"
氣派,气派,qì pài,"imposing manner or style"
氣泡,气泡,qì pào,"bubble, blister (in metal), (of beverages) sparkling, carbonated"
氣魄,气魄,qì pò,"spirit, boldness, positive outlook, imposing attitude"
氣勢,气势,qìshì,"air, powder, imposing manner, aura, manner, pith, vigor, atmosphere, vigour, verve, vehemence, fervor, momentum"
氣味,气味,qìwèi,"tang, wind, odor, savor, aurae, tint, flavor, leavening, savour, flavour, leaven, odour, aura, smatch, tinge, smell, smack, scent, taste"
氣息,气息,qìxí,"breath, flatus, look, feeling, spirit, smell, snuff, feel, breathing, flavor, tone, taste, flavour"
氣質,气质,qìzhí,"kidney, fibre, charisma, crasis, mettle, humor, temper, predisposition, habit, mould, colour, class, streak, metal, temperament, disposition, strain, habitude, sensitivity, blood, proclivity, karma, gaseity, grain, makings, presence"
迄今,迄今,qì jīn,"so far, to date, until now"
迄今為止,迄今为止,qì jīn wéi zhǐ,"so far, up to now, still (not)"
契機,契机,qìjī,"moment, critical point, turning, turning point, juncture, moment o turning point, turning/critical point, momentum"
契約,契约,qìyuē,"legal instrument, charter, bond, bargain, covenant, legal document, compact, stipulation, agreement, instrument, bargaining, pact, obligation, clause, paction, booking, affiance, indenture, promise, article, contract, concordat, official document, deed, handfast"
器材,器材,qìcái,"materials, materiel, equipment"
器械,器械,qì xiè,"apparatus, instrument, equipment, weapon"
掐,掐,qiā,"to pick (flowers), to pinch, to nip, to pinch off, to clutch, (slang) to fight"
卡,卡,kǎ, qiǎ,"to stop, to block, card, CL:張|张[zhang1],片[pian4], calorie, cassette, (computing) (coll.) slow, to block, to be stuck, to be wedged, customs station, a clip, a fastener, a checkpost, Taiwan pr. [ka3]"
卡子,卡子,qiǎ zi,"clip, hair fastener, checkpoint"
洽談,洽谈,qiàtán,"hold trade talk, negotiate"
恰到好處,恰到好处,qià dào hǎo chù,"it's just perfect, it's just right"
恰恰相反,恰恰相反,qiàqiàxiāngfǎn,"Contrary"
恰巧,恰巧,qià qiǎo,"fortunately, unexpectedly, by coincidence"
恰如其分,恰如其分,qià rú qí fèn,"to say or do sth appropriate (idiom)"
千變萬化,千变万化,qiān biàn wàn huà,"countless changes, constant permutation"
千方百計,千方百计,qiān fāng bǎi jì,"lit. thousand ways, a hundred plans (idiom), by every possible means"
千家萬戶,千家万户,qiān jiā wàn hù,"every family (idiom)"
千軍萬馬,千军万马,qiān jūn wàn mǎ,"magnificent army with thousands of men and horses (idiom), impressive display of manpower, all the King's horses and all the King's men"
千鈞一髮,千钧一发,qiān jūn yī fà,"a thousand pounds hangs by a thread (idiom), imminent peril, a matter of life or death"
遷,迁,qiān,"movement, change, move"
遷就,迁就,qiān jiù,"to yield, to adapt to, to accommodate to (sth)"
遷移,迁移,qiānyí,"move, remove, migrate"
牽扯,牵扯,qiān chě,"to involve, to implicate"
牽掛,牵挂,qiān guà,"to worry about, to be concerned about"
牽涉,牵涉,qiānshè,"involve, drag in"
牽頭,牵头,qiān toú,"to lead (an animal by the head), to take the lead, to coordinate (a combined operation), to mediate, a go-between (e.g. marriage broker)"
牽制,牵制,qiān zhì,"to control, to curb, to restrict, to impede, to pin down (enemy troops)"
鉛,铅,qiān, qiān,"lead (chemistry)"
謙遜,谦逊,qiān xùn,"humble, modest, unpretentious, modesty"
簽,签,qiān,"sign, autograph"
簽署,签署,qiānshǔ,sign/initial (a document)
前輩,前辈,qián bèi,"senior, older generation, precursor"
前不久,前不久,qián bù jiǔ,"not long ago, not long before"
前赴後繼,前赴后继,qián fù hoù jì,"to advance dauntlessly in wave upon wave (idiom)"
前期,前期,qián qī,"preceding period, early stage"
前任,前任,qiánrèn,predecessor
前所未有,前所未有,qián suǒ wèi yoǔ,"unprecedented"
前臺,前台,qián tái,"stage, proscenium, foreground in politics etc (sometimes derog.), front desk, reception desk, (computing) front-end, foreground"
前無古人,前无古人,qiánwúgǔrén,"Before no ancient people"
前夕,前夕,qián xī,"eve, the day before"
前線,前线,qián xiàn,"front line, military front, workface, cutting edge"
前沿,前沿,qián yán,"front-line, forward position, outpost, extending ahead, frontier (of science, technology etc)"
前仰後合,前仰后合,qián yǎng hoù hé,"to sway to and fro, to rock back and forth"
前者,前者,qiánzhě,"predecessor, the former, former"
虔誠,虔诚,qián chéng,"pious, devout, sincere"
錢財,钱财,qián cái,"wealth, money"
鉗子,钳子,qián zi,"pliers, pincers, tongs, forceps, vise, clamp, claw (of a crab etc), CL:把[ba3], (dialect) earring"
潛能,潜能,qiánnéng,"latent, possibility, latent energy, potency, ability, latent ability, ergal, potentiality, latent energy/ability, potential"
潛水,潜水,qiánshuǐ,"dive, go under water"
潛艇,潜艇,qián tǐng,"submarine"
潛移默化,潜移默化,qián yí mò huà,"imperceptible influence, to influence secretly"
潛在,潜在,qiánzài,"potential, latent"
譴責,谴责,qiǎnzé,"condemn, denounce, censure"
欠缺,欠缺,qiànquē,"lack, be deficient, be short of"
欠條,欠条,qiàn tiáo,"IOU, certificate of indebtedness"
歉意,歉意,qiàn yì,"apology, regret"
嗆,呛,qiāng, qiàng,"to choke (because of swallowing the wrong way), to irritate the nose, to choke (of smoke, smell etc), pungent, (coll.) (Tw) to shout at sb, to scold, to speak out against sb"
槍斃,枪毙,qiāng bì,"to execute by firing squad, to shoot dead, fig. to discard, to get rid of"
腔,腔,qiāng,"cavity of body, barrel (e.g. engine cylinder), compartment, tune, accent of speech"
強加,强加,qiáng jiā,"to impose, to force upon"
強勁,强劲,qiángjìn,"strong, forceful, sturdy, powerful"
強項,强项,qiáng xiàng,"key strength, strong suit, specialty"
強行,强行,qiángxíng,force
強硬,强硬,qiáng yìng,"tough, unyielding, hard-line"
強佔,强占,qiáng zhàn,"to occupy by force"
強制,强制,qiáng zhì,"to enforce, enforcement, forcibly, compulsory"
搶奪,抢夺,qiǎng duó,"to plunder, to pillage, to forcibly take"
搶劫,抢劫,qiǎng jié,"to rob, looting"
搶眼,抢眼,qiǎng yǎn,"eye-catching"
敲邊鼓,敲边鼓,qiāo biān gǔ,"to back sb up, to support sb in an argument, (lit. to beat nearby drum)"
敲詐,敲诈,qiāo zhà,"to rip off, to extort (money), extortion, blackmail"
喬裝,乔装,qiáo zhuāng,"to pretend, to feign, to disguise oneself"
瞧不起,瞧不起,qiáo bù qǐ,"to look down upon, to hold in contempt"
巧合,巧合,qiǎo hé,"coincidence, coincidental, to coincide"
竅門,窍门,qiào mén,"a trick, an ingenious method, know-how, the knack (of doing sth)"
翹,翘,qiáo, qiào,"outstanding, to raise, to stick up, to rise on one end, to tilt"
撬,撬,qiào,"to lift, to pry open, to lever open"
切除,切除,qiēchú,"excise, resect"
切斷,切断,qiēduàn,"sever, shut_off, amputate, disconnect, cut_off, joint, cut off, mutilate, cutting_off, lop, hang_up, interrupt, hang up, guillotine"
切割,切割,qiē gē,"to cut"
且,且,qiě,conj.:
切身,切身,qiè shēn,"direct, concerning oneself, personal"
竊取,窃取,qiè qǔ,"to steal, to seize"
欽佩,钦佩,qīn pèi,"to admire, to look up to, to respect sb greatly"
侵害,侵害,qīnhài,"encroach on (other's rights), violate"
侵略,侵略,qīnluè,invade
侵權,侵权,qīn quán,"to infringe the rights of, to violate, infringement"
侵佔,侵占,qīn zhàn,"to invade and occupy (territory)"
親和力,亲和力,qīn hé lì,"(personal) warmth, approachability, accessibility, (in a product) user friendliness, (chemistry) affinity"
親近,亲近,qīnjìn,"hobnob, hang out, affiliate, close, be close to, know, be on intimate terms with, intimate"
親朋好友,亲朋好友,qīn péng hǎo yoǔ,"friends and family, kith and kin"
親戚,亲戚,qīnqī,"belongings, relation, kinswoman, kinsman, kith, kindred, cousinry, sib, ally, relative, relatives, kin, connection, kinsfolk, cousin"
親情,亲情,qīn qíng,"affection, family love, love, esp. within a married couple or between parents and children"
親熱,亲热,qīn rè,"affectionate, intimate, warmhearted, to get intimate with sb"
親身,亲身,qīnshēn,"in person, personally, first-hand"
親生,亲生,qīn shēng,"one's own (child) (i.e. one's child by birth), biological (parents), birth (parents)"
親手,亲手,qīn shoǔ,"personally, with one's own hands"
親友,亲友,qīnyǒu,"gossip, kith, hail-fellow, relatives and friends, kith and kin, sidekick, familiar, inseparable"
勤工儉學,勤工俭学,qín gōng jiǎn xué,"to work part time while studying, work-study program"
勤快,勤快,qín kuài,"diligent, hardworking"
勤勞,勤劳,qínláo,"hardworking, ply, industrious"
寢室,寝室,qǐnshì,"bedchamber, sleeping room, roost, chamber, dormitory, bower, lying, bedroom"
青春期,青春期,qīng chūn qī,"puberty, adolescence"
青蛙,青蛙,qīng wā,"frog, CL:隻|只[zhi1], (slang) ugly guy"
輕而易舉,轻而易举,qīng ér yì jǔ,"easy, with no difficulty"
輕蔑,轻蔑,qīng miè,"to contempt, to disdain, pejorative"
輕微,轻微,qīngwéi,"light, trifling, trivial"
輕型,轻型,qīng xíng,"light (machinery, aircraft etc)"
傾家蕩產,倾家荡产,qīng jiā dàng chǎn,"to lose a family fortune (idiom)"
傾訴,倾诉,qīng sù,"to say everything (that is on one's mind)"
傾聽,倾听,qīngtīng,listen attentively to
傾銷,倾销,qīng xiāo,"to dump (goods, products)"
傾斜,倾斜,qīng xié,"to incline, to lean, to slant, to slope, to tilt"
清除,清除,qīngchú,"eliminate, get rid of"
清脆,清脆,qīng cuì,"sharp and clear, crisp, melodious, ringing, tinkling, silvery (of sound), fragile, frail, also written 輕脆|轻脆"
清單,清单,qīng dān,"list of items"
清淡,清淡,qīng dàn,"light (of food, not greasy or strongly flavored), insipid, slack (sales)"
清靜,清静,qīng jìng,"quiet, peaceful and quiet"
清涼,清凉,qīngliáng,"fresh and cool, refreshing"
