阿拉伯語	阿拉伯语	Ālābóyǔ
佳節	佳节	jiājié
家伙	家伙	jiāhuo
家家戶戶	家家户户	jiājiā-hùhù
家教	家教	jiājiào
家境	家境	jiājìng
家用	家用	jiāyòng
家禽	家禽	jiāqín
家喻戶曉	家喻户晓	jiāyù-hùxiǎo
家政	家政	jiāzhèng
家族	家族	jiāzú
嘉年華	嘉年华	jiāniánhuá
假冒	假冒	jiǎmào
假設	假设	jiǎshè
假定	假定	jiǎdìng
價位	价位	jiàwèi
假裝	假装	jiǎzhuāng
價值觀	价值观	jiàzhíguān
假使	假使	jiǎshǐ
駕車	驾车	jiàchē
駕馭	驾驭	jiàyù
駕	驾	jià
架勢	架势	jiàshi
嫁	嫁	jià
架子	架子	jiàzi
嫁妝	嫁妆	jiàzhuang
尖端	尖端	jiānduān
尖銳	尖锐	jiānruì
奸詐	奸诈	jiānzhà
堅持不懈	坚持不懈	jiānchí-bùxiè
堅韌	坚韧	jiānrèn
殲滅	歼灭	jiānmiè
堅實	坚实	jiānshí
堅守	坚守	jiānshǒu
堅信	坚信	jiānxìn
堅硬	坚硬	jiānyìng
肩膀	肩膀	jiānbǎng
肩負	肩负	jiānfù
艱巨	艰巨	jiānjù
艱苦奮鬥	艰苦奋斗	jiānkǔ-fèndòu
艱險	艰险	jiānxiǎn
艱辛	艰辛	jiānxīn
監察	监察	jiānchá
監管	监管	jiānguǎn
監護	监护	jiānhù
監控	监控	jiānkòng
監視	监视	jiānshì
監獄	监狱	jiānyù
兼	兼	jiān
兼顧	兼顾	jiāngù
兼任	兼任	jiānrèn
兼容	兼容	jiānróng
兼職	兼职	jiānzhí
煎	煎	jiān
揀	拣	jiǎn
檢察	检察	jiǎnchá
檢討	检讨	jiǎntǎo
減免	减免	jiǎnmiǎn
減弱	减弱	jiǎnruò
減速	减速	jiǎn sù
減壓	减压	jiǎn yā
簡稱	简称	jiǎnchēng
簡短	简短	jiǎnduǎn
簡化	简化	jiǎnhuà
簡潔	简洁	jiǎnjié
簡陋	简陋	jiǎnlòu
簡體字	简体字	jiǎntǐzì
簡要	简要	jiǎnyào
簡易	简易	jiǎnyì
見錢眼開	见钱眼开	jiànqián-yǎnkāi
見解	见解	jiànjiě
見仁見智	见仁见智	jiànrén-jiànzhì
見識	见识	jiànshi
見外	见外	jiànwài
見效	见效	jiàn xiào
見義勇為	见义勇为	jiànyì-yǒngwéi
見證	见证	jiànzhèng
間諜	间谍	jiàndié
間斷	间断	jiànduàn
間隔	间隔	jiàngé
間隙	间隙	jiànxì
建交	建交	jiàn jiāo
建樹	建树	jiànshù
建築師	建筑师	jiànzhùshī
建築物	建筑物	jiànzhùwù
健美	健美	jiànměi
賤	贱	jiàn
健壯	健壮	jiànzhuàng
濺	溅	jiàn
鑒別	鉴别	jiànbié
鑒賞	鉴赏	jiànshǎng
姜	姜	jiāng
鑒於	鉴于	jiànyú
僵	僵	jiāng
僵化	僵化	jiānghuà
僵局	僵局	jiāngjú
講解	讲解	jiǎngjiě
講述	讲述	jiǎngshù
講學	讲学	jiǎng xué
獎杯	奖杯	jiǎngbēi
獎牌	奖牌	jiǎngpái
獎品	奖品	jiǎngpǐn
獎項	奖项	jiǎngxiàng
降臨	降临	jiànglín
交叉	交叉	jiāochā
交鋒	交锋	jiāo fēng
交付	交付	jiāofù
交集	交集	jiāojí
交接	交接	jiāojiē
交界	交界	jiāojiè
交情	交情	jiāoqing
交納	交纳	jiāonà
交涉	交涉	jiāoshè
交談	交谈	jiāotán
交替	交替	jiāotì
交頭接耳	交头接耳	jiāotóu-jiēěr
交響樂	交响乐	jiāoxiǎngyuè
郊遊	郊游	jiāoyóu
郊外	郊外	jiāowài
澆	浇	jiāo
嬌慣	娇惯	jiāoguàn
嬌氣	娇气	jiāoqi
膠囊	胶囊	jiāonáng
膠片	胶片	jiāopiàn
焦	焦	jiāo
焦距	焦距	jiāojù
焦急	焦急	jiāojí
焦慮	焦虑	jiāolǜ
焦躁	焦躁	jiāozào
嚼	嚼	jué
礁石	礁石	jiāoshí
絞	绞	jiǎo
狡猾	狡猾	jiǎohuá
角落	角落	jiǎoluò
矯正	矫正	jiǎozhèng
攪拌	搅拌	jiǎobàn
攪	搅	jiǎo
繳	缴	jiǎo
繳費	缴费	jiǎofèi
繳納	缴纳	jiǎonà
叫板	叫板	jiàobǎn
叫好	叫好	jiào hǎo
轎車	轿车	jiàochē
較勁	较劲	jiào jìn
較量	较量	jiàoliàng
教條	教条	jiàotiáo
教科書	教科书	jiàokēshū
教養	教养	jiàoyǎng
階層	阶层	jiēcéng
階級	阶级	jiējí
皆	皆	jiē
階梯	阶梯	jiētī
結	结	jié
結果	结果	jiē guǒ
接班人	接班人	jiēbān rén
接班	接班	jiē bān
接軌	接轨	jiē guǐ
接二連三	接二连三	jiēèr-liánsān
接濟	接济	jiējì
接見	接见	jiējiàn
接力	接力	jiēlì
接納	接纳	jiēnà
接手	接手	jiēshǒu
接送	接送	jiēsòng
接聽	接听	jiētīng
接通	接通	jiē tōng
揭發	揭发	jiēfā
接替	接替	jiētì
揭露	揭露	jiēlù
揭曉	揭晓	jiēxiǎo
揭示	揭示	jiēshì
節儉	节俭	jiéjiǎn
節水	节水	jié shuǐ
節衣縮食	节衣缩食	jiéyī-suōshí
節氣	节气	jiéqi
劫	劫	jié
劫持	劫持	jiéchí
潔淨	洁净	jiéjìng
結冰	结冰	jié bīng
結晶	结晶	jiéjīng
結局	结局	jiéjú
結識	结识	jiéshí
結尾	结尾	jiéwěi
截	截	jié
截然不同	截然不同	jiérán-bùtóng
竭盡全力	竭尽全力	jiéjìn-quánlì
竭力	竭力	jiélì
解答	解答	jiědá
解讀	解读	jiědú
解救	解救	jiějiù
解剖	解剖	jiěpōu
解雇	解雇	jiěgù
解散	解散	jiěsàn
解脫	解脱	jiětuō
解體	解体	jiě tǐ
解圍	解围	jiě wéi
解析	解析	jiěxī
介入	介入	jièrù
介意	介意	jiè yì
戒備	戒备	jièbèi
戒煙	戒烟	jiè yān
介於	介于	jièyú
界定	界定	jièdìng
戒指	戒指	jièzhi
屆時	届时	jièshí
界線	界线	jièxiàn
藉口	借口	jièkǒu
界限	界限	jièxiàn
借條	借条	jiètiáo
借助	借助	jièzhù
借用	借用	jièyòng
金字塔	金字塔	jīnzìtǎ
金屬	金属	jīnshǔ
金子	金子	jīnzi
津貼	津贴	jīntiē
津津有味	津津有味	jīnjīn-yǒuwèi
筋	筋	jīn
禁不住	禁不住	jīnbuzhù
僅次於	仅次于	jǐn cìyú
儘	尽	jǐn
盡早	尽早	jǐnzǎo
緊迫	紧迫	jǐnpò
緊接著	紧接着	jǐnjiēzhe
緊湊	紧凑	jǐncòu
緊缺	紧缺	jǐnquē
緊縮	紧缩	jǐnsuō
錦旗	锦旗	jǐnqí
盡情	尽情	jìnqíng
盡頭	尽头	jìntóu
謹慎	谨慎	jǐnshèn
進程	进程	jìnchéng
進場	进场	jìn chǎng
進出	进出	jìnchū
進度	进度	jìndù
進出口	进出口	jìnchūkǒu
進而	进而	jìnér
進修	进修	jìnxiū
近年來	近年来	jìnniánlái
勁頭	劲头	jìntóu
晉升	晋升	jìnshēng
浸泡	浸泡	jìnpào
禁忌	禁忌	jìnjì
禁區	禁区	jìnqū
莖	茎	jīng
經	经	jīng
經度	经度	jīngdù
經久不息	经久不息	jīngjiǔ-bùxī
經貿	经贸	jīngmào
經商	经商	jīng shāng
經受	经受	jīngshòu
荊棘	荆棘	jīngjí
驚	惊	jīng
驚詫	惊诧	jīngchà
驚慌	惊慌	jīnghuāng
驚慌失措	惊慌失措	jīnghuāng-shīcuò
驚奇	惊奇	jīngqí
驚嘆	惊叹	jīngtàn
驚天動地	惊天动地	jīngtiān-dòngdì
驚險	惊险	jīngxiǎn
驚心動魄	惊心动魄	jīngxīn-dòngpò
驚醒	惊醒	jīngxing
驚訝	惊讶	jīngyà
晶瑩	晶莹	jīngyíng
兢兢業業	兢兢业业	jīngjīng-yèyè
精打細算	精打细算	jīngdǎ-xìsuàn
精華	精华	jīnghuá
精簡	精简	jīngjiǎn
精練	精练	jīngliàn
精妙	精妙	jīngmiào
精明	精明	jīngmíng
精疲力竭	精疲力竭	jīngpí-lìjié
精確	精确	jīngquè
精神病	精神病	jīngshénbìng
精髓	精髓	jīngsuǐ
精細	精细	jīngxì
精通	精通	jīngtōng
精心	精心	jīngxīn
精益求精	精益求精	jīngyìqiújīng
精英	精英	jīngyīng
精緻	精致	jīngzhì
景觀	景观	jǐngguān
頸部	颈部	jǐngbù
景區	景区	jǐngqū
警車	警车	jǐngchē
警官	警官	jǐngguān
警惕	警惕	jǐngtì
警鐘	警钟	jǐngzhōng
淨化	净化	jìnghuà
競技	竞技	jìngjì
競選	竞选	jìngxuǎn
競相	竞相	jìngxiāng
竟敢	竟敢	jìng gǎn
竟	竟	jìng
敬	敬	jìng
敬愛	敬爱	jìngài
敬而遠之	敬而远之	jìngéryuǎnzhī
敬酒	敬酒	jìng jiǔ
敬禮	敬礼	jìng lǐ
敬佩	敬佩	jìngpèi
敬請	敬请	jìngqǐng
敬業	敬业	jìngyè
敬意	敬意	jìngyì
敬重	敬重	jìngzhòng
靜止	静止	jìngzhǐ
境地	境地	jìngdì
境界	境界	jìngjiè
境內	境内	jìngnèi
境外	境外	jìngwài
境遇	境遇	jìngyù
窘迫	窘迫	jiǒngpò
糾纏	纠缠	jiūchán
揪	揪	jiū
久違	久违	jiǔwéi
久仰	久仰	jiǔyǎng
酒精	酒精	jiǔjīng
酒樓	酒楼	jiǔlóu
救護車	救护车	jiùhùchē
救濟	救济	jiùjì
救治	救治	jiùzhì
就餐	就餐	jiù cān
就地	就地	jiùdì
就讀	就读	jiùdú
就近	就近	jiùjìn
就任	就任	jiùrèn
就醫	就医	jiù yī
就診	就诊	jiù zhěn
就職	就职	jiù zhí
就座	就座	jiù zuò
舅舅	舅舅	jiùjiu
拘留	拘留	jūliú
拘束	拘束	jūshù
居高臨下	居高临下	jūgāo-línxià
居民樓	居民楼	jūmínlóu
鞠躬	鞠躬	jūgōng
局部	局部	júbù
局勢	局势	júshì
局限	局限	júxiàn
菊花	菊花	júhuā
橘子	橘子	júzi
沮喪	沮丧	jǔsàng
舉報	举报	jǔbào
舉措	举措	jǔcuò
舉例	举例	jǔ lì
舉世聞名	举世闻名	jǔshì-wénmíng
舉世無雙	举世无双	jǔshì-wúshuāng
舉世矚目	举世瞩目	jǔshì-zhǔmù
舉一反三	举一反三	jǔyī-fǎnsān
舉止	举止	jǔzhǐ
舉重	举重	jǔzhòng
巨額	巨额	jùé
巨人	巨人	jùrén
巨頭	巨头	jùtóu
巨星	巨星	jùxīng
巨型	巨型	jùxíng
劇烈	剧烈	jùliè
劇目	剧目	jùmù
劇情	剧情	jùqíng
劇團	剧团	jùtuán
劇院	剧院	jùyuàn
據此	据此	jùcǐ
劇組	剧组	jùzǔ
據悉	据悉	jùxī
距	距	jù
鋸	锯	jù
聚集	聚集	jùjí
聚精會神	聚精会神	jùjīng-huìshén
捐獻	捐献	juānxiàn
捲入	卷入	juǎnrù
卷子	卷子	juǎnzi
圈	圈	quān
決議	决议	juéyì
訣別	诀别	juébié
訣竅	诀窍	juéqiào
角逐	角逐	juézhú
覺醒	觉醒	juéxǐng
絕技	绝技	juéjì
絕緣	绝缘	juéyuán
絕招	绝招	juézhāo
崛起	崛起	juéqǐ
倔強	倔强	juéjiàng
倔	倔	jué
爵士	爵士	juéshì
軍官	军官	jūnguān
均衡	均衡	jūnhéng
均勻	均匀	jūnyún
君子	君子	jūnzǐ
俊	俊	jùn
俊俏	俊俏	jùnqiào
駿馬	骏马	jùnmǎ
竣工	竣工	jùn gōng
卡車	卡车	kǎchē
卡片	卡片	kǎpiàn
卡通	卡通	kǎtōng
開辦	开办	kāibàn
開采	开采	kāicǎi
開場	开场	kāi chǎng
開場白	开场白	kāichǎngbái
開動	开动	kāi dòng
開除	开除	kāichú
開發區	开发区	kāifāqū
開發商	开发商	kāifāshāng
開工	开工	kāi gōng
開墾	开垦	kāikěn
開口	开口	kāi kǒu
開闊	开阔	kāikuò
開朗	开朗	kāilǎng
開辟	开辟	kāipì
開啟	开启	kāiqǐ
開槍	开枪	kāi qiāng
開天辟地	开天辟地	kāitiān-pìdì
開拓	开拓	kāituò
開銷	开销	kāixiao
開張	开张	kāi zhāng
開支	开支	kāizhī
凱歌	凯歌	kǎigē
楷模	楷模	kǎimó
刊登	刊登	kāndēng
刊物	刊物	kānwù
勘探	勘探	kāntàn
看護	看护	kānhù
堪稱	堪称	kānchēng
砍	砍	kǎn
侃大山	侃大山	kǎn dàshān
看得出	看得出	kàndechū
看似	看似	kànsì
看熱鬧	看热闹	kàn rènao
看臺	看台	kàntái
看樣子	看样子	kàn yàngzi
看中	看中	kàn zhòng
慷慨	慷慨	kāngkǎi
看重	看重	kàn zhòng
扛	扛	káng
抗衡	抗衡	kànghéng
抗拒	抗拒	kàngjù
抗爭	抗争	kàngzhēng
抗生素	抗生素	kàngshēngsù
考量	考量	kǎoliang
烤	烤	kǎo
靠攏	靠拢	kàolǒng
苛刻	苛刻	kēkè
科幻	科幻	kēhuàn
科目	科目	kēmù
科普	科普	kēpǔ
磕	磕	kē
殼	壳	ké
咳嗽	咳嗽	késou
可悲	可悲	kěbēi
可不是	可不是	kěbushì
可乘之機	可乘之机	kěchéngzhījī
可恥	可耻	kěchǐ
可歌可泣	可歌可泣	kěgē-kěqì
可觀	可观	kěguān
可貴	可贵	kěguì
可口	可口	kěkǒu
可謂	可谓	kěwèi
可惡	可恶	kěwù
可想而知	可想而知	kěxiǎngérzhī
可笑	可笑	kěxiào
可信	可信	kěxìn
可行	可行	kěxíng
可疑	可疑	kěyí
克隆	克隆	kèlóng
克制	克制	kèzhì
刻意	刻意	kèyì
刻苦	刻苦	kèkǔ
客房	客房	kèfáng
刻舟求劍	刻舟求剑	kèzhōu-qiújiàn
客機	客机	kèjī
客流	客流	kèliú
客運	客运	kèyùn
懇求	恳求	kěnqiú
啃	啃	kěn
坑	坑	kēng
空難	空难	kōngnàn
空蕩蕩	空荡荡	kōngdàngdàng
空前	空前	kōngqián
空想	空想	kōngxiǎng
空虛	空虚	kōngxū
恐怖	恐怖	kǒngbù
恐嚇	恐吓	kǒnghè
恐慌	恐慌	kǒnghuāng
恐懼	恐惧	kǒngjù
恐龍	恐龙	kǒnglóng
空白	空白	kòngbái
空地	空地	kōng-dì
空隙	空隙	kòngxì
控告	控告	kònggào
摳	抠	kōu
口碑	口碑	kǒubēi
口才	口才	kǒucái
口吃	口吃	kǒuchī
口感	口感	kǒugǎn
口徑	口径	kǒujìng
口令	口令	kǒulìng
口腔	口腔	kǒuqiāng
口氣	口气	kǒuqi
口哨	口哨	kǒushào
口水	口水	kǒushuǐ
口頭	口头	kǒutou
口味	口味	kǒuwèi
口香糖	口香糖	kǒuxiāngtáng
口音	口音	kǒuyīn
口罩	口罩	kǒuzhào
口子	口子	kǒuzi
扣除	扣除	kòuchú
扣人心弦	扣人心弦	kòurénxīnxián
扣留	扣留	kòuliú
扣押	扣押	kòuyā
枯燥	枯燥	kūzào
哭泣	哭泣	kūqì
哭笑不得	哭笑不得	kūxiào-bùdé
窟窿	窟窿	kūlong
苦力	苦力	kǔlì
苦練	苦练	kǔliàn
苦難	苦难	kǔnàn
苦笑	苦笑	kǔxiào
苦惱	苦恼	kǔnǎo
苦心	苦心	kǔxīn
酷似	酷似	kùsì
誇	夸	kuā
誇大	夸大	kuādà
誇獎	夸奖	kuājiǎng
誇誇其談	夸夸其谈	kuākuā-qítán
誇耀	夸耀	kuāyào
誇張	夸张	kuāzhāng
垮	垮	kuǎ
挎	挎	kuà
跨國	跨国	kuàguó
跨越	跨越	kuàyuè
快捷	快捷	kuàijié
寬敞	宽敞	kuānchang
寬泛	宽泛	kuānfàn
寬厚	宽厚	kuānhòu
寬容	宽容	kuānróng
寬鬆	宽松	kuānsong
款式	款式	kuǎnshì
寬恕	宽恕	kuānshù
款項	款项	kuǎnxiàng
筐	筐	kuāng
狂歡	狂欢	kuánghuān
狂歡節	狂欢节	Kuánghuānjié
狂熱	狂热	kuángrè
曠課	旷课	kuàng kè
況且	况且	kuàngqiě
礦藏	矿藏	kuàngcáng
框	框	kuàng
框架	框架	kuàngjià
虧本	亏本	kuī běn
虧損	亏损	kuīsǔn
昆蟲	昆虫	kūnchóng
捆	捆	kǔn
困惑	困惑	kùnhuò
困境	困境	kùnjìng
擴	扩	kuò
擴建	扩建	kuòjiàn
擴散	扩散	kuòsàn
擴張	扩张	kuòzhāng
括弧	括弧	kuòhú
闊綽	阔绰	kuòchuò
拉動	拉动	lā dòng
拉攏	拉拢	lālong
拉鎖	拉锁	lāsuǒ
啦啦隊	啦啦队	lālāduì
喇叭	喇叭	lǎba
臘月	腊月	làyuè
蠟	蜡	là
蠟燭	蜡烛	làzhú
辣椒	辣椒	làjiāo
來賓	来宾	láibīn
來電	来电	láidiàn
來訪	来访	láifǎng
來回	来回	láihuí
來歷	来历	láilì
來臨	来临	láilín
來龍去脈	来龙去脉	láilóng-qùmài
來年	来年	láinián
來源於	来源于	láiyuányú
攔	拦	lán
欄	栏	lán
欄杆	栏杆	lángān
藍圖	蓝图	lántú
攬	揽	lǎn
纜車	缆车	lǎnchē
懶得	懒得	lǎnde
懶惰	懒惰	lǎnduò
濫用	滥用	lànyòng
狼	狼	láng
狼狽	狼狈	lángbèi
朗誦	朗诵	lǎngsòng
浪	浪	làng
撈	捞	lāo
勞動力	劳动力	láodònglì
勞累	劳累	láolèi
勞務	劳务	láowù
牢固	牢固	láogù
牢牢	牢牢	láoláo
嘮叨	唠叨	láodao
牢記	牢记	láojì
老伴兒	老伴儿	lǎobànr5
老大	老大	lǎodà
老漢	老汉	lǎohàn
老化	老化	lǎohuà
老人家	老人家	lǎorenjia
老實說	老实说	lǎoshíshuō
老遠	老远	lǎoyuǎn
老字號	老字号	lǎozìhao
姥姥	姥姥	lǎolao
姥爺	姥爷	lǎoye
澇	涝	lào
樂意	乐意	lèyì
樂園	乐园	lèyuán
勒	勒	lēi
雷同	雷同	léitóng
累積	累积	lěijī
累計	累计	lěijì
類別	类别	lèibié
棱角	棱角	léngjiǎo
冷淡	冷淡	lěngdàn
冷凍	冷冻	lěngdòng
冷酷	冷酷	lěngkù
冷酷無情	冷酷无情	lěngkù-wúqíng
冷落	冷落	lěngluò
冷門	冷门	lěngmén
冷漠	冷漠	lěngmò
冷戰	冷战	lěngzhan
冷笑	冷笑	lěngxiào
離譜兒	离谱儿	lí pǔr5
愣	愣	lèng
離奇	离奇	líqí
離職	离职	lízhí
黎明	黎明	límíng
禮服	礼服	lǐfú
禮品	礼品	lǐpǐn
禮儀	礼仪	lǐyí
里程碑	里程碑	lǐchéngbēi
理睬	理睬	lǐcǎi
理會	理会	lǐhuì
理科	理科	lǐkē
理念	理念	lǐniàn
理事	理事	lǐshì
理所當然	理所当然	lǐsuǒdāngrán
理性	理性	lǐxìng
理直氣壯	理直气壮	lǐzhí-qìzhuàng
力不從心	力不从心	lìbùcóngxīn
力求	力求	lìqiú
力度	力度	lìdù
力所能及	力所能及	lìsuǒnéngjí
力爭	力争	lìzhēng
歷屆	历届	lìjiè
歷程	历程	lìchéng
歷經	历经	lìjīng
歷來	历来	lìlái
立方米	立方米	lìfāngmǐ
立方	立方	lìfāng
立功	立功	lì gōng
歷時	历时	lìshí
立交橋	立交桥	lìjiāoqiáo
立足	立足	lì zú
立體	立体	lìtǐ
利率	利率	lìlǜ
勵志	励志	lìzhì
粒	粒	lì
利害	利害	lìhai
連綿	连绵	liánmián
連滾帶爬	连滚带爬	liángǔndàipá
利索	利索	lìsuo
連鎖	连锁	liánsuǒ
連任	连任	lián rèn
連鎖店	连锁店	liánsuǒdiàn
憐惜	怜惜	liánxī
簾子	帘子	liánzi
連夜	连夜	liányè
蓮子	莲子	liánzǐ
聯邦	联邦	liánbāng
聯歡	联欢	liánhuān
聯網	联网	lián wǎng
廉價	廉价	liánjià
廉正	廉正	liánzhèng
廉潔	廉洁	liánjié
廉政	廉政	liánzhèng
煉	炼	liàn
臉頰	脸颊	liǎnjiá
戀戀不捨	恋恋不舍	liànliàn-bùshě
良	良	liáng
良心	良心	liángxīn
良性	良性	liángxìng
涼爽	凉爽	liángshuǎng
兩口子	两口子	liǎngkǒuzi
兩棲	两栖	liǎngqī
亮點	亮点	liàngdiǎn
亮麗	亮丽	liànglì
亮相	亮相	liàng xiàng
遼闊	辽阔	liáokuò
諒解	谅解	liàngjiě
療法	疗法	liáofǎ
療效	疗效	liáoxiào
潦草	潦草	liáocǎo
寥寥無幾	寥寥无几	liáoliáo-wújǐ
了卻	了却	liǎoquè
料到	料到	liào dào
了結	了结	liǎojié
咧嘴	咧嘴	liě zuǐ
料理	料理	liàolǐ
列舉	列举	lièjǔ
劣勢	劣势	lièshì
劣質	劣质	lièzhì
獵犬	猎犬	lièquǎn
獵人	猎人	lièrén
烈士	烈士	lièshì
裂縫	裂缝	lièfèng
裂痕	裂痕	lièhén
鄰國	邻国	línguó
臨	临	lín
臨街	临街	línjiē
臨近	临近	línjìn
臨床	临床	línchuáng
靈	灵	líng
拎	拎	līn
淋	淋	lín
靈感	灵感	línggǎn
靈魂	灵魂	línghún
靈機一動	灵机一动	língjī yī dòng
靈敏	灵敏	língmǐn
靈巧	灵巧	língqiǎo
凌晨	凌晨	língchén
零花錢	零花钱	línghuāqián
零件	零件	língjiàn
零錢	零钱	língqián
零售	零售	língshòu
靈通	灵通	língtōng
領會	领会	lǐnghuì
領軍	领军	lǐng jūn
領略	领略	lǐnglüè
領事	领事	lǐngshì
領事館	领事馆	lǐngshìguǎn
領隊	领队	lǐngduì
領土	领土	lǐngtǔ
領悟	领悟	lǐngwù
領養	领养	lǐngyǎng
溜達	溜达	liūda
領域	领域	lǐngyù
瀏覽器	浏览器	liúlǎnqì
留戀	留恋	liúliàn
溜	溜	liū
瀏覽	浏览	liúlǎn
留念	留念	liúniàn
留心	留心	liú xīn
留神	留神	liú shén
留意	留意	liú yì
流暢	流畅	liúchàng
流程	流程	liúchéng
流浪	流浪	liúlàng
流淚	流泪	liú lèi
流量	流量	liúliàng
流露	流露	liúlù
流氓	流氓	liúmáng
流入	流入	liúrù
流失	流失	liúshī
流水	流水	liúshuǐ
流向	流向	liúxiàng
流淌	流淌	liútǎng
流血	流血	liúxuè
流轉	流转	liúzhuǎn
柳樹	柳树	liǔshù
遛	遛	liù
流域	流域	liúyù
龍舟	龙舟	lóngzhōu
聾人	聋人	lóngrén
籠子	笼子	lóngzi
聾	聋	lóng
隆重	隆重	lóngzhòng
壟斷	垄断	lǒngduàn
籠罩	笼罩	lǒngzhào
籠統	笼统	lǒngtǒng
摟	搂	lǒu
露面	露面	lòu miàn
蘆花	芦花	lúhuā
爐灶	炉灶	lúzào
鹵味	卤味	lǔwèi
魯莽	鲁莽	lǔmǎng
爐子	炉子	lúzi
錄製	录制	lùzhì
路程	路程	lùchéng
鹿	鹿	lù
路段	路段	lùduàn
路況	路况	lùkuàng
路面	路面	lùmiàn
路人	路人	lùrén
路燈	路灯	lùdēng
路途	路途	lùtú
露天	露天	lùtiān
旅程	旅程	lǚchéng
旅途	旅途	lǚtú
路子	路子	lùzi
鋁	铝	lǚ
屢次	屡次	lǚcì
縷	缕	lǚ
屢	屡	lǚ
履行	履行	lǚxíng
率	率	lǜ
綠燈	绿灯	lǜdēng
孿生	孪生	luánshēng
綠地	绿地	lǜdì
卵	卵	luǎn
掠奪	掠夺	lüèduó
亂七八糟	乱七八糟	luànqībāzāo
略微	略微	lüèwēi
掄	抡	lūn
略	略	lüè
倫理	伦理	lúnlǐ
輪換	轮换	lúnhuàn
輪流	轮流	lúnliú
輪胎	轮胎	lúntāi
輪廓	轮廓	lúnkuò
論壇	论坛	lùntán
論證	论证	lùnzhèng
羅	罗	luó
論述	论述	lùnshù
蘿卜	萝卜	luóbo
螺絲	螺丝	luósī
絡繹不絕	络绎不绝	luòyì-bùjué
裸露	裸露	luǒlù
落差	落差	luòchā
落地	落地	luò dì
裸	裸	luǒ
落戶	落户	luò hù
落下	落下	luòxià
麻	麻	má
麻痹	麻痹	mábì
麻木	麻木	mámù
麻將	麻将	májiàng
馬後炮	马后炮	mǎhòupào
麻醉	麻醉	mázuì
馬力	马力	mǎlì
麻辣	麻辣	málà
馬桶	马桶	mǎtǒng
馬戲	马戏	mǎxì
馬虎	马虎	mǎhu
埋藏	埋藏	máicáng
碼	码	mǎ
埋伏	埋伏	máifu
埋沒	埋没	máimò
邁	迈	mài
買不起	买不起	mǎibuqǐ
邁進	迈进	màijìn
脈搏	脉搏	màibó
賣弄	卖弄	màinong
脈絡	脉络	màiluò
埋怨	埋怨	mányuàn
瞞	瞒	mán
蠻	蛮	mán
滿懷	满怀	mǎnhuái
漫	漫	màn
蔓延	蔓延	mànyán
漫遊	漫游	mànyóu
忙碌	忙碌	mánglù
慢慢來	慢慢来	mànmànlái
忙亂	忙乱	mángluàn
慢性	慢性	mànxìng
忙活	忙活	mánghuo
盲目	盲目	mángmù
茫然	茫然	mángrán
茅臺	茅台	Máotái
茂密	茂密	màomì
矛頭	矛头	máotóu
茂盛	茂盛	màoshèng
冒犯	冒犯	màofàn
冒充	冒充	màochōng
冒昧	冒昧	màomèi
冒險	冒险	mào xiǎn
沒說的	没说的	méishuōde
沒勁	没劲	méi jìn
沒轍	没辙	méizhé
沒完沒了	没完没了	méiwán-méiliǎo
玫瑰	玫瑰	méigui
沒意思	没意思	méi yìsi
沒準兒	没准儿	méizhǔnr5
眉開眼笑	眉开眼笑	méikāi-yǎnxiào
枚	枚	méi
眉毛	眉毛	méimao
煤礦	煤矿	méikuàng
每當	每当	měidāng
每逢	每逢	měiféng
煤炭	煤炭	méitàn
美觀	美观	měiguān
美德	美德	měidé
美化	美化	měihuà
美景	美景	měijǐng
美滿	美满	měimǎn
美人	美人	měirén
美妙	美妙	měimiào
美中不足	美中不足	měizhōng-bùzú
美味	美味	měiwèi
美滋滋	美滋滋	měizīzī
魅力	魅力	mèilì
門當戶對	门当户对	méndāng-hùduì
門檻	门槛	ménkǎn
門鈴	门铃	ménlíng
悶	闷	mèn
門路	门路	ménlu
萌發	萌发	méngfā
盟友	盟友	méngyǒu
萌芽	萌芽	méngyá
朦朧	朦胧	ménglóng
猛然	猛然	měngrán
夢幻	梦幻	mènghuàn
猛烈	猛烈	měngliè
彌漫	弥漫	mímàn
迷惑	迷惑	míhuo
迷惑不解	迷惑不解	míhuòbùjiě
彌補	弥补	míbǔ
迷戀	迷恋	míliàn
迷路	迷路	mí lù
迷失	迷失	míshī
謎	谜	mèi
謎底	谜底	mídǐ
謎團	谜团	mítuán
祕方	秘方	mìfāng
謎語	谜语	míyǔ
祕訣	秘诀	mìjué
密封	密封	mìfēng
密不可分	密不可分	mìbùkěfēn
密度	密度	mìdù
蜜蜂	蜜蜂	mìfēng
蜜	蜜	mì
密集	密集	mìjí
蜜月	蜜月	mìyuè
棉花	棉花	miánhua
免	免	miǎn
免不了	免不了	miǎnbuliǎo
免除	免除	miǎnchú
免疫	免疫	miǎnyì
免職	免职	miǎn zhí
勉強	勉强	miǎnqiǎng
緬懷	缅怀	miǎnhuái
麵粉	面粉	miànfěn
面部	面部	miànbù
面紅耳赤	面红耳赤	miànhóng-ěrchì
面面俱到	面面俱到	miànmiàn-jùdào
苗條	苗条	miáotiao
面目全非	面目全非	miànmù-quánfēi
苗頭	苗头	miáotou
苗	苗	miáo
描繪	描绘	miáohuì
瞄準	瞄准	miáo zhǔn
廟	庙	miào
渺小	渺小	miǎoxiǎo
廟會	庙会	miàohuì
滅亡	灭亡	mièwáng
滅絕	灭绝	mièjué
民辦	民办	mínbàn
