阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
起勁	起劲	qǐjìn	vigorously, energetically, enthusiastically
起跑線	起跑线	qǐpǎoxiàn	the starting line (of a race), scratch line (in a relay race)
起源	起源	qǐyuán	origin
起伏	起伏	qǐfú	rise and fall, undulate
氣憤	气愤	qìfèn	indignant, furious
氣管	气管	qìguǎn	windpipe, trachea, respiratory tract, air duct, gas pipe
氣餒	气馁	qìněi	to be discouraged
氣泡	气泡	qìpào	bubble, blister (in metal), (of beverages) sparkling, carbonated
氣派	气派	qìpài	imposing manner or style
氣勢	气势	qìshì	air, powder, imposing manner, aura, manner, pith, vigor, atmosphere, vigour, verve, vehemence, fervor, momentum
氣味	气味	qìwèi	tang, wind, odor, savor, aurae, tint, flavor, leavening, savour, flavour, leaven, odour, aura, smatch, tinge, smell, smack, scent, taste
氣息	气息	qìxī	breath, flatus, look, feeling, spirit, smell, snuff, feel, breathing, flavor, tone, taste, flavour
氣魄	气魄	qìpò	spirit, boldness, positive outlook, imposing attitude
氣質	气质	qìzhì	kidney, fibre, charisma, crasis, mettle, humor, temper, predisposition, habit, mould, colour, class, streak, metal, temperament, disposition, strain, habitude, sensitivity, blood, proclivity, karma, gaseity, grain, makings, presence
迄今為止	迄今为止	qìjīnwéizhǐ	so far, up to now, still (not)
契約	契约	qìyuē	legal instrument, charter, bond, bargain, covenant, legal document, compact, stipulation, agreement, instrument, bargaining, pact, obligation, clause, paction, booking, affiance, indenture, promise, article, contract, concordat, official document, deed, handfast
契機	契机	qìjī	moment, critical point, turning, turning point, juncture, moment o turning point, turning/critical point, momentum
迄今	迄今	qìjīn	so far, to date, until now
器材	器材	qìcái	materials, materiel, equipment
器械	器械	qìxiè	apparatus, instrument, equipment, weapon
卡	卡	kǎ	to stop, to block, card, CL:張|张[zhang1],片[pian4], calorie, cassette, (computing) (coll.) slow, to block, to be stuck, to be wedged, customs station, a clip, a fastener, a checkpost, Taiwan pr. [ka3]
掐	掐	qiā	to pick (flowers), to pinch, to nip, to pinch off, to clutch, (slang) to fight
洽談	洽谈	qiàtán	hold trade talk, negotiate
恰到好處	恰到好处	qiàdào-hǎochù	it's just perfect, it's just right
卡子	卡子	qiǎzi	clip, hair fastener, checkpoint
恰恰相反	恰恰相反	qiàqiàxiāngfǎn	Contrary
恰如其分	恰如其分	qiàrú-qífèn	to say or do sth appropriate (idiom)
恰巧	恰巧	qiàqiǎo	fortunately, unexpectedly, by coincidence
千變萬化	千变万化	qiānbiàn-wànhuà	countless changes, constant permutation
千家萬戶	千家万户	qiānjiā-wànhù	every family (idiom)
千方百計	千方百计	qiānfāng-bǎijì	lit. thousand ways, a hundred plans (idiom), by every possible means
千鈞一髮	千钧一发	qiānjūn-yīfà	a thousand pounds hangs by a thread (idiom), imminent peril, a matter of life or death
千軍萬馬	千军万马	qiānjūn-wànmǎ	magnificent army with thousands of men and horses (idiom), impressive display of manpower, all the King's horses and all the King's men
遷就	迁就	qiānjiù	to yield, to adapt to, to accommodate to (sth)
遷	迁	qiān	movement, change, move
遷移	迁移	qiānyí	move, remove, migrate
牽扯	牵扯	qiānchě	to involve, to implicate
牽涉	牵涉	qiānshè	involve, drag in
牽掛	牵挂	qiānguà	to worry about, to be concerned about
牽頭	牵头	qiān tóu	to lead (an animal by the head), to take the lead, to coordinate (a combined operation), to mediate, a go-between (e.g. marriage broker)
鉛	铅	qiān	lead (chemistry)
牽制	牵制	qiānzhì	to control, to curb, to restrict, to impede, to pin down (enemy troops)
謙遜	谦逊	qiānxùn	humble, modest, unpretentious, modesty
簽署	签署	qiānshǔ	sign/initial (a document)
前輩	前辈	qiánbèi	senior, older generation, precursor
前不久	前不久	qiánbùjiǔ	not long ago, not long before
前赴後繼	前赴后继	qiánfù-hòujì	to advance dauntlessly in wave upon wave (idiom)
簽	签	qiān	sign, autograph
前期	前期	qiánqī	preceding period, early stage
前所未有	前所未有	qiánsuǒwèiyǒu	unprecedented
前任	前任	qiánrèn	predecessor
前無古人	前无古人	qiánwúgǔrén	Before no ancient people
前夕	前夕	qiánxī	eve, the day before
前臺	前台	qiántái	stage, proscenium, foreground in politics etc (sometimes derog.), front desk, reception desk, (computing) front-end, foreground
前線	前线	qiánxiàn	front line, military front, workface, cutting edge
前仰後合	前仰后合	qiányǎng-hòuhé	to sway to and fro, to rock back and forth
前者	前者	qiánzhě	predecessor, the former, former
前沿	前沿	qiányán	front-line, forward position, outpost, extending ahead, frontier (of science, technology etc)
虔誠	虔诚	qiánchéng	pious, devout, sincere
鉗子	钳子	qiánzi	pliers, pincers, tongs, forceps, vise, clamp, claw (of a crab etc), CL:把[ba3], (dialect) earring
錢財	钱财	qiáncái	wealth, money
潛能	潜能	qiánnéng	latent, possibility, latent energy, potency, ability, latent ability, ergal, potentiality, latent energy/ability, potential
潛艇	潜艇	qiántǐng	submarine
潛移默化	潜移默化	qiányí-mòhuà	imperceptible influence, to influence secretly
潛在	潜在	qiánzài	potential, latent
潛水	潜水	qiánshuǐ	dive, go under water
譴責	谴责	qiǎnzé	condemn, denounce, censure
欠缺	欠缺	qiànquē	lack, be deficient, be short of
欠條	欠条	qiàntiáo	IOU, certificate of indebtedness
嗆	呛	qiāng	to choke (because of swallowing the wrong way), to irritate the nose, to choke (of smoke, smell etc), pungent, (coll.) (Tw) to shout at sb, to scold, to speak out against sb
歉意	歉意	qiànyì	apology, regret
槍斃	枪毙	qiāngbì	to execute by firing squad, to shoot dead, fig. to discard, to get rid of
強加	强加	qiángjiā	to impose, to force upon
強勁	强劲	qiángjìng	strong, forceful, sturdy, powerful
強項	强项	qiángxiàng	key strength, strong suit, specialty
強硬	强硬	qiángyìng	tough, unyielding, hard-line
強行	强行	qiángxíng	force
腔	腔	qiāng	cavity of body, barrel (e.g. engine cylinder), compartment, tune, accent of speech
強占	强占	qiángzhàn	to occupy by force
強制	强制	qiángzhì	to enforce, enforcement, forcibly, compulsory
搶奪	抢夺	qiǎngduó	to plunder, to pillage, to forcibly take
搶眼	抢眼	qiǎngyǎn	eye-catching
敲邊鼓	敲边鼓	qiāo biāngǔ	to back sb up, to support sb in an argument, (lit. to beat nearby drum)
搶劫	抢劫	qiǎngjié	to rob, looting
敲詐	敲诈	qiāozhà	to rip off, to extort (money), extortion, blackmail
喬裝	乔装	qiáozhuāng	to pretend, to feign, to disguise oneself
瞧不起	瞧不起	qiáobuqǐ	to look down upon, to hold in contempt
竅門	窍门	qiàomén	a trick, an ingenious method, know-how, the knack (of doing sth)
巧合	巧合	qiǎohé	coincidence, coincidental, to coincide
翹	翘	qiào	outstanding, to raise, to stick up, to rise on one end, to tilt
切除	切除	qiēchú	excise, resect
切斷	切断	qiē duàn	sever, shut_off, amputate, disconnect, cut_off, joint, cut off, mutilate, cutting_off, lop, hang_up, interrupt, hang up, guillotine
切割	切割	qiēgē	to cut
撬	撬	qiào	to lift, to pry open, to lever open
且	且	qiě	conj.:
切身	切身	qièshēn	direct, concerning oneself, personal
竊取	窃取	qièqǔ	to steal, to seize
欽佩	钦佩	qīnpèi	to admire, to look up to, to respect sb greatly
侵害	侵害	qīnhài	encroach on (other's rights), violate
侵略	侵略	qīnlüè	invade
侵占	侵占	qīnzhàn	to invade and occupy (territory)
親和力	亲和力	qīnhélì	(personal) warmth, approachability, accessibility, (in a product) user friendliness, (chemistry) affinity
侵權	侵权	qīnquán	to infringe the rights of, to violate, infringement
親朋好友	亲朋好友	qīnpénghǎoyǒu	friends and family, kith and kin
親近	亲近	qīnjìn	hobnob, hang out, affiliate, close, be close to, know, be on intimate terms with, intimate
親戚	亲戚	qīnqi	belongings, relation, kinswoman, kinsman, kith, kindred, cousinry, sib, ally, relative, relatives, kin, connection, kinsfolk, cousin
親情	亲情	qīnqíng	affection, family love, love, esp. within a married couple or between parents and children
親熱	亲热	qīnrè	affectionate, intimate, warmhearted, to get intimate with sb
親身	亲身	qīnshēn	in person, personally, first-hand
親手	亲手	qīnshǒu	personally, with one's own hands
親生	亲生	qīnshēng	one's own (child) (i.e. one's child by birth), biological (parents), birth (parents)
親友	亲友	qīnyǒu	gossip, kith, hail-fellow, relatives and friends, kith and kin, sidekick, familiar, inseparable
勤工儉學	勤工俭学	qíngōng-jiǎnxué	to work part time while studying, work-study program
勤勞	勤劳	qínláo	hardworking, ply, industrious
勤快	勤快	qínkuai	diligent, hardworking
寢室	寝室	qǐnshì	bedchamber, sleeping room, roost, chamber, dormitory, bower, lying, bedroom
青春期	青春期	qīngchūnqī	puberty, adolescence
青蛙	青蛙	qīngwā	frog, CL:隻|只[zhi1], (slang) ugly guy
輕而易舉	轻而易举	qīngéryìjǔ	easy, with no difficulty
輕蔑	轻蔑	qīngmiè	to contempt, to disdain, pejorative
輕型	轻型	qīngxíng	light (machinery, aircraft etc)
輕微	轻微	qīngwēi	light, trifling, trivial
傾家蕩產	倾家荡产	qīngjiā-dàngchǎn	to lose a family fortune (idiom)
傾聽	倾听	qīngtīng	listen attentively to
傾銷	倾销	qīngxiāo	to dump (goods, products)
傾訴	倾诉	qīngsù	to say everything (that is on one's mind)
傾斜	倾斜	qīngxié	to incline, to lean, to slant, to slope, to tilt
清單	清单	qīngdān	list of items
清除	清除	qīngchú	eliminate, get rid of
清脆	清脆	qīngcuì	sharp and clear, crisp, melodious, ringing, tinkling, silvery (of sound), fragile, frail, also written 輕脆|轻脆
清靜	清静	qīngjìng	quiet, peaceful and quiet
清涼	清凉	qīngliáng	fresh and cool, refreshing
清淡	清淡	qīngdàn	light (of food, not greasy or strongly flavored), insipid, slack (sales)
清明	清明	qīngmíng	Qingming or Pure Brightness, 5th of the 24 solar terms 二十四節氣|二十四节气[er4 shi2 si4 jie2 qi5] 5th-19th April, Pure Brightness Festival or Tomb Sweeping Day (in early April), clear and bright, sober and calm, (of a government or administration) well ordered
清晰	清晰	qīngxī	distinct, clear (of sound/view)
清新	清新	qīngxīn	pure and fresh, refreshing (of style/fashion/etc.)
清真寺	清真寺	qīngzhēnsì	mosque
情報	情报	qíngbào	poop, intelligence, intelligencer, tip-off, information, info, gen, dope
情	情	qíng	sensibility, soil moisture content, affection, feeling, state of affairs, circumstances, interest, emotion, sentiment, condition, mood, situation, kindness, love, inclination, favour, passion
情不自禁	情不自禁	qíngbùzìjīn	unable to restrain emotions, cannot help
情懷	情怀	qínghuái	feelings, mood
情調	情调	qíngdiào	sentiment, tone and mood, taste
情結	情结	qíngjié	complex
情侶	情侣	qínglǚ	sweethearts, lovers
情人	情人	qíngrén	inamorato, steady, sweetie, Gill, jo, girlfriend, swain, valentine, paramour, turtledove, jill, girl, sweetling, mouse, heart-throb, lassie, truelove, soul mate, flame, ladybird, ladylove, lover, sweetheart, mistress, admirer, hon, lovey, inamorata, honeybunch, turtle, sweeting, bedmate
情誼	情谊	qíngyì	friendship, camaraderie
情願	情愿	qíngyuàn	willingness, would rather (agree to X than Y)
請帖	请帖	qǐngtiě	invitation card, written invitation
請柬	请柬	qǐngjiǎn	invitation card, written invitation
慶典	庆典	qìngdiǎn	celebration
慶幸	庆幸	qìngxìng	rejoice at a good outcome
慶賀	庆贺	qìnghè	to congratulate, to celebrate
丘陵	丘陵	qiūlíng	hills
囚犯	囚犯	qiúfàn	prisoner, convict
求婚	求婚	qiú hūn	to propose marriage
求學	求学	qiúxué	study, attend school
求救	求救	qiújiù	to cry for help
求證	求证	qiúzhèng	to seek proof, to seek confirmation
求醫	求医	qiúyī	to seek medical treatment, to see a doctor
曲線	曲线	qūxiàn	curve, curved line, indirect, in a roundabout way
曲折	曲折	qūzhé	tortuous, winding, complicated
求助	求助	qiúzhù	invoke, resort, seek help, recur, bring_in, turn to ... for help, appeal
驅動	驱动	qūdòng	prompt, urge, spur on, drive
屈服	屈服	qūfú	to surrender, to yield
驅逐	驱逐	qūzhú	to expel, to deport, banishment
曲	曲	qū	surname Qu, yeast, Aspergillus (includes many common molds), Taiwan pr. [qu2], tune, song, CL:支[zhi1]
趨於	趋于	qūyú	incline to, trend, tend towards, tend
取代	取代	qǔdài	replace, substitute for, replacement, supersede, substitute, supersession, supplant, displace, preempt, outplace, take the place of, displacement
取而代之	取而代之	qǔérdàizhī	to substitute for sb, to remove and replace
取經	取经	qǔ jīng	to journey to India on a quest for the Buddhist scriptures, to learn by studying another's experience
取決於	取决于	qǔjuéyú	depending on
取締	取缔	qǔdì	ban (publication old custom etc.), punish violator
取暖	取暖	qǔ nuǎn	to warm oneself (by a fire etc)
取笑	取笑	qǔxiào	to tease, to make fun of
取勝	取胜	qǔshèng	to score a victory, to prevail over one's opponents
娶	娶	qǔ	get married, conjoin, espouse, wive, take to wife, marry, get hitched with, hook up with, wed, take a wife
去除	去除	qùchú	to remove, to dislodge
去向	去向	qùxiàng	the position of sth, whereabouts
去處	去处	qùchù	place, destination
圈套	圈套	quāntào	trap, snare, trick
趣味	趣味	qùwèi	playfulness, merriment, savor, camp, interest, salt, delight, savour, liking, fun, gout, preference, spice, lust, gusto, palate, taste, delectation
權衡	权衡	quánhéng	to consider, to weigh (a matter), to balance (pros and cons)
權威	权威	quánwēi	authoritativeness, sanction, pontiff, prince, pundit, a person of authority, authority, princedom, muscle, power, pope
圈子	圈子	quānzi	circle, ring, (social) circle
權益	权益	quányì	rights and interests
全程	全程	quánchéng	the whole distance, from beginning to end
全長	全长	quáncháng	overall length, span
全方位	全方位	quánfāngwèi	all around, omni-directional, complete, holistic, comprehensive
全局	全局	quánjú	overall situation
全力以赴	全力以赴	quánlìyǐfù	to do at all costs, to make an all-out effort
全能	全能	quánnéng	omnipotent, all-round, strong in every area
全心全意	全心全意	quánxīn-quányì	heart and soul, wholeheartedly
拳	拳	quán	fist, boxing
全文	全文	quánwén	entire text, full text
勸告	劝告	quàngào	to advise, to urge, to exhort, exhortation, advice, CL:席[xi2]
勸說	劝说	quànshuō	to persuade, persuasion, to advise
勸阻	劝阻	quànzǔ	to advise against, to dissuade
缺口	缺口	quēkǒu	nick, jag, gap, shortfall
拳頭	拳头	quántou	fist, clenched fist, CL:個|个[ge4], competitive (product)
確切	确切	quèqiè	correct, accurate, clear and unambiguous, precise, exact, definite, tangible
缺失	缺失	quēshī	lacuna, drawback, gaps and omissions, deletion, defect, hole
確信	确信	quèxìn	to be convinced, to be sure, to firmly believe, to be positive that, definite news
缺席	缺席	quē xí	be absent (from meeting/etc.)
確診	确诊	quèzhěn	to make a definite diagnosis
確鑿	确凿	quèzáo	definite, conclusive, undeniable, authentic, also pr. [que4 zuo4]
燃放	燃放	ránfàng	to light, to set off (firecrackers etc)
燃氣	燃气	ránqì	natural gas
燃油	燃油	rányóu	fuel oil
讓步	让步	ràng bù	to concede, to give in, to yield, a concession
嚷	嚷	rǎng	to blurt out, to shout
饒	饶	ráo	surname Rao, rich, abundant, exuberant, to add for free, to throw in as bonus, to spare, to forgive, despite, although
擾亂	扰乱	rǎoluàn	to disturb, to perturb, to harass
饒恕	饶恕	ráoshù	to forgive, to pardon, to spare
繞行	绕行	ràoxíng	detour, long way around
惹	惹	rě	provoke
熱潮	热潮	rècháo	rush, surge, spate, upsurge
熱氣	热气	rèqì	steam, heat, CL:股[gu3]
熱帶	热带	rèdài	tropical zone, Torrid Zone, savanna, torrid, the tropics, the torrid zone, tropical_zone, tropical, tropic, tropics
熱騰騰	热腾腾	rèténgténg	Fever
熱衷	热衷	rèzhōng	to feel strongly about, to be fond of, obsession, deep commitment
熱氣球	热气球	rèqìqiú	hot air balloon
人道	人道	réndào	human sympathy
人次	人次	réncì	man-times, man-times (analogous to "man-hours")
人格	人格	réngé	lot, fibre, fiber, character, spirit, selfhood, manhood, personality
人工智能	人工智能	réngōngzhìnéng	artificial intelligence (AI)
人均	人均	rénjūn	per capita
人品	人品	rénpǐn	moral standing, moral quality, character, personality, appearance, looks (colloquial), bearing
人情	人情	rénqíng	human feelings, favor, gift, present
人氣	人气	rénqì	popularity, personality, character
人身	人身	rénshēn	person, personal, human body
人事	人事	rénshì	personnel, ways of the world, what is humanly possible, human affairs, occurrences in human life, consciousness of the outside world, personnel matters
人手	人手	rénshǒu	manpower, staff, human hand
人體	人体	réntǐ	soma, form, body, build, human body, anatomy, figure, chassis, physique, bod, carcass, shape, frame, physical body, material body, flesh, anthropometry
人為	人为	rénwéi	man-made, artificial
人文	人文	rénwén	letters, humanity, humanities
人行道	人行道	rénxíngdào	sidewalk
人選	人选	rénxuǎn	choice among persons
人緣兒	人缘儿	rényuánr5	relations with other people, erhua variant of 人緣|人缘[ren2 yuan2]
人造	人造	rénzào	man-made, synthetic, artificial
人性	人性	rénxing	reason, hypostasis, humanitarianism, normal human feelings, humanness, humanity, humanism, human nature, flesh, humanistic, manhood
人質	人质	rénzhì	hostage
仁慈	仁慈	réncí	benevolent, charitable, kind, kindly, kindness, merciful
忍飢挨餓	忍饥挨饿	rěnjī-áiè	starving, famished
忍耐	忍耐	rěnnài	forbear, stand, go, stomach, abide, put up, hold_out, suppress, sustain, brave out, persevere, remain, support, endure, put up with, exercise restraint, suffer, restrain oneself, brave, bear, brook, resist, exercise patience, tolerate, thole, weather
忍心	忍心	rěn xīn	to have the heart to do sth, to steel oneself to a task
認錯	认错	rèn cuò	to admit an error, to acknowledge one's mistake
認證	认证	rènzhèng	to authenticate, to approve
任命	任命	rènmìng	to appoint and nominate, (job) appointment, CL:紙|纸[zhi3]
認知	认知	rènzhī	cognize, perceive
任期	任期	rènqī	term of office
任人宰割	任人宰割	rènrén-zǎigē	to get trampled on (idiom), to be taken advantage of
任意	任意	rènyì	willfully, at_will, arbitrarily
任職	任职	rèn zhí	assignment, be in office, serve, hold a position, hold a post
韌性	韧性	rènxìng	toughness
日程	日程	rìchéng	schedule, itinerary, CL:個|个[ge4]
日復一日	日复一日	rìfùyīrì	day after day
日前	日前	rìqián	the other day, a few days ago
日後	日后	rìhòu	in the future
日趨	日趋	rìqū	gradually, day_by_day
日新月異	日新月异	rìxīn-yuèyì	daily renewal, monthly change (idiom), every day sees new developments, rapid progress
日益	日益	rìyì	increasingly
榮獲	荣获	rónghuò	have the honor to win
榮幸	荣幸	róngxìng	honored (to have the privilege of ...)
榮譽	荣誉	róngyù	honour, accolade, palm, commendation, credit, lustre, kudos, luster, bay, garland, izzat, laurels, glorification, glory, distinction, honor
容光煥發	容光焕发	róngguāng-huànfā	face glowing (idiom), looking radiant, all smiles
容忍	容忍	róngrěn	tolerate, condone
容量	容量	róngliàng	volume, measure of capacity, can, capability, capacity (of container), capacity, bulk, volumetric, canful, content
容納	容纳	róngnà	have capacity for, receive, admit, take, accommodate, store, recipient, seat, hold, accept, carry, bear, contain, have a capacity of
容顏	容颜	róngyán	mien, complexion
容許	容许	róngxǔ	let_in, have, receive, can, permission, permit, allow for, may, adhibit, might, admissive, provide for, admit, concede, cede, leave, suffer, tolerate, allow
溶解	溶解	róngjiě	to dissolve
融	融	róng	to melt, to thaw, to blend, to merge, to be in harmony, old variant of 融[rong2]
融化	融化	rónghuà	to melt, to thaw, to dissolve, to blend into, to combine, to fuse
冗長	冗长	rǒngcháng	long and tedious, redundant, superfluous, supernumerary, verbose (of writing)
融洽	融洽	róngqià	harmonious, friendly relations, on good terms with one another
柔和	柔和	róuhé	gentle, soft
柔軟	柔软	róuruǎn	lithe, whippy, soft
如果說	如果说	rúguǒshuō	conj.: if
揉	揉	róu	to knead, to massage, to rub
如實	如实	rúshí	as things really are, realistic
如意	如意	rú yì	as one wishes
如願以償	如愿以偿	rúyuàn-yǐcháng	to have one's wish fulfilled
儒家	儒家	Rújiā	Confucian school
如醉如痴	如醉如痴	rúzuì-rúchī	lit. as if drunk and stupefied (idiom), intoxicated by sth, obsessed with, mad about sth, also written 如癡如醉|如痴如醉[ru2 chi1 ru2 zui4]
入場	入场	rù chǎng	to enter the venue for a meeting, to enter into an examination, to enter a stadium, arena etc
儒學	儒学	rúxué	Confucianism
入場券	入场券	rùchǎngquàn	admission ticket
入侵	入侵	rùqīn	invade
入境	入境	rù jìng	enter a country
入選	入选	rù xuǎn	select, be selected, be chosen
軟弱	软弱	ruǎnruò	weak, feeble, flabby
軟實力	软实力	ruǎnshílì	soft power (i.e. media influence, propaganda and cultural ties in lieu of military power)
瑞雪	瑞雪	ruìxuě	timely snow
潤	润	rùn	to moisten, to lubricate, to embellish, moist, glossy, sleek
若干	若干	ruògān	det.: a certain number, how many
弱勢	弱势	ruòshì	the weak
弱點	弱点	ruòdiǎn	Achilles' heel, soft spot, failing, weakness, underbelly, defect, foible, infirmity, weak_point, blot, frailty, drawback, Achilles'_heel, soft_spot, weak point, vulnerability
撒謊	撒谎	sā huǎng	to tell lies
撒	撒	sā	drop, throw off all restraint, strow, shower, spill, release, spread, sprinkle, let oneself go, asperse, cast, let out, bestrewn, dredge, sow, scatter, bescatter, let go
賽車	赛车	sàichē	auto race, cycle race, race car
三番五次	三番五次	sānfān-wǔcì	over and over again (idiom)
賽跑	赛跑	sàipǎo	race (running), to race (running)
三角	三角	sānjiǎo	triangle
三維	三维	sānwéi	three-dimensional, 3D
散布	散布	sànbù	to disseminate
桑拿	桑拿	sāngná	sauna (loanword)
嗓子	嗓子	sǎngzi	throat, voice, CL:把[ba3]
散發	散发	sànfā	spray, radiate, emission, send out, give forth, exhale, distribution, diffuse, distribute, emit, issue, diffusion, emanate, send forth, sent out, give out, reek, furnace
喪生	丧生	sàng shēng	to die, to lose one's life
騷亂	骚乱	sāoluàn	disturbance, riot, to create a disturbance
騷擾	骚扰	sāorǎo	harass, molest
掃除	扫除	sǎochú	to sweep, to clean with a brush, to sweep away (often fig.)
掃描	扫描	sǎomiáo	scan
掃興	扫兴	sǎo xìng	to have one's spirits dampened, to feel disappointed
嫂子	嫂子	sǎozi	(coll.) older brother's wife, sister-in-law, CL:個|个[ge4]
掃墓	扫墓	sǎo mù	to sweep the tombs (of one's ancestors), the Qingming festival
殺害	杀害	shāhài	cut_down, liquidate, killing, kill, slay, cut_off, grease, remove, murder, destroy, do in, waste, ice, knock off
僧人	僧人	sēngrén	monk
殺手	杀手	shāshǒu	killer, murderer, hit man, (sports) formidable player
沙龍	沙龙	shālóng	salon (loanword)
紗	纱	shā	cotton yarn, muslin
沙灘	沙滩	shātān	sandy beach
砂糖	砂糖	shātáng	granulated sugar
剎車	刹车	shāchē	to brake (when driving), to stop, to switch off, to check (bad habits), a brake
鯊魚	鲨鱼	shāyú	shark
傻瓜	傻瓜	shǎguā	idiot, fool
篩	筛	shāi	to filter, to sift, to sieve
曬太陽	晒太阳	shài tàiyang	Sun
山川	山川	shānchuān	Mountainous
篩選	筛选	shāixuǎn	to filter
山岡	山冈	shāngāng	mound, small hill
山嶺	山岭	shānlǐng	mountain ridge
山頂	山顶	shāndǐng	hilltop
山寨	山寨	shānzhài	fortified hill village, mountain stronghold (esp. of bandits), (fig.) knockoff (goods), counterfeit, imitation
山路	山路	shānlù	nek, pass, mountain road, mountain trail, ghaut, ghat
刪除	删除	shānchú	delete, leave out
刪	删	shān	to delete
煽動	煽动	shāndòng	to incite, to instigate
閃爍	闪烁	shǎnshuò	twinkle, flicker, glisten
善意	善意	shànyì	good_faith, grace, good intention, benevolence, love, goodwill, good will
善	善	shàn	good (virtuous), benevolent, well-disposed, good at sth, to improve or perfect
擅長	擅长	shàncháng	excel, surpass, stand out, be good at, be skilled in, be expert in
擅自	擅自	shànzì	without permission, of one's own initiative
膳食	膳食	shànshí	meal
贍養	赡养	shànyǎng	to support, to provide support for, to maintain
傷殘	伤残	shāngcán	disabled, maimed, crippled, (of objects) damaged
傷痕	伤痕	shānghén	scar, bruise
傷腦筋	伤脑筋	shāng nǎojīn	to be a real headache, to find sth a real headache, to beat one's brains
傷勢	伤势	shāngshì	condition of an injury
傷感	伤感	shānggǎn	sad, emotional, sentimental, pathos
商販	商贩	shāngfàn	trader, peddler
商討	商讨	shāngtǎo	to discuss, to deliberate
商賈	商贾	shānggǔ	merchant
上報	上报	shàng bào	to report to one's superiors, to appear in the news, to reply to a letter
上場	上场	shàng chǎng	appear on the stage, enter, appear, enter the playing court, enter the playing field, enter the stage, appear on stage
上方	上方	shàngfāng	Above
上崗	上岗	shàng gǎng	to take up one's post, to be given a job
上火	上火	shàng huǒ	to get angry, to suffer from excessive internal heat (TCM)
上空	上空	shàngkōng	in the sky, overhead
上流	上流	shàngliú	upper class
上任	上任	shàng rèn	take up an official post, assume post, incept, assume office
上期	上期	shàngqī	Previous period
上述	上述	shàngshù	above-mentioned
上司	上司	shàngsi	superior, boss
上訴	上诉	shàngsù	to appeal (a judicial case), appeal
上調	上调	shàngdiào	to raise (prices), to adjust upwards
上頭	上头	shàngtou	(of alcohol) to go to one's head, (old) (of a bride-to-be) to bind one's hair into a bun, (of a prostitute) to receive a patron for the first time, above, on top of, on the surface of
上限	上限	shàngxiàn	cap, upper limit
上旬	上旬	shàngxún	first third of a month
上癮	上瘾	shàng yǐn	to get into a habit, to become addicted
上游	上游	shàngyóu	upper reaches of river, advanced position
上映	上映	shàngyìng	to show (a movie), to screen
尚	尚	shàng	still, yet, fairly, rather
尚未	尚未	shàngwèi	as yet, til now, heretofore, yet, thus far, so far, until now, up to now, hitherto, not_yet, not yet
捎	捎	shāo	to bring sth to sb, to deliver
燒毀	烧毁	shāohuǐ	to burn, to burn down
燒烤	烧烤	shāokǎo	barbecue, to roast
稍後	稍后	shāohòu	later on
稍稍	稍稍	shāoshāo	somewhat, a little, slightly
少見	少见	shǎojiàn	rare, seldom seen, unique
少不了	少不了	shǎobuliǎo	cannot do without, to be unavoidable, are bound to be many
少量	少量	shǎoliàng	dribblet, morsel, modicum, scattering, a few, whit, inch, small, daub, det.: a few, slug, element, dash, haet, dearth, fleabite, sprinkle, little, shred, smidgen, soupcon, a little/few, bit, suspicion, mouthful, tot, littleness, trifle, snack, small quantity, spot, few, groat, paucity, nibble, smattering, small amount, ounce, rag, lick, spatter, tad, skerrick, pennyworth, small amount/quanti
稍候	稍候	shāohòu	Wait a moment
少林寺	少林寺	Shàolínsì	Shaolin Temple, Buddhist monastery famous for its kung fu monks
少有	少有	shǎoyǒu	rare, infrequent
奢侈	奢侈	shēchǐ	luxurious, extravagant
少女	少女	shàonǚ	signorina, tomato, puss, teens, Gill, bobbysocker, gill, trick, nymph, chick, pussy, missy, maiden, wench, bobbysoxer, demoiselle, girlish, damsel, girl, sheila, miss, jeune fille, squab, wren, pigeon, colleen, maid, burd, bud, lassie, virgin, girlishness, number, gal, skirt, fille, teenager, quean, lass, quail, shrimp, young girl, maidish
奢望	奢望	shēwàng	an extravagant hope, to have excessive expectations
設	设	shè	set up, found
設定	设定	shèdìng	frame, time
設法	设法	shèfǎ	contrive, think up a method, devise, try
社交	社交	shèjiāo	social_intercourse, converse, social interaction, social contact, interaction, social contact/interaction, coterie, sociality, commerce
社會主義	社会主义	shèhuìzhǔyì	socialist, socialism
社論	社论	shèlùn	editorial (in a newspaper), CL:篇[pian1]
社團	社团	shètuán	gild, college, lodge, association, organization, club, body of persons, society, mass organization, order, league, guild, confraternity, corporation
攝氏度	摄氏度	shèshìdù	degrees centigrade
誰知道	谁知道	shuí zhīdào	God knows..., Who would have imagined...?
涉嫌	涉嫌	shèxián	alleged, be a suspect, be suspected of being involved
申辦	申办	shēnbàn	apply for
申領	申领	shēnlǐng	to apply (for license, visa etc)
伸手	伸手	shēn shǒu	ask for help, stretch one's hand, meddle in, stretch, hold out one's hand, stretch out one's hand, reach
伸縮	伸缩	shēnsuō	to lengthen and shorten, flexible, adjustable, retractable, extensible, telescoping (collapsible)
申報	申报	shēnbào	report to higher body, declare (dutiable goods)
伸張	伸张	shēnzhāng	to uphold (e.g. justice or virtue), to promote
身不由己	身不由己	shēnbùyóujǐ	without the freedom to act independently (idiom), involuntary, not of one's own volition, in spite of oneself
身軀	身躯	shēnqū	body
