挨著	挨着	āizhe	near
王后	王后	wánghòu	queen, CL:個|个[ge4],位[wei4]
王子	王子	wángzǐ	king's son, prince
往後	往后	wǎnghòu	from now on, in the future, time to come
網吧	网吧	wǎngbā	Internet café
網頁	网页	wǎngyè	web page
往年	往年	wǎngnián	in former years, in previous years
望見	望见	wàngjiàn	to espy, to spot
危機	危机	wēijī	ambush, clutch, climacteric, crisis, precipice, hump, conjuncture, juncture, sharpness, gravity, edge
威脅	威胁	wēixié	threat
往來	往来	wǎnglái	contact, intercourse
微波爐	微波炉	wēibōlú	microwave oven, CL:臺|台[tai2]
維生素	维生素	wéishēngsù	vitamin
為此	为此	wèicǐ	for this reason, with regards to this, in this respect, in order to do this, to this end
為何	为何	wèihé	why, for what reason
臥鋪	卧铺	wòpù	a bed (on a train), a couchette
文娛	文娱	wényú	cultural recreation, entertainment
無邊	无边	wúbiān	without boundary, not bordered
烏雲	乌云	wūyún	black cloud
無關	无关	wúguān	have nothing to do with
物品	物品	wùpǐn	whatchamacallit, sundry, stuff, commodity, affair, physical object, goods, article, object, content, whatsis, res, sundries
無效	无效	wúxiào	of/to no avail, null and void
誤	误	wù	mistake, error, to miss, to harm, to delay, to neglect, mistakenly
舞蹈	舞蹈	wǔdǎo	dancing, saltation, nautch, dance, terpsichore, choreography, stage dancing
西班牙語	西班牙语	Xībānyáyǔ	Spanish language
吸毒	吸毒	xī dú	take drugs
犧牲	牺牲	xīshēng	sacrifice oneself, die martyr's death, do sth. at the expense of self or sb. else
洗衣粉	洗衣粉	xǐyīfěn	laundry detergent, washing powder
細胞	细胞	xìbāo	cell
戲曲	戏曲	xìqǔ	traditional opera, drama, trad. opera, singing parts in ^chuan2 qi2 ^ and ^za2, singing parts in ^chuan2qi2^ and ^za2ju4^
細菌	细菌	xìjūn	bacillus, bacilli, bacteria, B, bacteriological, microbe, contaminant, bacterium, clump, germ, microphyte, bacterial
先鋒	先锋	xiānfēng	vanguard, pioneer
嫌	嫌	xián	dislike, mind
顯出	显出	xiǎn chū	to express, to exhibit
險	险	xiǎn	danger, dangerous, rugged
陷入	陷入	xiànrù	plunge, be immersed in, land oneself in, slump, be caught in, lapse, launch, get_into, fall_in, invaginate, be deep in, engulf, run_into, fall_into, be lost/immersed in, be lost, sink into, tangle, fall into, immerse, sink, be lost in, bed, immersed in, get bogged down in, land, sink/fall into
響聲	响声	xiǎngshēng	noise
線路	线路	xiànlù	wiring, line, route, circuit
想不到	想不到	xiǎngbudào	unable to anticipate
消耗	消耗	xiāohào	consume, use up, deplete
消滅	消灭	xiāomiè	eradicate, die out, eliminate, abolish, wipe out, annihilate, kill, slake, decimate, carry off, disappear, exterminate, lapse, expunge, abolition, knock out, quell, destroy, pass away, kill off, deafen, extermination, detruncate, liquidate, snuff_out, snuff out, extirpate, snuff, elimination, perish, discreate, vanish, extinguish
小費	小费	xiǎofèi	tip, gratuity
小麥	小麦	xiǎomài	wheat, CL:粒[li4]
小於	小于	xiǎoyú	less than, <
笑臉	笑脸	xiàoliǎn	smiling face, smiley :) ☺, CL:副[fu4]
曉得	晓得	xiǎode	tell, know, ken
笑容	笑容	xiàoróng	grinning, smiling expression, laugh, smiling, a smile, a smiling face, smile, grin
笑聲	笑声	xiàoshēng	laughter
協會	协会	xiéhuì	an association, a society, CL:個|个[ge4],家[jia1]
協商	协商	xiéshāng	consult, talk things over
協調	协调	xiétiáo	coordinate, harmonize, bring into line
寫字樓	写字楼	xiězìlóu	office building
協助	协助	xiézhù	assist, help
寫字檯	写字台	xiězìtái	writing desk
心願	心愿	xīnyuàn	breathing
心臟	心脏	xīnzàng	ticker, cardiac, center, pump, heart
心靈	心灵	xīnlíng	psychical, mind, psyche, soul, spirit, mens, heart
心臟病	心脏病	xīnzàngbìng	heart disease
新人	新人	xīnrén	newlywed
新興	新兴	xīnxīng	burgeoning, new and developing, newly_arisen, rising
薪水	薪水	xīnshui	stipend, emolument, remuneration, screw, pay, wages, earnings, fee, compensation, pay_packet, salary, wage, living
信仰	信仰	xìnyǎng	belief
信用	信用	xìnyòng	honour, trustfulness, confidence, trustingness, trustworthiness, repute, affiance, credit, reposal, trust, tick, reputation, credence, jawbone, honor
行程	行程	xíngchéng	throw, travel, tenor, itinerary, route, journey, route/distance of travel, distance of travel, stroke, route of travel
興旺	兴旺	xīngwàng	prosperous, thriving, to prosper, to flourish
形	形	xíng	form, shape, body, entity
凶手	凶手	xiōngshǒu	murderer, assassin
袖珍	袖珍	xiùzhēn	pocket-sized, pocket (book etc)
修車	修车	xiūchē	to repair a bike (car etc)
凶	凶	xiōng	vicious, fierce, ominous, inauspicious, famine, variant of 兇|凶[xiong1]
懸	悬	xuán	to hang or suspend, to worry, public announcement, unresolved, baseless, without foundation
旋轉	旋转	xuánzhuǎn	revolve, gyrate, spin
選拔	选拔	xuǎnbá	to select the best
學會	学会	xué huì	learned society, (scholarly) association
選舉	选举	xuǎnjǔ	election
學員	学员	xuéyuán	trainee, member of institution of learning, student
血液	血液	xuèyè	blood
血管	血管	xuèguǎn	afferent, vas, vena, blood_vessel, vessel, vein, blood vessel
壓迫	压迫	yāpò	oppress, repress, constrict
循環	循环	xúnhuán	circulate, cycle.circulatory system
煙花	烟花	yānhuā	fireworks, prostitute (esp. in Yuan theater)
沿海	沿海	yánhǎi	coast, coastal, along the coast, littoral
沿	沿	yán	along
沿著	沿着	yánzhe	to go along, to follow
研發	研发	yánfā	research and develop, R&D, research and develop something, research and development
眼看	眼看	yǎnkàn	see sth. happen, watch helplessly
演奏	演奏	yǎnzòu	give instrumental performance
宴會	宴会	yànhuì	banquet, feast, dinner party, CL:席[xi2],個|个[ge4]
仰	仰	yǎng	surname Yang, to face upward, to look up, to admire, to rely on
洋	洋	yáng	ocean, vast, foreign, silver dollar or coin
養老	养老	yǎng lǎo	to provide for the elderly (family members), to enjoy a life in retirement
樣	样	yàng	m.[kind]
氧氣	氧气	yǎngqì	O, atomic number 8, oxygen
藥品	药品	yàopǐn	pharmaceutical, medicines and chemical reagents, drug, restorative
要不然	要不然	yàoburán	conj.: otherwise, or else, or
要好	要好	yàohǎo	to be on good terms, to be close friends, striving for self-improvement
要麼	要么	yàome	or, either one or the other
要素	要素	yàosù	basics, ingredient, essential, key element, constituent, fashioning, element, core, making, stuff, essential factor, factor, essence, strand, elemental, devising, chemistry, requisite, momentum
野	野	yě	wild, undomesticated
野生	野生	yěshēng	desert, wild, godforsaken, waste, feral, uncultivated
醫藥	医药	yīyào	medicament, medicine, curative, medication, remedy, physic
依次	依次	yīcì	in order, in succession
依賴	依赖	yīlài	rely/depend on
一次性	一次性	yīcìxìng	one-off (offer), one-time, single-use, disposable (goods)
一道	一道	yīdào	together
一代	一代	yīdài	generation
一貫	一贯	yīguàn	consistent, persistent, all along
一路上	一路上	yīlùshàng	All the way
儀器	仪器	yíqì	instrumentation, device, setup, apparatus, instrumental, instrument, armamentarium
儀式	仪式	yíshì	religious rite, ceremonial occasion, deeds, practice, form, rituality, office, formality, ritual, circumstance, ceremony, formalness, exercise, powwow, observance, ceremonial, rite, works
一番	一番	yì fān	Some
遺憾	遗憾	yíhàn	regret, pity
一模一樣	一模一样	yīmú-yīyàng	exactly the same (idiom), carbon copy, also pr. [yi1 mo2 yi1 yang4]
一時	一时	yīshí	a period of time, a while, for a short while, temporary, momentary, at the same time
一同	一同	yītóng	together
一齊	一齐	yīqí	simul, in unison, together, simultaneously
一行	一行	yīxíng	party, delegation
藝人	艺人	yìrén	creative person, artiste, entertainer, artist, artisan, cackler, actor, handcraftsman, performer
議題	议题	yìtí	item on the agenda, head, question, topic for discussion, topic for/under discussion, topic under discussion, subject under discussion, under discussion, topic for
異常	异常	yìcháng	unusual, extraordinary, abnormal
意想不到	意想不到	yìxiǎngbùdào	unexpected, previously unimagined
意願	意愿	yìyuàn	will, wish, desire, inclination, aspiration, request, pleasure
因素	因素	yīnsù	consideration, ingredient, constituent, factor, strand, component, element
因	因	yīn	conj.: because, as
陰謀	阴谋	yīnmóu	plot, conspiracy
音量	音量	yīnliàng	intensity, volume, quantity, loudness, volume of sound
陰影	阴影	yīnyǐng	umbrage, shadow, shadiness, hatching, spectre, hatch, blight, umbra, penumbra, cloud, umber, shade, shadowiness
音像	音像	yīnxiàng	audio and video, audiovisual
隱私	隐私	yǐnsī	secrets, private business, privacy
隱藏	隐藏	yǐncáng	cache, hold back, hidden, blot_out, suppress, disguise, concealment, remain under cover, lurk, secrete, reserve, recess, hoodwink, dissemble, stash, veil, hold in, bury, hide, conceal, occult, mask, ensconce, cover_up, palliate, obscure, hoard
印	印	yìn	print, engrave
迎來	迎来	yínglái	Ushered
英雄	英雄	yīngxióng	hero
影迷	影迷	yǐngmí	film enthusiast, movie fan, CL:個|个[ge4]
影星	影星	yǐngxīng	film star
用處	用处	yòngchu	use, value, practical application, function, purpose, point, usefulness, mileage, role
應急	应急	yìng jí	to respond to an emergency, to meet a contingency, (attributive) emergency
用法	用法	yòngfǎ	hang, usage, use
用得著	用得着	yòngdezháo	to be able to use, useable, to have a use for sth, (in interrogative sentence) to be necessary to
應對	应对	yìngduì	reply, answer
用心	用心	yòng xīn	be diligent/attentive
優質	优质	yōuzhì	excellent quality
用品	用品	yòngpǐn	succedaneum, articles for use, replacer, substitute
遊玩	游玩	yóuwán	to amuse oneself, to have fun, to go sightseeing, to take a stroll
遊人	游人	yóurén	a tourist
遊戲機	游戏机	yóuxìjī	video game, game machine
遊行	游行	yóuxíng	march, parade, demonstration
有關	有关	yǒuguān	be related
有沒有	有没有	yǒuméiyǒu	have or not have
有事	有事	yǒushì	be occupied/busy, if problems arise
於	于	yú	in, at, to, from, out of, by
娛樂	娱乐	yúlè	amusement, entertainment, recreation
愉快	愉快	yúkuài	be happy, be cheerful
與	与	yǔ	and, together with, to give
宇航員	宇航员	yǔhángyuán	astronaut
預約	预约	yùyuē	make an appointment
雨衣	雨衣	yǔyī	raincoat, CL:件[jian4]
元素	元素	yuánsù	element
園	园	yuán	surname Yuan, land used for growing plants, site used for public recreation
園地	园地	yuándì	special page in periodical, special section in periodical, park/garden area, special section, croft, page in periodical, garden area, special section/page in periodical, garden plot, park area, field, scope, park
原	原	yuán	originally, formerly
原告	原告	yuángào	complainant, plaintiff
原諒	原谅	yuánliàng	excuse, pardon
圓珠筆	圆珠笔	yuánzhūbǐ	ballpoint pen, CL:支[zhi1],枝[zhi1]
緣故	缘故	yuángù	score, grounds, reason, cause, sake
援助	援助	yuánzhù	support, aid
遠遠	远远	yuǎnyuǎn	distant
遠離	远离	yuǎnlí	be far away, stand aloof, be far off (the mark/etc.)
遠方	远方	yuǎnfāng	distance, beyond, beyondness, distant place, corner
暈	晕	yūn	confused, dizzy, giddy, to faint, to swoon, to lose consciousness, to pass out, dizzy, halo, ring around moon or sun
約定	约定	yuēdìng	agree upon
運作	运作	yùnzuò	operate, work
樂曲	乐曲	yuèqǔ	composition, piece of music, music, musical composition, piece, number, opus
允許	允许	yǔnxǔ	permit, allow
暈車	晕车	yùn chē	to be carsick
雜	杂	zá	mixed, miscellaneous, various, to mix
再生	再生	zàishēng	be reborn, regenerate
再說	再说	zàishuō	furthermore, besides
遭到	遭到	zāodào	endure, encounter, meet with, run into, suffer, soak_up
遭受	遭受	zāoshòu	suffer
遭遇	遭遇	zāoyù	meet with, encounter
早晚	早晚	zǎowǎn	morning and evening, sooner or later
增進	增进	zēngjìn	enhance, promote, further
扎	扎	zhā	variant of 紮|扎[zha1], penetrating (as of cold), struggle, to tie, to bind, classifier for flowers, banknotes etc: bundle, Taiwan pr. [zha2]
增值	增值	zēngzhí	to appreciate (financially), to increase in value, value-added (accountancy)
炸彈	炸弹	zhàdàn	bomb, CL:枚[mei2],顆|颗[ke1]
扎實	扎实	zhāshi	strong, solid, sturdy, firm, practical, see 扎實|扎实[zha1 shi5]
炸	炸	zhà	to deep fry, to explode
債	债	zhài	debt, CL:筆|笔[bi3]
炸藥	炸药	zhàyào	explosive (material)
占據	占据	zhànjù	inhabit, occupy, stand, assume, prevail, hold, invade, occupation, take, take up
戰場	战场	zhànchǎng	field of battle, plain, theatre, camp, cockpit, battlefield, theater, battleground, field, battlefront
戰術	战术	zhànshù	tactical, war, tactics, military tactics, tactic, swordcraft
戰略	战略	zhànlüè	stratagem, tactical, strategics, tactics, strategy
戰友	战友	zhànyǒu	comrade-in-arms, battle companion
章	章	zhāng	m.[general]
站臺	站台	zhàntái	platform (at a railway station)
掌聲	掌声	zhǎngshēng	clapping, applause
長	长	zhǎng	long, be strong/good (in/at)
賬	账	zhàng	account, bill, debt, CL:本[ben3],筆|笔[bi3]
賬戶	账户	zhànghù	bank account, online account
漲	涨	zhǎng	rise, go up (of water/prices/etc.)
招	招	zhāo	m.[general]
障礙	障碍	zhàngài	discouragement, bottleneck, clog, bar, encumbrance, embarrassment, malfunction, jam-up, baffle, impediment, obstruction, rub, roadblock, stay, rubber, disturbance, balk, holdback, bunker, stymy, remora, obstacle, barrier, stumbling_block, hitch, handicap, lesion, hedge, snag, drawback, let, wall, crab, difficulty, penalty, hang-up, facer, hindrance, hurdle
照樣	照样	zhàoyàng	as before, (same) as usual, in the same manner, still, nevertheless
照耀	照耀	zhàoyào	to shine, to illuminate
招聘	招聘	zhāopìn	to invite applications for a job, to recruit
哲學	哲学	zhéxué	ism, philosophic, philosophical, philosophy, school of thought, doctrine
這就是說	这就是说	zhèjiùshìshuō	This means that
鎮	镇	zhèn	town, garrison post, trading center
爭奪	争夺	zhēngduó	to fight over, to contest, to vie over
整頓	整顿	zhěngdùn	rectify, reorganize
正當	正当	zhèngdāng	proper, legitimate
整治	整治	zhěngzhì	renovate, repair, dredge (river/etc.), punish, discipline, do, work at, prepare, make ready, arrange, regulate, deal with problem or adversary
政策	政策	zhèngcè	statism, tack, line, policy, statecraft
政權	政权	zhèngquán	rein, political power, political/state power, state power, power, regime, political
癥狀	症状	zhèngzhuàng	symptom
政黨	政党	zhèngdǎng	political party
之類	之类	zhīlèi	conj.: such like
支援	支援	zhīyuán	backstop, support, side, help, patronize, root, stand by, bear, angel, hold out, back, see through, assist, assistance, sustain, back up
支撐	支撑	zhīcheng	prop up, sustain, support
知名	知名	zhīmíng	noted, famous
織	织	zhī	to weave, to knit
枝	枝	zhī	m.[general]
直升機	直升机	zhíshēngjī	helicopter, CL:架[jia4]
職責	职责	zhízé	duty, responsibility, obligation
止	止	zhǐ	demeanor, bearing
只得	只得	zhǐdé	have to
只顧	只顾	zhǐgù	solely preoccupied (with one thing), engrossed, focusing (on sth), to look after only one aspect
只管	只管	zhǐguǎn	solely engrossed in one thing, just (one thing, no need to worry about the rest), simply, by all means, please feel free, do not hesitate (to ask for sth)
指數	指数	zhǐshù	exponential, index, index number, index (number), indicant, exponential function, exponent, power, index_number, indicator
指定	指定	zhǐdìng	earmark, appointed, specify, set, domicile, appointment, ticket, fix, name, delegate, specified, express, named, consign, designate, assignment, state, depute, appoint, nominate, dictate, assign, destine, determine
指頭	指头	zhǐtou	finger, toe, CL:個|个[ge4]
指著	指着	zhǐzhe	Poke
至於	至于	zhìyú	as for/to
智慧	智慧	zhìhuì	lore, sapiency, sconce, wit, intelligence, gumption, savvy, wiseness, soundness, wisdom, grey_matter, sapience
治病	治病	zhìbìng	to treat an illness
中華	中华	Zhōnghuá	the Chinese nation, China
中等	中等	zhōngděng	medium
中外	中外	zhōngwài	China and foreign countries
中期	中期	zhōngqī	middle (of a period of time), medium-term (plan, forecast etc)
忠心	忠心	zhōngxīn	good faith, devotion, loyalty, dedication
腫	肿	zhǒng	to swell, swelling, swollen
鐘頭	钟头	zhōngtóu	hour
種種	种种	zhǒngzhǒng	all kinds of
珠寶	珠宝	zhūbǎo	pearls, jewels, precious stones
諸位	诸位	zhūwèi	(pron) everyone, Ladies and Gentlemen, Sirs
主持人	主持人	zhǔchírén	anchor, emcee, host, symposiarch, anchorman, director, impresario, chair, chairperson, linkman, presenter, compere, master of ceremonies, moderator
粥	粥	zhōu	see 葷粥|荤粥[Xun1 yu4], congee, gruel, porridge, CL:碗[wan3]
主角	主角	zhǔjué	leading role, title_role, star, protagonist, lead, principal, title role, name part
煮	煮	zhǔ	boil, scald, seethe, poach, cook
主流	主流	zhǔliú	main stream/current, essential/main aspect/trend
住宅	住宅	zhùzhái	shebang, dwelling_house, dwelling, roof, abode, residential, home, toft, howff, housing, habitation, homesite, tenement, place, residence, house, property
駐	驻	zhù	halt, stay, be stationed at
柱子	柱子	zhùzi	pillar, CL:根[gen1]
專用	专用	zhuānyòng	use for special purpose
祝願	祝愿	zhùyuàn	to wish
轉動	转动	zhuǎn dòng	turn (round), move
轉	转	zhuǎn	turn, revolve, rotate
賺錢	赚钱	zhuàn qián	profit, gain, make profit, cash in on, earn money, make money
壯觀	壮观	zhuàngguān	sublime, spectacular, magnificent
賺	赚	zhuàn	knock_up, garner, take in, clear, make profit, earn, gain, draw, realize, make a profit, do, bring_in, get, pull_in, make, bring in, pick_up, pull in
追究	追究	zhuījiū	to investigate, to look into
裝備	装备	zhuāngbèi	equipment, outfit
自來水	自来水	zìláishuǐ	running/tap water, running, tap_water, running water, tap water
咨詢	咨询	zīxún	to consult, to seek advice, consultation, (sales) inquiry (formal)
捉	捉	zhuō	clutch, cop, grasp, nip, hold, seize, capture, take hold of, hent, catch
自我	自我	zìwǒ	self, oneself
自學	自学	zìxué	self-study, to study on one's own
自言自語	自言自语	zìyán-zìyǔ	to talk to oneself, to think aloud, to soliloquize
自在	自在	zìzai	comfortable, unrestrained, at_ease, free
宗教	宗教	zōngjiào	theology, community, religious, cult, creed, faith, religion
總部	总部	zǒngbù	base of operations, head office, armory, base, headquarters
總經理	总经理	zǒngjīnglǐ	CEO, general_manager, chief executive officer, chief operating officer, executive, managing director, general manager, president
總監	总监	zǒngjiān	head, director (of an organizational unit), (police) commissioner, inspector-general, rank of local governor in Tang dynasty administration
總量	总量	zǒngliàng	total, overall amount
走私	走私	zǒu sī	smuggle
奏	奏	zòu	to play music, to achieve, to present a memorial to the emperor (old)
租金	租金	zūjīn	rent
足	足	zú	excessive, foot, to be sufficient, ample
足以	足以	zúyǐ	sufficient/enough to
祖父	祖父	zǔfù	grandad, gramps, grandfather, grandsire, (paternal) grandfather, granddad, grandpa, granddaddy
族	族	zú	race, nationality, ethnicity, clan, by extension, social group (e.g. office workers 上班族)
祖國	祖国	zǔguó	country, China (used only by Chinese), mother_country, China, old_country, fatherland, home, country of origin, mother country, old country, homeland, native land, motherland, metropolis
祖母	祖母	zǔmǔ	father's mother, paternal grandmother
最終	最终	zuìzhōng	final, ultimate
罪	罪	zuì	variant of 罪[zui4], crime
鑽	钻	zuān	an auger, diamond, to drill, to bore, to get into, to make one's way into, to enter (a hole), to thread one's way through, to study intensively, to dig into, to curry favor for personal gain
罪惡	罪恶	zuìè	crime, evil, sin
作	作	zuò	do, make, rise, write, compose, pretend, affect, feign
最佳	最佳	zuìjiā	first-rate, best, superlative, optimum
作廢	作废	zuòfèi	to become invalid, to cancel, to delete, to nullify
座談會	座谈会	zuòtánhuì	colloquium, symposiac, panel_discussion, an informal discussion meeting, symposium, teach-in, forum, symposia, conversazione, panel discussion
作戰	作战	zuò zhàn	do battle, war, fight, battle, conduct operations
