挨着	挨著	āi zhe	near;  
通红	通紅	tōng hóng	very red; red through and through; to blush (deep red);  
通话	通話	tōng huà	to hold a conversation; to talk over the telephone; phone call;  
通行	通行	tōng xíng	to go through; a passage through; in general use; a pass or laissez-passer; a license (to a computer account);  
通讯	通訊	tōng xùn	communications; news story; dispatch; CL:個|个[ge4];  
同	同	tóng, tóng, tòng	like; same; similar; together; alike; with;  see 衚衕|胡同[hu2 tong4];  
同胞	同胞	tóng bāo	born of the same parents; sibling; fellow citizen; compatriot;  
同行	同行	tóng háng, tóng xíng	person of the same profession; of the same trade, occupation or industry;  to journey together;  
同期	同期	tóng qī	the corresponding time period (in a different year etc); concurrent; synchronous;  
同一	同一	tóng yī	identical; the same;  
铜牌	銅牌	tóng pái	bronze medal; bronze plaque bearing a business name or logo etc; CL:枚[mei2];  
头疼	頭疼	toú téng	headache;  
投票	投票	toú piào	to vote; vote;  
透露	透露	toù lù	to leak out; to divulge; to reveal;  
图书	圖書	tú shū	books (in a library or bookstore); CL:本[ben3],冊|册[ce4],部[bu4];  
徒弟	徒弟	tú dì	apprentice; disciple;  
途径	途徑	tú jìng	way; channel;  
土	土	Tǔ, tǔ	Tu (ethnic group); surname Tu;  earth; dust; clay; local; indigenous; crude opium; unsophisticated; one of the eight ancient musical instruments 八音[ba1 yin1];  
团队	團隊	tuán duì	team;  
推出	推齣	tuī chū	to push out; to release; to launch; to publish; to recommend;  
退票	退票	tuì piào	to bounce (a check); to return a ticket; ticket refund;  
吞	吞	tūn	to swallow; to take;  
托	托	tuō, tuō	to trust; to entrust; to be entrusted with; to act as trustee;  
拖	拖	tuō, tuō	to drag; to tow; to trail; to hang down; to mop (the floor); to delay; to drag on;  
拖鞋	拖鞋	tuō xié	slippers; sandals; flip-flops; CL:雙|双[shuang1],隻|只[zhi1];  
挖	挖	wā	to dig; to excavate; to scoop out;  
娃娃	娃娃	wá wa	baby; small child; doll;  
哇	哇	wā, wa	Wow!; sound of child's crying; sound of vomiting;  replaces 啊[a5] when following the vowel 'u' or 'ao';  
外币	外幣	wài bì	foreign currency;  
外部	外部	wài bù	external part; external;  
外出	外齣	wài chū	to go out; to go away (on a trip etc);  
外观	外觀	wài guān	exterior appearance; to view sth from the outside; exterior condition;  
外科	外科	wài kē	surgery (branch of medicine);  
外来	外來	wài lái	external; foreign; outside;  
外头	外頭	wài tou	outside; out;  
外衣	外衣	wài yī	outer clothing; semblance; appearance;  
外资	外資	wài zī	foreign investment;  
弯曲	彎麯	wān qū	to bend; to curve around; curved; crooked; to wind; to warp;  
顽皮	頑皮	wán pí	naughty;  
顽强	頑強	wán qiáng	tenacious; hard to defeat;  
王后	王後	wáng hoù	queen; CL:個|个[ge4],位[wei4];  
王子	王子	wáng zǐ	prince; son of a king;  
网吧	網吧	wǎng bā	Internet café;  
网页	網頁	wǎng yè	web page;  
往后	往後	wǎng hoù	from now on; in the future; time to come;  
往来	往來	wǎng lái	dealings; contacts; to go back and forth;  
往年	往年	wǎng nián	in former years; in previous years;  
望见	望見	wàng jiàn	to espy; to spot;  
危机	危機	wēi jī	crisis; CL:個|个[ge4];  
威胁	威脅	wēi xié	to threaten; to menace;  
微波炉	微波爐	wēi bō lú	microwave oven; CL:臺|台[tai2];  
维生素	維生素	wéi shēng sù	vitamin;  
为此	為此	wèi cǐ	for this reason; with regards to this; in this respect; in order to do this; to this end;  
为何	為何	wèi hé	why;  
文娱	文娛	wén yú	cultural recreation; entertainment;  
卧铺	臥鋪	wò pù	a bed (on a train); a couchette;  
乌云	烏雲	wū yún	black cloud;  
无边	無邊	wú biān	without boundary; not bordered;  
无关	無關	wú guān	unrelated; having nothing to do (with sth else);  
无效	無效	wú xiào	not valid; ineffective; in vain;  
舞蹈	舞蹈	wǔ dǎo	dance (performance art); dancing;  
物品	物品	wù pǐn	articles; goods; materials;  
误	誤	wù	mistake; error; to miss; to harm; to delay; to neglect; mistakenly;  
西班牙语	西班牙語	Xī bān yá yǔ	Spanish language;  
吸毒	吸毒	xī dú	to take drugs;  
牺牲	犧牲	xī shēng	to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice;  
洗衣粉	洗衣粉	xǐ yī fěn	laundry detergent; washing powder;  
戏曲	戲麯	xì qǔ	Chinese opera;  
细胞	細胞	xì bāo	cell (biology);  
细菌	細菌	xì jūn	bacterium; germ;  
先锋	先鋒	xiān fēng	vanguard; pioneer;  
嫌	嫌	xián	to dislike; suspicion; resentment; enmity; abbr. for 嫌犯[xian2 fan4], criminal suspect;  
显出	顯齣	xiǎn chū	to express; to exhibit;  
险	險	xiǎn	danger; dangerous; rugged;  
线路	綫路	xiàn lù	line; circuit; wire; road; railway track; bus route;  
陷入	陷入	xiàn rù	to sink into; to get caught up in; to land in (a predicament);  
响声	響聲	xiǎng shēng	noise;  
想不到	想不到	xiǎng bu dào	unexpected; hard to imagine; it had not occurred to me; who could have thought that;  
消耗	消耗	xiāo hào	to use up; to consume;  
消灭	消滅	xiāo miè	to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory);  
小费	小費	xiǎo fèi	tip; gratuity;  
小麦	小麥	xiǎo mài	wheat; CL:粒[li4];  
小于	小於	xiǎo yú	less than, <;  
晓得	曉得	xiǎo de	to know;  
笑脸	笑臉	xiào liǎn	smiling face; smiley :) ☺; CL:副[fu4];  
笑容	笑容	xiào róng	smile; smiling expression; CL:副[fu4];  
笑声	笑聲	xiào shēng	laughter;  
协会	協會	xié huì	an association; a society; CL:個|个[ge4],家[jia1];  
协商	協商	xié shāng	to consult with; to talk things over; agreement;  
协调	協調	xié tiáo	to coordinate; to harmonize; to fit together; to match (colors etc); harmonious; concerted;  
协助	協助	xié zhù	to provide assistance; to aid;  
写字楼	寫字樓	xiě zì loú	office building;  
写字台	寫字颱	xiě zì tái	writing desk;  
心灵	心靈	xīn líng	bright; smart; quick-witted; heart; thoughts; spirit;  
心愿	心願	xīn yuàn	cherished desire; dream; craving; wish; aspiration;  
心脏	心髒	xīn zàng	heart; CL:顆|颗[ke1],個|个[ge4];  
心脏病	心髒病	xīn zàng bìng	heart disease;  
新人	新人	xīn rén	new age person; new type of person; newly-wed, esp. new bride; bride and groom;  
新兴	新興	Xīn xīng, xīn xīng	Xinxing county in Yunfu 雲浮|云浮[Yun2 fu2], Guangdong; Xinxing or Hsinhsing district of Kaohsiung city 高雄市[Gao1 xiong2 shi4], south Taiwan;  new; up-and-coming; newly developing; rising;  
薪水	薪水	xīn shuǐ	salary; wage;  
信仰	信仰	xìn yǎng	to believe in (a religion); firm belief; conviction;  
信用	信用	xìn yòng	to trust; credit (commerce); trustworthiness; creditworthiness;  
兴旺	興旺	xīng wàng	prosperous; thriving; to prosper; to flourish;  
行程	行程	xíng chéng	journey; course of a journey; distance traveled; trajectory; itinerary; route; course (of history);  
形	形	xíng	to appear; to look; form; shape;  
凶	凶	xiōng, xiōng	vicious; fierce; ominous; inauspicious; famine; variant of 兇|凶[xiong1];  
凶手	凶手	xiōng shoǔ	murderer; assassin;  
修车	修車	xiū chē	to repair a bike (car etc);  
袖珍	袖珍	xiù zhēn	pocket-sized; pocket (book etc);  
悬	懸	xuán	to hang or suspend; to worry; public announcement; unresolved; baseless; without foundation;  
旋转	鏇轉	xuán zhuǎn	to rotate; to revolve; to spin; to whirl;  
选拔	選拔	xuǎn bá	to select the best;  
选举	選舉	xuǎn jǔ	to elect; election; CL:次[ci4],個|个[ge4];  
学会	學會	xué huì	to learn; to master; institute; learned society; (scholarly) association;  
学员	學員	xué yuán	student; member of an institution of learning; officer cadet;  
血管	血管	xuè guǎn	vein; artery; CL:根[gen1];  
血液	血液	xuè yè	blood;  
循环	循環	xún huán	to cycle; to circulate; circle; loop;  
压迫	壓迫	yā pò	to oppress; to repress; to constrict; oppression; stress (physics);  
烟花	煙花	yān huā	fireworks; prostitute (esp. in Yuan theater);  
沿	沿	yán	along; to follow (a line, tradition etc); to carry on; to trim (a border with braid, tape etc); border; edge;  
沿海	沿海	yán hǎi	coastal;  
沿着	沿著	yán zhe	to go along; to follow;  
研发	研發	yán fā	research and development; to develop;  
眼看	眼看	yǎn kàn	soon; in a moment; to look on as sth happens;  
演奏	演奏	yǎn zoù	to perform on a musical instrument;  
宴会	宴會	yàn huì	banquet; feast; dinner party; CL:席[xi2],個|个[ge4];  
洋	洋	yáng	ocean; vast; foreign; silver dollar or coin;  
仰	仰	Yǎng, yǎng	surname Yang;  to face upward; to look up; to admire; to rely on;  
养老	養老	yǎng lǎo	to provide for the elderly (family members); to enjoy a life in retirement;  
氧气	氧氣	yǎng qì	oxygen;  
样	樣	yàng	manner; pattern; way; appearance; shape; classifier: kind, type;  
药品	藥品	yào pǐn	medicaments; medicine; drug;  
要不然	要不然	yào bù rán	otherwise; or else; or;  
要好	要好	yào hǎo	to be on good terms; to be close friends; striving for self-improvement;  
要么	要麼	yào me	or; either one or the other;  
要素	要素	yào sù	essential factor; key constituent;  
野	野	yě, yě, yě	field; plain; open space; limit; boundary; rude; feral;  
野生	野生	yě shēng	wild; undomesticated;  
医药	醫藥	yī yào	medical care and medicines; medicine (drug); medical; pharmaceutical;  
依次	依次	yī cì	in order; in succession;  
依赖	依賴	yī lài	to depend on; to be dependent on;  
一次性	一次性	yī cì xìng	one-off (offer); one-time; single-use; disposable (goods);  
一代	一代	yī dài	generation;  
一道	一道	yī dào	together;  
一贯	一貫	yī guàn	consistent; constant; from start to finish; all along; persistent;  
一路上	一路上	yīlùshàng	All the way
仪器	儀器	yí qì	instrument; apparatus; CL:臺|台[tai2];  
仪式	儀式	yí shì	ceremony;  
遗憾	遺憾	yí hàn	regret; to regret; to be sorry that;  
一番	一番	yīfān	Some
一模一样	一模一樣	yī mú yī yàng	exactly the same (idiom); carbon copy; also pr. [yi1 mo2 yi1 yang4];  
一齐	一齊	yī qí	at the same time; simultaneously;  
一时	一時	yī shí	a period of time; a while; for a short while; temporary; momentary; at the same time;  
一同	一同	yī tóng	along; together;  
一行	一行	yī xíng	party; delegation;  
艺人	藝人	yì rén	performing artist; actor;  
议题	議題	yì tí	topic of discussion; topic; subject; issue (under discussion); CL:項|项[xiang4];  
异常	異常	yì cháng	exceptional; abnormal; an anomaly;  
意想不到	意想不到	yì xiǎng bù dào	unexpected; previously unimagined;  
意愿	意願	yì yuàn	aspiration; wish (for); desire;  
因	因	yīn, yīn	cause; reason; because;  
因素	因素	yīn sù	element; factor; CL:個|个[ge4];  
阴谋	陰謀	yīn moú	plot; conspiracy;  
阴影	陰影	yīn yǐng	(lit. and fig.) shadow;  
音量	音量	yīn liàng	sound volume;  
音像	音像	yīn xiàng	audio and video; audiovisual;  
隐藏	隱藏	yǐn cáng	to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidden; implicit; private; covert; recessed (lighting);  
隐私	隱私	yǐn sī	secrets; private business; privacy;  
印	印	Yìn, yìn	surname Yin; abbr. for 印度[Yin4 du4];  to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image;  
英雄	英雄	yīng xióng	hero; CL:個|个[ge4];  
迎来	迎來	yínglái	Ushered
影迷	影迷	yǐng mí	film enthusiast; movie fan; CL:個|个[ge4];  
影星	影星	yǐng xīng	film star;  
应对	應對	yìng duì	response; to answer; to reply;  
应急	應急	yìng jí	to respond to an emergency; to meet a contingency; (attributive) emergency;  
用处	用處	yòng chu	usefulness; CL:個|个[ge4];  
用得着	用得著	yòng de zháo	to be able to use; useable; to have a use for sth; (in interrogative sentence) to be necessary to;  
用法	用法	yòng fǎ	usage;  
用品	用品	yòng pǐn	articles for use; products; goods;  
用心	用心	yòng xīn	motive; intention; to be diligent or attentive; careful;  
优质	優質	yoū zhì	excellent quality;  
游人	遊人	yoú rén	a tourist;  
游玩	遊玩	yoú wán	to amuse oneself; to have fun; to go sightseeing; to take a stroll;  
游戏机	遊戲機	yoú xì jī	video game; game machine;  
游行	遊行	yoú xíng	march; parade; demonstration;  
有关	有關	yoǔ guān	to have sth to do with; to relate to; related to; to concern; concerning;  
有没有	有沒有	yǒuméiyǒu	Do you have
有事	有事	yoǔ shì	to be occupied with sth; to have sth on one's mind; there is something the matter;  
于	於	Yú, yú, yú	surname Yu;  in; at; to; from; by; than; out of;  
娱乐	娛樂	yú lè	to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy;  
愉快	愉快	yú kuài	cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted;  
与	與	yú, yǔ, yù	variant of 歟|欤[yu2];  and; to give; together with;  to take part in;  
宇航员	宇航員	yǔ háng yuán	astronaut;  
雨衣	雨衣	yǔ yī	raincoat; CL:件[jian4];  
预约	預約	yù yuē	booking; reservation; to book; to make an appointment;  
元素	元素	yuán sù	element; element of a set; chemical element;  
园	園	Yuán, yuán	surname Yuan;  land used for growing plants; site used for public recreation;  
园地	園地	yuán dì	garden area;  
原	原	Yuán, yuán	Hara (Japanese surname);  former; original; primary; raw; level; cause; source;  
原告	原告	yuán gào	complainant; plaintiff;  
原谅	原諒	yuán liàng	to excuse; to forgive; to pardon;  
圆珠笔	圓珠筆	yuán zhū bǐ	ballpoint pen; CL:支[zhi1],枝[zhi1];  
援助	援助	yuán zhù	to help; to support; to aid; aid; assistance;  
缘故	緣故	yuán gù	reason; cause;  
远方	遠方	yuǎn fāng	far away; a distant location;  
远离	遠離	yuǎn lí	to be far from; to keep away from;  
远远	遠遠	yuǎn yuǎn	distant;  
约定	約定	yuē dìng	to agree on sth (after discussion); to conclude a bargain; to arrange; to promise; to stipulate; to make an appointment; stipulated (time, amount, quality etc); an arrangement; a deal; appointment; undertaking; commitment; understanding; engagement; stipulation;  
乐曲	樂麯	yuè qǔ	musical composition;  
晕	暈	yūn, yùn	confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out;  dizzy; halo; ring around moon or sun;  
允许	允許	yǔn xǔ	to permit; to allow;  
运作	運作	yùn zuò	to operate; operations; workings; activities (usu. of an organization); thread (computing);  
晕车	暈車	yùn chē	to be carsick;  
杂	雜	zá, zá	mixed; miscellaneous; various; to mix;  
再生	再生	zài shēng	to be reborn; to regenerate; to be a second so-and-so (famous dead person); recycling; regeneration;  
再说	再說	zài shuō	to say again; to put off a discussion until later; moreover; what's more; besides;  
遭到	遭到	zāo dào	to suffer; to meet with (sth unfortunate);  
遭受	遭受	zāo shoù	to suffer; to sustain (loss, misfortune);  
遭遇	遭遇	zāo yù	to meet with; to encounter; (bitter) experience;  
早晚	早晚	zǎo wǎn	morning and evening; sooner or later;  
增进	增進	zēng jìn	to promote; to enhance; to further; to advance (a cause etc);  
增值	增值	zēng zhí	to appreciate (financially); to increase in value; value-added (accountancy);  
扎	紮	zhā, zhá, zā, zhā, zā	variant of 紮|扎[zha1];  penetrating (as of cold); struggle;  to tie; to bind; classifier for flowers, banknotes etc: bundle; Taiwan pr. [zha2];  
扎实	紮實	zhā shi, zhá shi	strong; solid; sturdy; firm; practical;  see 扎實|扎实[zha1 shi5];  
炸	炸	zhá, zhà	to deep fry;  to explode;  
炸弹	炸彈	zhà dàn	bomb; CL:枚[mei2],顆|颗[ke1];  
炸药	炸藥	zhà yào	explosive (material);  
债	債	zhài	debt; CL:筆|笔[bi3];  
占据	占據	zhàn jù	to occupy; to hold;  
战场	戰場	zhàn chǎng	battlefield; CL:個|个[ge4];  
战略	戰略	zhàn lüè	strategy;  
战术	戰術	zhàn shù	tactics;  
战友	戰友	zhàn yoǔ	comrade-in-arms; battle companion;  
站台	站颱	zhàn tái	platform (at a railway station);  
章	章	Zhāng, zhāng	surname Zhang;  chapter; section; clause; movement (of symphony); seal; badge; regulation; order;  
长	長	cháng, zhǎng	length; long; forever; always; constantly;  chief; head; elder; to grow; to develop; to increase; to enhance;  
掌声	掌聲	zhǎng shēng	applause; CL:陣|阵[zhen4];  
账	賬	zhàng	account; bill; debt; CL:本[ben3],筆|笔[bi3];  
账户	賬戶	zhàng hù	bank account; online account;  
涨	漲	zhǎng, zhàng	to rise (of prices, rivers);  to swell; to distend;  
障碍	障礙	zhàng ài	barrier; obstruction; hindrance; impediment; obstacle;  
招	招	zhāo	to recruit; to provoke; to beckon; to incur; to infect; contagious; a move (chess); a maneuver; device; trick; to confess;  
招聘	招聘	zhāo pìn	to invite applications for a job; to recruit;  
照样	照樣	zhào yàng	as before; (same) as usual; in the same manner; still; nevertheless;  
照耀	照耀	zhào yào	to shine; to illuminate;  
哲学	哲學	zhé xué	philosophy; CL:個|个[ge4];  
这就是说	這就是說	zhèjìushìshuō	This means that
镇	鎮	zhèn	to press down; to calm; to subdue; to suppress; to guard; garrison; small town; to cool or chill (food or drinks);  
争夺	爭奪	zhēng duó	to fight over; to contest; to vie over;  
整顿	整頓	zhěng dùn	to tidy up; to reorganize; to consolidate; to rectify;  
整治	整治	zhěng zhì	to bring under control; to regulate; to restore to good condition; (coll.) to fix (a person); to prepare (a meal etc);  
正当	正當	zhèng dāng, zhèng dàng	timely; just (when needed);  honest; reasonable; fair; sensible;  
政策	政策	zhèng cè	policy; CL:個|个[ge4];  
政党	政黨	zhèng dǎng	political party; CL:個|个[ge4];  
政权	政權	zhèng quán	regime; political power;  
症状	癥狀	zhèng zhuàng	symptom (of an illness);  
之类	之類	zhī lèi	and so on; and such;  
支撑	支撐	zhī chēng	to prop up; to support; strut; brace;  
支援	支援	zhī yuán	to provide assistance; to support; to back;  
枝	枝	zhī	branch; classifier for sticks, rods, pencils etc;  
知名	知名	zhī míng	well-known; famous;  
织	織	zhī	to weave; to knit;  
直升机	直升機	zhí shēng jī	helicopter; CL:架[jia4];  
职责	職責	zhí zé	duty; responsibility; obligation;  
止	止	zhǐ	to stop; to prohibit; until; only;  
只得	隻得	zhǐ dé	to have no alternative but to; to be obliged to;  
只顾	隻顧	zhǐ gù	solely preoccupied (with one thing); engrossed; focusing (on sth); to look after only one aspect;  
只管	隻管	zhǐ guǎn	solely engrossed in one thing; just (one thing, no need to worry about the rest); simply; by all means; please feel free; do not hesitate (to ask for sth);  
指定	指定	zhǐ dìng	to appoint; to assign; to indicate clearly and with certainty; designated;  
指数	指數	zhǐ shù	(numerical, statistical) index; (math.) exponent; index; exponential (function, growth);  
指头	指頭	zhǐ tou	finger; toe; CL:個|个[ge4];  
指着	指著	zhǐzháo	Poke
至于	至於	zhì yú	as for; as to; to go so far as to;  
治病	治病	zhì bìng	to treat an illness;  
智慧	智慧	zhì huì	wisdom; knowledge; intelligent; intelligence;  
中等	中等	zhōng děng	medium;  
中华	中華	Zhōng huá	China (alternate formal name);  
中期	中期	zhōng qī	middle (of a period of time); medium-term (plan, forecast etc);  
中外	中外	zhōng wài	Sino-foreign; Chinese-foreign; home and abroad;  
忠心	忠心	zhōng xīn	good faith; devotion; loyalty; dedication;  
钟头	鍾頭	zhōng toú	hour; CL:個|个[ge4];  
肿	腫	zhǒng	to swell; swelling; swollen;  
种种	種種	zhǒng zhǒng	all kinds of;  
粥	粥	yù, zhoū	see 葷粥|荤粥[Xun1 yu4];  congee; gruel; porridge; CL:碗[wan3];  
珠宝	珠寶	zhū bǎo	pearls; jewels; precious stones;  
诸位	諸位	zhū wèi	(pron) everyone; Ladies and Gentlemen; Sirs;  
主持人	主持人	zhǔ chí rén	TV or radio presenter; host; anchor;  
主角	主角	zhǔ jué	leading role; lead;  
主流	主流	zhǔ liú	main stream (of a river); fig. the essential point; main viewpoint of a matter; mainstream (culture etc);  
煮	煮	zhǔ, zhǔ	to cook; to boil;  
住宅	住宅	zhù zhái	residence; tenement;  
驻	駐	zhù	to halt; to stay; to be stationed (of troops, diplomats etc);  
柱子	柱子	zhù zi	pillar; CL:根[gen1];  
祝愿	祝願	zhù yuàn	to wish;  
专用	專用	zhuān yòng	special; dedicated;  
转	轉	zhuǎi, zhuǎn, zhuàn	see 轉文|转文[zhuai3 wen2];  to turn; to change direction; to transfer; to forward (mail);  to revolve; to turn; to circle about; to walk about; classifier for revolutions (per minute etc): revs, rpm; classifier for repeated actions;  
转动	轉動	zhuǎn dòng, zhuàn dòng	to turn sth around; to swivel;  to rotate (about an axis); to revolve; to turn; to move in a circle; to gyrate;  
赚	賺	zhuàn, zuàn	to earn; to make a profit;  to cheat; to swindle;  
赚钱	賺錢	zhuàn qián	to earn money; moneymaking;  
装备	裝備	zhuāng bèi	equipment; to equip; to outfit;  
壮观	壯觀	zhuàng guān	spectacular; magnificent sight;  
追究	追究	zhuī jiū	to investigate; to look into;  
捉	捉	zhuō	to clutch; to grab; to capture;  
咨询	谘詢	zī xún	to consult; to seek advice; consultation; (sales) inquiry (formal);  
自来水	自來水	zì lái shuǐ	running water; tap water;  
自我	自我	zì wǒ	self-; ego (psychology);  
自学	自學	zì xué	self-study; to study on one's own;  
自言自语	自言自語	zì yán zì yǔ	to talk to oneself; to think aloud; to soliloquize;  
自在	自在	zì zai	free; unrestrained; comfortable; at ease;  
宗教	宗教	zōng jiào	religion;  
总部	總部	zǒng bù	general headquarters;  
总监	總監	zǒng jiān	head; director (of an organizational unit); (police) commissioner; inspector-general; rank of local governor in Tang dynasty administration;  
总经理	總經理	zǒng jīng lǐ	general manager; CEO;  
总量	總量	zǒng liàng	total; overall amount;  
走私	走私	zoǔ sī	to smuggle; to have an illicit affair;  
奏	奏	zoù	to play music; to achieve; to present a memorial to the emperor (old);  
租金	租金	zū jīn	rent;  
足	足	jù, zú	excessive;  foot; to be sufficient; ample;  
足以	足以	zú yǐ	sufficient to...; so much so that; so that;  
族	族	zú	race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族);  
族	族	zú	race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族);  
祖父	祖父	zǔ fù	father's father; paternal grandfather;  
祖国	祖國	zǔ guó	motherland;  
祖母	祖母	zǔ mǔ	father's mother; paternal grandmother;  
钻	鑽	zuàn, zuān, zuàn	an auger; diamond;  to drill; to bore; to get into; to make one's way into; to enter (a hole); to thread one's way through; to study intensively; to dig into; to curry favor for personal gain;  
最佳	最佳	zuì jiā	optimum; optimal; peak; best (athlete, movie etc);  
最终	最終	zuì zhōng	final; ultimate;  
罪	罪	zuì, zuì	variant of 罪[zui4], crime;  
罪恶	罪惡	zuì è	crime; evil; sin;  
作	作	zuō, zuò	worker; workshop; (slang) troublesome; high-maintenance (person);  to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works;  
作废	作廢	zuò fèi	to become invalid; to cancel; to delete; to nullify;  
作战	作戰	zuò zhàn	combat; to fight;  
座谈会	座談會	zuò tán huì	conference; symposium; rap session;  
