阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
恰恰相反	恰恰相反	qiàqiàxiāngfǎn	Contrary
恰巧	恰巧	qià qiǎo	fortunately; unexpectedly; by coincidence;  
恰如其分	恰如其分	qià rú qí fèn	to say or do sth appropriate (idiom);  
千变万化	韆變萬化	qiān biàn wàn huà	countless changes; constant permutation;  
千方百计	韆方百計	qiān fāng bǎi jì	lit. thousand ways, a hundred plans (idiom); by every possible means;  
千家万户	韆傢萬戶	qiān jiā wàn hù	every family (idiom);  
千军万马	韆軍萬馬	qiān jūn wàn mǎ	magnificent army with thousands of men and horses (idiom); impressive display of manpower; all the King's horses and all the King's men;  
千钧一发	韆鈞一發	qiān jūn yī fà	a thousand pounds hangs by a thread (idiom); imminent peril; a matter of life or death;  
迁	遷	qiān	to move; to shift; to change (a position or location etc); to promote;  
迁就	遷就	qiān jiù	to yield; to adapt to; to accommodate to (sth);  
迁移	遷移	qiān yí	to migrate; to move;  
牵扯	牽扯	qiān chě	to involve; to implicate;  
牵挂	牽掛	qiān guà	to worry about; to be concerned about;  
牵涉	牽涉	qiān shè	to involve; implicated;  
牵头	牽頭	qiān toú	to lead (an animal by the head); to take the lead; to coordinate (a combined operation); to mediate; a go-between (e.g. marriage broker);  
牵制	牽製	qiān zhì	to control; to curb; to restrict; to impede; to pin down (enemy troops);  
铅	鉛	qiān, qiān	lead (chemistry);  
谦逊	謙遜	qiān xùn	humble; modest; unpretentious; modesty;  
签	簽	qiān, qiān, qiān	inscribed bamboo stick (used in divination, gambling, drawing lots etc); small wood sliver; label; tag;  
签署	簽署	qiān shǔ	to sign (an agreement);  
前辈	前輩	qián bèi	senior; older generation; precursor;  
前不久	前不久	qián bù jiǔ	not long ago; not long before;  
前赴后继	前赴後繼	qián fù hoù jì	to advance dauntlessly in wave upon wave (idiom);  
前期	前期	qián qī	preceding period; early stage;  
前任	前任	qián rèn	predecessor; ex-; former; ex (spouse etc);  
前所未有	前所未有	qián suǒ wèi yoǔ	unprecedented;  
前台	前颱	qián tái	stage; proscenium; foreground in politics etc (sometimes derog.); front desk; reception desk; (computing) front-end; foreground;  
前无古人	前無古人	qiánwúgǔrén	Before no ancient people
前夕	前夕	qián xī	eve; the day before;  
前线	前綫	qián xiàn	front line; military front; workface; cutting edge;  
前沿	前沿	qián yán	front-line; forward position; outpost; extending ahead; frontier (of science, technology etc);  
前仰后合	前仰後閤	qián yǎng hoù hé	to sway to and fro; to rock back and forth;  
前者	前者	qián zhě	the former;  
虔诚	虔誠	qián chéng	pious; devout; sincere;  
钱财	錢財	qián cái	wealth; money;  
钳子	鉗子	qián zi	pliers; pincers; tongs; forceps; vise; clamp; claw (of a crab etc); CL:把[ba3]; (dialect) earring;  
潜能	潛能	qián néng	potential; hidden capability;  
潜水	潛水	qián shuǐ	to dive; to go under water; lurker (Internet slang for sb who reads forum posts but never replies);  
潜艇	潛艇	qián tǐng	submarine;  
潜移默化	潛移默化	qián yí mò huà	imperceptible influence; to influence secretly;  
潜在	潛在	qián zài	hidden; potential; latent;  
谴责	譴責	qiǎn zé	to denounce; to condemn; to criticize; condemnation; criticism;  
欠缺	欠缺	qiàn quē	to be deficient in; lapse; deficiency;  
欠条	欠條	qiàn tiáo	IOU; certificate of indebtedness;  
歉意	歉意	qiàn yì	apology; regret;  
呛	嗆	qiāng, qiàng	to choke (because of swallowing the wrong way);  to irritate the nose; to choke (of smoke, smell etc); pungent; (coll.) (Tw) to shout at sb; to scold; to speak out against sb;  
枪毙	槍斃	qiāng bì	to execute by firing squad; to shoot dead; fig. to discard; to get rid of;  
腔	腔	qiāng	cavity of body; barrel (e.g. engine cylinder); compartment; tune; accent of speech;  
强加	強加	qiáng jiā	to impose; to force upon;  
强劲	強勁	qiáng jìng	strong; powerful; robust;  
强项	強項	qiáng xiàng	key strength; strong suit; specialty;  
强行	強行	qiáng xíng	to do sth by force;  
强硬	強硬	qiáng yìng	tough; unyielding; hard-line;  
强占	強占	qiáng zhàn	to occupy by force;  
强制	強製	qiáng zhì	to enforce; enforcement; forcibly; compulsory;  
抢夺	搶奪	qiǎng duó	to plunder; to pillage; to forcibly take;  
抢劫	搶劫	qiǎng jié	to rob; looting;  
抢眼	搶眼	qiǎng yǎn	eye-catching;  
敲边鼓	敲邊鼓	qiāo biān gǔ	to back sb up; to support sb in an argument; (lit. to beat nearby drum);  
敲诈	敲詐	qiāo zhà	to rip off; to extort (money); extortion; blackmail;  
乔装	喬裝	qiáo zhuāng	to pretend; to feign; to disguise oneself;  
瞧不起	瞧不起	qiáo bù qǐ	to look down upon; to hold in contempt;  
巧合	巧閤	qiǎo hé	coincidence; coincidental; to coincide;  
窍门	竅門	qiào mén	a trick; an ingenious method; know-how; the knack (of doing sth);  
翘	翹	qiáo, qiào	outstanding; to raise;  to stick up; to rise on one end; to tilt;  
撬	撬	qiào	to lift; to pry open; to lever open;  
切除	切除	qiē chú	to excise; to cut out (a tumor);  
切断	切斷	qiē duàn	to cut off; to sever;  
切割	切割	qiē gē	to cut;  
且	且	qiě	and; moreover; yet; for the time being; to be about to; both (... and...);  
且	且	qiě	and; moreover; yet; for the time being; to be about to; both (... and...);  
切身	切身	qiè shēn	direct; concerning oneself; personal;  
窃取	竊取	qiè qǔ	to steal; to seize;  
钦佩	欽佩	qīn pèi	to admire; to look up to; to respect sb greatly;  
侵害	侵害	qīn hài	to encroach on; to infringe on;  
侵略	侵略	qīn lüè	invasion; encroachment;  
侵权	侵權	qīn quán	to infringe the rights of; to violate; infringement;  
侵占	侵占	qīn zhàn	to invade and occupy (territory);  
亲和力	親和力	qīn hé lì	(personal) warmth; approachability; accessibility; (in a product) user friendliness; (chemistry) affinity;  
亲近	親近	qīn jìn	intimate; to get close to;  
亲朋好友	親朋好友	qīn péng hǎo yoǔ	friends and family; kith and kin;  
亲戚	親戚	qīn qi	a relative (i.e. family relation); CL:門|门[men2],個|个[ge4],位[wei4];  
亲情	親情	qīn qíng	affection; family love; love, esp. within a married couple or between parents and children;  
亲热	親熱	qīn rè	affectionate; intimate; warmhearted; to get intimate with sb;  
亲身	親身	qīn shēn	personal; oneself;  
亲生	親生	qīn shēng	one's own (child) (i.e. one's child by birth); biological (parents); birth (parents);  
亲手	親手	qīn shoǔ	personally; with one's own hands;  
亲友	親友	qīn yoǔ	friends and relatives;  
勤工俭学	勤工儉學	qín gōng jiǎn xué	to work part time while studying; work-study program;  
勤快	勤快	qín kuài	diligent; hardworking;  
勤劳	勤勞	qín láo	hardworking; industrious; diligent;  
寝室	寢室	qǐn shì	bedroom; dormitory; CL:間|间[jian1];  
青春期	青春期	qīng chūn qī	puberty; adolescence;  
青蛙	青蛙	qīng wā	frog; CL:隻|只[zhi1]; (slang) ugly guy;  
轻而易举	輕而易舉	qīng ér yì jǔ	easy; with no difficulty;  
轻蔑	輕衊	qīng miè	to contempt; to disdain; pejorative;  
轻微	輕微	qīng wēi	slight; light; trivial; to a small extent;  
轻型	輕型	qīng xíng	light (machinery, aircraft etc);  
倾家荡产	傾傢蕩産	qīng jiā dàng chǎn	to lose a family fortune (idiom);  
倾诉	傾訴	qīng sù	to say everything (that is on one's mind);  
倾听	傾聽	qīng tīng	to listen attentively;  
倾销	傾銷	qīng xiāo	to dump (goods, products);  
倾斜	傾斜	qīng xié	to incline; to lean; to slant; to slope; to tilt;  
清除	清除	qīng chú	to clear away; to eliminate; to get rid of;  
清脆	清脆	qīng cuì	sharp and clear; crisp; melodious; ringing; tinkling; silvery (of sound); fragile; frail; also written 輕脆|轻脆;  
清单	清單	qīng dān	list of items;  
清淡	清淡	qīng dàn	light (of food, not greasy or strongly flavored); insipid; slack (sales);  
清静	清靜	qīng jìng	quiet; peaceful and quiet;  
清凉	清涼	qīng liáng	cool; refreshing; (of clothing) skimpy; revealing;  
清明	清明	Qīng míng, qīng míng	Qingming or Pure Brightness, 5th of the 24 solar terms 二十四節氣|二十四节气[er4 shi2 si4 jie2 qi5] 5th-19th April; Pure Brightness Festival or Tomb Sweeping Day (in early April);  clear and bright; sober and calm; (of a government or administration) well ordered;  
清晰	清晰	qīng xī	clear; distinct;  
清新	清新	Qīng xīn, qīng xīn	Qingxin county in Qingyuan 清远, Guangdong;  fresh and clean;  
清真寺	清真寺	qīng zhēn sì	mosque;  
情	情	qíng	feeling; emotion; passion; situation;  
情报	情報	qíng bào	information; intelligence;  
情不自禁	情不自禁	qíng bù zì jīn	unable to restrain emotions; cannot help;  
情调	情調	qíng diào	sentiment; tone and mood; taste;  
情怀	情懷	qíng huái	feelings; mood;  
情结	情結	qíng jié	complex (psychology);  
情侣	情侶	qíng lǚ	sweethearts; lovers;  
情人	情人	qíng rén	lover; sweetheart;  
情谊	情誼	qíng yì	friendship; camaraderie;  
情愿	情願	qíng yuàn	willingness; would rather (agree to X than Y);  
请柬	請柬	qǐng jiǎn	invitation card; written invitation;  
请帖	請帖	qǐng tiě	invitation card; written invitation;  
庆典	慶典	qìng diǎn	celebration;  
庆贺	慶賀	qìng hè	to congratulate; to celebrate;  
庆幸	慶幸	qìng xìng	to rejoice; to be glad;  
丘陵	丘陵	qiū líng	hills;  
囚犯	囚犯	qiú fàn	prisoner; convict;  
求婚	求婚	qiú hūn	to propose marriage;  
求救	求救	qiú jiù	to cry for help;  
求学	求學	qiú xué	to study; to seek knowledge; to attend college; at school; learning; education;  
求医	求醫	qiú yī	to seek medical treatment; to see a doctor;  
求证	求證	qiú zhèng	to seek proof; to seek confirmation;  
求助	求助	qiú zhù	to request help; to appeal (for help);  
曲线	麯綫	qū xiàn	curve; curved line; indirect; in a roundabout way;  
曲折	麯摺	qū zhé	winding; (fig.) complicated;  
驱动	驅動	qū dòng	to drive; to propel; drive (vehicle wheel); drive mechanism (tape or disk); device driver (computing software);  
驱逐	驅逐	qū zhú	to expel; to deport; banishment;  
屈服	屈服	qū fú	to surrender; to yield;  
趋于	趨於	qū yú	to tend towards;  
曲	麯	Qū, qū, qǔ, qū, qū	surname Qu;  yeast; Aspergillus (includes many common molds); Taiwan pr. [qu2];  tune; song; CL:支[zhi1];  
取代	取代	qǔ dài	to replace; to supersede; to supplant; (chemistry) substitution;  
取缔	取締	qǔ dì	to suppress; to crack down on; to prohibit;  
取而代之	取而代之	qǔ ér dài zhī	to substitute for sb; to remove and replace;  
取经	取經	qǔ jīng	to journey to India on a quest for the Buddhist scriptures; to learn by studying another's experience;  
取决于	取決於	qǔjuéyú	depending on
取暖	取暖	qǔ nuǎn	to warm oneself (by a fire etc);  
取胜	取勝	qǔ shèng	to score a victory; to prevail over one's opponents;  
取笑	取笑	qǔ xiào	to tease; to make fun of;  
娶	娶	qǔ	to take a wife; to marry (a woman);  
去除	去除	qù chú	to remove; to dislodge;  
去处	去處	qù chù	place; destination;  
去向	去嚮	qù xiàng	the position of sth; whereabouts;  
趣味	趣味	qù wèi	fun; interest; delight; taste; liking; preference;  
圈套	圈套	quān tào	trap; snare; trick;  
圈子	圈子	quān zi	circle; ring; (social) circle;  
权衡	權衡	quán héng	to consider; to weigh (a matter); to balance (pros and cons);  
权威	權威	quán wēi	authority; authoritative; power and prestige;  
权益	權益	quán yì	rights; interests; rights and benefits;  
全长	全長	quán cháng	overall length; span;  
全程	全程	quán chéng	the whole distance; from beginning to end;  
全方位	全方位	quán fāng wèi	all around; omni-directional; complete; holistic; comprehensive;  
全局	全局	quán jú	overall situation;  
全力以赴	全力以赴	quán lì yǐ fù	to do at all costs; to make an all-out effort;  
全能	全能	quán néng	omnipotent; all-round; strong in every area;  
全文	全文	quán wén	entire text; full text;  
全心全意	全心全意	quán xīn quán yì	heart and soul; wholeheartedly;  
拳	拳	quán	fist; boxing;  
拳头	拳頭	quán tou	fist; clenched fist; CL:個|个[ge4]; competitive (product);  
劝告	勸告	quàn gào	to advise; to urge; to exhort; exhortation; advice; CL:席[xi2];  
劝说	勸說	quàn shuō	to persuade; persuasion; to advise;  
劝阻	勸阻	quàn zǔ	to advise against; to dissuade;  
缺口	缺口	quē koǔ	nick; jag; gap; shortfall;  
缺失	缺失	quē shī	deficiency; shortcoming; hiatus;  
缺席	缺席	quē xí	absence; absent;  
确切	確切	què qiè	definite; exact; precise;  
确信	確信	què xìn	to be convinced; to be sure; to firmly believe; to be positive that; definite news;  
确凿	確鑿	què záo	definite; conclusive; undeniable; authentic; also pr. [que4 zuo4];  
确诊	確診	què zhěn	to make a definite diagnosis;  
燃放	燃放	rán fàng	to light; to set off (firecrackers etc);  
燃气	燃氣	rán qì	natural gas;  
燃油	燃油	rán yoú	fuel oil;  
嚷	嚷	rǎng	to blurt out; to shout;  
让步	讓步	ràng bù	to concede; to give in; to yield; a concession;  
饶	饒	Ráo, ráo	surname Rao;  rich; abundant; exuberant; to add for free; to throw in as bonus; to spare; to forgive; despite; although;  
饶恕	饒恕	ráo shù	to forgive; to pardon; to spare;  
扰乱	擾亂	rǎo luàn	to disturb; to perturb; to harass;  
绕行	繞行	rào xíng	detour; long way around;  
惹	惹	rě	to provoke; to irritate; to vex; to stir up; to anger; to attract (troubles); to cause (problems);  
热潮	熱潮	rè cháo	upsurge; popular craze;  
热带	熱帶	rè dài	the tropics; tropical;  
热气	熱氣	rè qì	steam; heat; CL:股[gu3];  
热气球	熱氣球	rè qì qiú	hot air balloon;  
热腾腾	熱騰騰	rèténgténg	Fever
热衷	熱衷	rè zhōng	to feel strongly about; to be fond of; obsession; deep commitment;  
人次	人次	rén cì	person-times; visits; classifier for number of people participating;  
人道	人道	rén dào	human sympathy; humanitarianism; humane; the 'human way', one of the stages in the cycle of reincarnation (Buddhism); sexual intercourse;  
人格	人格	rén gé	personality; integrity; dignity;  
人工智能	人工智能	rén gōng zhì néng	artificial intelligence (AI);  
人均	人均	rén jūn	per capita;  
人品	人品	rén pǐn	moral standing; moral quality; character; personality; appearance; looks (colloquial); bearing;  
人气	人氣	rén qì	popularity; personality; character;  
人情	人情	rén qíng	human emotions; social relationship; friendship; favor; a good turn;  
人身	人身	rén shēn	person; personal; human body;  
人事	人事	rén shì	personnel; human resources; human affairs; ways of the world; (euphemism) sexuality; the facts of life;  
人手	人手	rén shoǔ	manpower; staff; human hand;  
人体	人體	rén tǐ	human body;  
人为	人為	rén wéi	artificial; man-made; having human cause or origin; human attempt or effort;  
人文	人文	rén wén	humanities; human affairs; culture;  
人行道	人行道	rén xíng dào	sidewalk;  
人性	人性	rén xìng	human nature; humanity; human; the totality of human attributes;  
人选	人選	rén xuǎn	choice of person; candidate;  
人缘儿	人緣兒	ren2 yuan2 r5	erhua variant of 人緣|人缘[ren2 yuan2];  
人造	人造	rén zào	man-made; artificial; synthetic;  
人质	人質	rén zhì	hostage;  
仁慈	仁慈	rén cí	benevolent; charitable; kind; kindly; kindness; merciful;  
忍饥挨饿	忍飢挨餓	rěn jī ái è	starving; famished;  
忍耐	忍耐	rěn nài	to endure; to bear with; to exercise patience; to restrain oneself; patience; endurance;  
忍心	忍心	rěn xīn	to have the heart to do sth; to steel oneself to a task;  
认错	認錯	rèn cuò	to admit an error; to acknowledge one's mistake;  
认证	認證	rèn zhèng	to authenticate; to approve;  
认知	認知	rèn zhī	cognition; to acknowledge;  
任命	任命	rèn mìng	to appoint and nominate; (job) appointment; CL:紙|纸[zhi3];  
任期	任期	rèn qī	term of office;  
任人宰割	任人宰割	rèn rén zǎi gē	to get trampled on (idiom); to be taken advantage of;  
任意	任意	rèn yì	arbitrary; at will; at random;  
任职	任職	rèn zhí	to hold an office or post;  
韧性	韌性	rèn xìng	toughness;  
日程	日程	rì chéng	schedule; itinerary; CL:個|个[ge4];  
日复一日	日復一日	rì fù yī rì	day after day;  
日后	日後	rì hoù	sometime; someday (in the future);  
日前	日前	rì qián	the other day; a few days ago;  
日趋	日趨	rì qū	(increasing) day by day; (more critical) with every passing day; gradually;  
日新月异	日新月異	rì xīn yuè yì	daily renewal, monthly change (idiom); every day sees new developments; rapid progress;  
日益	日益	rì yì	day by day; more and more; increasingly; more and more with each passing day;  
荣获	榮獲	róng huò	be honored with;  
荣幸	榮幸	róng xìng	honored (to have the privilege of ...);  
荣誉	榮譽	róng yù	honor; credit; glory; (honorable) reputation; honorary;  
容光焕发	容光煥發	róng guāng huàn fā	face glowing (idiom); looking radiant; all smiles;  
容量	容量	róng liàng	capacity; volume; quantitative (science);  
容纳	容納	róng nà	to hold; to contain; to accommodate; to tolerate (different opinions);  
容忍	容忍	róng rěn	to put up with; to tolerate;  
容许	容許	róng xǔ	to permit; to allow;  
容颜	容顔	róng yán	mien; complexion;  
溶解	溶解	róng jiě	to dissolve;  
融	融	róng, róng	old variant of 融[rong2];  
融化	融化	róng huà	to melt; to thaw; to dissolve; to blend into; to combine; to fuse;  
融洽	融洽	róng qià	harmonious; friendly relations; on good terms with one another;  
冗长	冗長	rǒng cháng	long and tedious; redundant; superfluous; supernumerary; verbose (of writing);  
柔和	柔和	roú hé	gentle; soft;  
柔软	柔軟	roú ruǎn	soft;  
揉	揉	roú	to knead; to massage; to rub;  
如果说	如果說	rúguǒshuō	If
如实	如實	rú shí	as things really are; realistic;  
如意	如意	rú yì	as one wants; according to one's wishes; ruyi scepter, a symbol of power and good fortune;  
如愿以偿	如願以償	rú yuàn yǐ cháng	to have one's wish fulfilled;  
如醉如痴	如醉如癡	rú zuì rú chī	lit. as if drunk and stupefied (idiom); intoxicated by sth; obsessed with; mad about sth; also written 如癡如醉|如痴如醉[ru2 chi1 ru2 zui4];  
儒家	儒傢	Rú jiā	Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC);  
儒学	儒學	Rú xué	Confucianism;  
入场	入場	rù chǎng	to enter the venue for a meeting; to enter into an examination; to enter a stadium, arena etc;  
入场券	入場券	rù chǎng quàn	admission ticket;  
入境	入境	rù jìng	to enter a country; immigration;  
入侵	入侵	rù qīn	to invade;  
人手	人手	rén shoǔ	manpower; staff; human hand;  
入选	入選	rù xuǎn	to be chosen; to be elected as;  
软弱	軟弱	ruǎn ruò	weak; feeble; flabby;  
软实力	軟實力	ruǎn shí lì	soft power (i.e. media influence, propaganda and cultural ties in lieu of military power);  
瑞雪	瑞雪	ruì xuě	timely snow;  
润	潤	rùn	to moisten; to lubricate; to embellish; moist; glossy; sleek;  
若干	若乾	ruò gān	a certain number or amount; how many?; how much?;  
弱点	弱點	ruò diǎn	weak point; failing;  
弱势	弱勢	ruò shì	vulnerable; weak;  
撒	撒	sā, sǎ	to let go; to cast; to let loose; to discharge; to give expression to;  to scatter; to sprinkle; to spill;  
撒谎	撒謊	sā huǎng	to tell lies;  
赛车	賽車	sài chē	auto race; cycle race; race car;  
赛跑	賽跑	sài pǎo	race (running); to race (running);  
三番五次	三番五次	sān fān wǔ cì	over and over again (idiom);  
三角	三角	sān jiǎo	triangle;  
三维	三維	sān wéi	three-dimensional; 3D;  
散布	散布	sàn bù	to disseminate;  
散发	散發	sàn fā	to distribute; to emit; to issue;  
桑拿	桑拿	sāng ná	sauna (loanword);  
嗓子	嗓子	sǎng zi	throat; voice; CL:把[ba3];  
丧生	喪生	sàng shēng	to die; to lose one's life;  
骚乱	騷亂	sāo luàn	disturbance; riot; to create a disturbance;  
骚扰	騷擾	sāo rǎo	to disturb; to cause a commotion; to harass;  
扫除	掃除	sǎo chú	to sweep; to clean with a brush; to sweep away (often fig.);  
扫描	掃描	sǎo miáo	to scan;  
扫墓	掃墓	sǎo mù	to sweep the tombs (of one's ancestors); the Qingming festival;  
扫兴	掃興	sǎo xìng	to have one's spirits dampened; to feel disappointed;  
嫂子	嫂子	sǎo zi	(coll.) older brother's wife; sister-in-law; CL:個|个[ge4];  
僧人	僧人	sēng rén	monk;  
杀害	殺害	shā hài	to murder;  
杀手	殺手	shā shoǔ	killer; murderer; hit man; (sports) formidable player;  
沙龙	沙龍	shā lóng	salon (loanword);  
沙滩	沙灘	shā tān	beach; sandy shore; CL:片[pian4];  
纱	紗	shā	cotton yarn; muslin;  
刹车	刹車	shā chē	to brake (when driving); to stop; to switch off; to check (bad habits); a brake;  
砂糖	砂糖	shā táng	granulated sugar;  
鲨鱼	鯊魚	shā yú	shark;  
傻瓜	傻瓜	shǎ guā	idiot; fool;  
筛	篩	shāi	to filter; to sift; to sieve;  
筛选	篩選	shāi xuǎn	to filter;  
晒太阳	曬太陽	shàitàiyáng	Sun
山川	山川	shānchuān	Mountainous
山顶	山頂	shān dǐng	hilltop;  
山冈	山岡	shān gāng	mound; small hill;  
山岭	山嶺	shān lǐng	mountain ridge;  
山路	山路	shān lù	mountain road;  
山寨	山寨	shān zhài	fortified hill village; mountain stronghold (esp. of bandits); (fig.) knockoff (goods); counterfeit; imitation;  
删	刪	shān	to delete;  
删除	刪除	shān chú	to delete; to cancel;  
煽动	煽動	shān dòng	to incite; to instigate;  
闪烁	閃爍	shǎn shuò	flickering; twinkling; evasive; vague (of speech);  
善	善	shàn	good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect;  
善意	善意	shàn yì	goodwill; benevolence; kindness;  
擅长	擅長	shàn cháng	to be good at; to be expert in;  
擅自	擅自	shàn zì	without permission; of one's own initiative;  
膳食	膳食	shàn shí	meal;  
赡养	贍養	shàn yǎng	to support; to provide support for; to maintain;  
伤残	傷殘	shāng cán	disabled; maimed; crippled; (of objects) damaged;  
伤感	傷感	shāng gǎn	sad; emotional; sentimental; pathos;  
伤痕	傷痕	shāng hén	scar; bruise;  
伤脑筋	傷腦筋	shāng nǎo jīn	to be a real headache; to find sth a real headache; to beat one's brains;  
伤势	傷勢	shāng shì	condition of an injury;  
商贩	商販	shāng fàn	trader; peddler;  
商贾	商賈	shāng gǔ	merchant;  
商讨	商討	shāng tǎo	to discuss; to deliberate;  
上报	上報	shàng bào	to report to one's superiors; to appear in the news; to reply to a letter;  
上场	上場	shàng chǎng	on stage; to go on stage; to take the field;  
上方	上方	shàngfāng	Above
上岗	上崗	shàng gǎng	to take up one's post; to be given a job;  
上火	上火	shàng huǒ	to get angry; to suffer from excessive internal heat (TCM);  
上空	上空	shàng kōng	overhead; in the sky;  
上流	上流	shàng liú	upper class;  
上期	上期	shàngqī	Previous period
上任	上任	shàng rèn	to take office; previous (incumbent); predecessor;  
上述	上述	shàng shù	aforementioned; above-mentioned;  
上司	上司	shàng si	boss; superior;  
上诉	上訴	shàng sù	to appeal (a judicial case); appeal;  
上调	上調	shàng tiáo	to raise (prices); to adjust upwards;  
上头	上頭	shàng toú, shàng tou	(of alcohol) to go to one's head; (old) (of a bride-to-be) to bind one's hair into a bun; (of a prostitute) to receive a patron for the first time;  above; on top of; on the surface of;  
上限	上限	shàng xiàn	upper bound;  
上旬	上旬	shàng xún	first third of a month;  
上瘾	上癮	shàng yǐn	to get into a habit; to become addicted;  
上映	上映	shàng yìng	to show (a movie); to screen;  
上游	上遊	shàng yoú	upper reaches (of a river); upper level; upper echelon; upstream;  
尚	尚	Shàng, shàng	surname Shang;  still; yet; to value; to esteem;  
尚未	尚未	shàng wèi	not yet; still not;  
捎	捎	shāo	to bring sth to sb; to deliver;  
烧毁	燒毀	shāo huǐ	to burn; to burn down;  
烧烤	燒烤	shāo kǎo	barbecue; to roast;  
稍后	稍後	shāo hoù	in a little while; in a moment; later on;  
稍候	稍候	shāohòu	Wait a moment
稍稍	稍稍	shāo shāo	somewhat; a little; slightly;  
少不了	少不瞭	shǎo bu liǎo	cannot do without; to be unavoidable; are bound to be many;  
少见	少見	shǎo jiàn	rare; not familiar (to the speaker); sth rarely experience; hard to see;  
少量	少量	shǎo liàng	a smidgen; a little bit; a few;  
少有	少有	shǎo yoǔ	rare; infrequent;  
少林寺	少林寺	Shào lín Sì	Shaolin Temple, Buddhist monastery famous for its kung fu monks;  
少女	少女	shào nǚ	girl; young lady;  
奢侈	奢侈	shē chǐ	luxurious; extravagant;  
奢望	奢望	shē wàng	an extravagant hope; to have excessive expectations;  
设	設	shè	to set up; to arrange; to establish; to found; to display;  
设定	設定	shè dìng	to set; to set up; to install; setting; preferences;  
设法	設法	shè fǎ	to try; to make an attempt; to think of a way (to accomplish sth);  
社会主义	社會主義	shè huì zhǔ yì	socialism;  
社交	社交	shè jiāo	interaction; social contact;  
社论	社論	shè lùn	editorial (in a newspaper); CL:篇[pian1];  
社团	社團	shè tuán	association; society; group; union; club; organization;  
涉嫌	涉嫌	shè xián	to be a suspect (in a crime); to be suspected of;  
摄氏度	攝氏度	shè shì dù	degrees centigrade;  
谁知道	誰知道	shéi zhī dào	God knows...; Who would have imagined...?;  
申办	申辦	shēn bàn	to apply for; to bid for;  
申报	申報	shēn bào	to report (to the authorities); to declare (to customs);  
申领	申領	shēn lǐng	to apply (for license, visa etc);  
伸手	伸手	shēn shoǔ	to reach out with one's hand; to hold out a hand; (fig.) to beg; to get involved; to meddle;  
伸缩	伸縮	shēn suō	to lengthen and shorten; flexible; adjustable; retractable; extensible; telescoping (collapsible);  
伸张	伸張	shēn zhāng	to uphold (e.g. justice or virtue); to promote;  
身不由己	身不由己	shēn bù yoú jǐ	without the freedom to act independently (idiom); involuntary; not of one's own volition; in spite of oneself;  
身价	身價	shēn jià	social status; price of a slave; price of a person (a sportsman etc); worth; value (of stocks, valuables etc);  
身躯	身軀	shēn qū	body;  
身心	身心	shēn xīn	body and mind; mental and physical;  
身影	身影	shēn yǐng	silhouette; figure;  
身子	身子	shēn zi	body; pregnancy; health;  
绅士	紳士	shēn shì	gentleman;  
深奥	深奧	shēn ào	profound; abstruse; recondite; profoundly;  
深切	深切	shēn qiè	deeply felt; heartfelt; sincere; honest;  
深情	深情	shēn qíng	deep emotion; deep feeling; deep love;  
深入人心	深入人心	shēn rù rén xīn	to enter deeply into people's hearts; to have a real impact on the people (idiom);  
深受	深受	shēn shoù	to receive in no small measure;  
深思	深思	shēn sī	to ponder; to consider;  
深信	深信	shēn xìn	to believe firmly;  
深夜	深夜	shēn yè	very late at night;  
深远	深遠	shēn yuǎn	far-reaching; profound and long-lasting;  
神气	神氣	shén qì	expression; manner; vigorous; impressive; lofty; pretentious;  
神圣	神聖	shén shèng	divine; hallow; holy; sacred;  
神态	神態	shén tài	appearance; manner; bearing; deportment; look; expression; mien;  
神仙	神仙	shén xiān	Daoist immortal; supernatural entity; (in modern fiction) fairy, elf, leprechaun etc; fig. lighthearted person;  
宙	宙	zhoù	eternity; (geology) eon;  
审定	審定	shěn dìng	to examine and approve; to finalize;  
审核	審核	shěn hé	to audit; to investigate thoroughly;  
审美	審美	shěn měi	esthetics; appreciating the arts; taste;  
审判	審判	shěn pàn	a trial; to try sb;  
审批	審批	shěn pī	to examine and approve; to endorse;  
审视	審視	shěn shì	to look closely at; to examine;  
肾	腎	shèn	kidney;  
甚至于	甚至於	shèn zhì yú	so much (that); even (to the extent that);  
渗	滲	shèn	to seep; to ooze; to horrify;  
渗透	滲透	shèn toù	to permeate; to infiltrate; to pervade; osmosis;  
慎重	慎重	shèn zhòng	cautious; careful; prudent;  
升温	升溫	shēng wēn	to become hot; temperature rise; (fig.) to intensify; to hot up; to escalate; to get a boost;  
生机	生機	shēng jī	opportunity to live; to reprieve from death; life force; vitality;  
生理	生理	shēng lǐ	physiology;  
生命线	生命綫	shēng mìng xiàn	lifeline;  
生怕	生怕	shēng pà	to fear; afraid; extremely nervous; for fear that; to avoid; so as not to;  
生平	生平	shēng píng	life (a person's whole life); in one's entire life;  
生前	生前	shēng qián	(of a deceased) during one's life; while living;  
生死	生死	shēng sǐ	life or death;  
生态	生態	shēng tài	ecology;  
生物	生物	shēng wù	organism; living creature; life form; biological; CL:個|个[ge4];  
生效	生效	shēng xiào	to take effect; to go into effect;  
生涯	生涯	shēng yá	career; life (way in which sb lives); period of one's life;  
生硬	生硬	shēng yìng	stiff; harsh;  
