挨著,挨着,āi zhe,"near"
通報,通报,tōng bào,"to inform, to notify, to announce, circular, bulletin, (scientific) journal"
通道,通道,tōngdào,"path, scuttle, headway, corridor, passageway, gateway, gallery, close, walkway, areaway, hatchway, thoroughfare, lobby, winze, passage, aisle, opening, gangway, gap, passage(way), clearance, passing, headroom, enterclose, inlet, jackladder, access, byway"
通紅,通红,tōng hóng,"very red, red through and through, to blush (deep red)"
通話,通话,tōnghuà,"converse, communicate by telephone"
通行,通行,tōngxíng,"pass/go through, be current or of general use"
通訊,通讯,tōngxùn,"communication, news report, newsletter"
同,同,tóng,"det.: simialr, same"
同胞,同胞,tóngbāo,"offspring of same parents, paisano, neighbour, countrymen, countryfolk, fellow countryman, neighbor, compatriot, countryman, cousin"
同行,同行,tóng hángtóng xíng,"person of the same profession, of the same trade, occupation or industry, to journey together"
同期,同期,tóng qī,"the corresponding time period (in a different year etc), concurrent, synchronous"
同一,同一,tóng yī,"identical, the same"
銅牌,铜牌,tóng pái,"bronze medal, bronze plaque bearing a business name or logo etc, CL:枚[mei2]"
頭疼,头疼,toú téng,"headache"
投票,投票,tóupiào,"ballot, tender, bid, poll, cast, cast a vote, vote"
透露,透露,tòulù,"expose, disclose, divulge, develop, impart, unrip, confide, sound, fall, disembosom, get around, reveal, let_on, disclosure, let on, leakage, divulgence, get out, discover, let out, leak, declare, break, give away, bring out"
圖書,图书,túshū,"picture_book, books"
徒弟,徒弟,tú dì,"apprentice, disciple"
途徑,途径,tújìng,"track, path, pathway, footpath, avenue, gateway, channel, road, way, pipeline, curriculum"
土,土,tǔ,"soil, earth, clay, land"
團隊,团队,tuánduì,team
推出,推出,tuīchū,present to public
退票,退票,tuì piào,"to bounce (a check), to return a ticket, ticket refund"
吞,吞,tūn,"to swallow, to take"
托,托,tuō,"hold in palm, support from under, serve as foil, set off, plead, give as a pretext, rely on, entrust, put lining in"
拖,拖,tuō,"pull, drag, haul"
拖鞋,拖鞋,tuō xié,"slippers, sandals, flip-flops, CL:雙|双[shuang1],隻|只[zhi1]"
挖,挖,wā,"scrape, scoop up, scoop, pick, excavate, excavation, grub, lift out, take up, scoop out, dig, grave"
娃娃,娃娃,wáwá,"mammet, baby, doll, child"
哇,哇,wā,Wah!
外幣,外币,wài bì,"foreign currency"
外部,外部,wàibù,"outer, surface, external, outwall, outside, exterior"
外出,外出,wàichū,go out
外觀,外观,wàiguān,"shell, outward appearance, show, externality, visual aspect, exterior, effect, superficies, look, likeness, appearance, facade, surface, presentment, apparel, impression, facies, aspect, complexion, resemblance, semblance, guise, frontage, outwardness, rind, garb, showing, face, veneer, outside, garment, getup"
外科,外科,wàikē,"surgery, chirurgery, surgical, surgical department"
外來,外来,wàilái,"foreign, adventive, externally, incoming, external, outside, exotic"
外頭,外头,wàitóu,"outside, out"
外衣,外衣,wài yī,"outer clothing, semblance, appearance"
外資,外资,wàizī,foreign capital
彎曲,弯曲,wānqū,distort
頑皮,顽皮,wán pí,"naughty"
頑強,顽强,wán qiáng,"tenacious, hard to defeat"
王后,王后,wáng hoù,"queen, CL:個|个[ge4],位[wei4]"
王子,王子,wángzǐ,"king's son, prince"
網吧,网吧,wǎng bā,"Internet café"
網頁,网页,wǎng yè,"web page"
往後,往后,wǎng hoù,"from now on, in the future, time to come"
往來,往来,wǎnglái,"contact, intercourse"
往年,往年,wǎng nián,"in former years, in previous years"
望見,望见,wàng jiàn,"to espy, to spot"
危機,危机,wéijī,"ambush, clutch, climacteric, crisis, precipice, hump, conjuncture, juncture, sharpness, gravity, edge"
威脅,威胁,wēixié,threat
微波爐,微波炉,wēi bō lú,"microwave oven, CL:臺|台[tai2]"
維生素,维生素,wéi shēng sù,"vitamin"
為此,为此,wèi cǐ,"for this reason, with regards to this, in this respect, in order to do this, to this end"
為何,为何,wèihé,"why, for what reason"
文娛,文娱,wén yú,"cultural recreation, entertainment"
臥鋪,卧铺,wò pù,"a bed (on a train), a couchette"
烏雲,乌云,wū yún,"black cloud"
無邊,无边,wú biān,"without boundary, not bordered"
無關,无关,wúguān,have nothing to do with
無效,无效,wúxiào,"of/to no avail, null and void"
舞蹈,舞蹈,wǔdào,"dancing, saltation, nautch, dance, terpsichore, choreography, stage dancing"
物品,物品,wùpǐn,"whatchamacallit, sundry, stuff, commodity, affair, physical object, goods, article, object, content, whatsis, res, sundries"
誤,误,wù,"mistake, error, to miss, to harm, to delay, to neglect, mistakenly"
西班牙語,西班牙语,Xī bān yá yǔ,"Spanish language"
吸毒,吸毒,xīdú,take drugs
犧牲,牺牲,xīshēng,"sacrifice oneself, die martyr's death, do sth. at the expense of self or sb. else"
洗衣粉,洗衣粉,xǐ yī fěn,"laundry detergent, washing powder"
戲曲,戏曲,xìqǔ,"traditional opera, drama, trad. opera, singing parts in ^chuan2 qi2 ^ and ^za2, singing parts in ^chuan2qi2^ and ^za2ju4^"
細胞,细胞,xìbāo,cell
細菌,细菌,xìjùn,"bacillus, bacilli, bacteria, B, bacteriological, microbe, contaminant, bacterium, clump, germ, microphyte, bacterial"
先鋒,先锋,xiān fēng,"vanguard, pioneer"
嫌,嫌,xián,"dislike, mind"
顯出,显出,xiǎn chū,"to express, to exhibit"
險,险,xiǎn,"danger, dangerous, rugged"
線路,线路,xiànlù,"wiring, line, route, circuit"
陷入,陷入,xiànrù,"plunge, be immersed in, land oneself in, slump, be caught in, lapse, launch, get_into, fall_in, invaginate, be deep in, engulf, run_into, fall_into, be lost/immersed in, be lost, sink into, tangle, fall into, immerse, sink, be lost in, bed, immersed in, get bogged down in, land, sink/fall into"
響聲,响声,xiǎng shēng,"noise"
想不到,想不到,xiǎngbúdào,unable to anticipate
消耗,消耗,xiāohào,"consume, use up, deplete"
消滅,消灭,xiāomiè,"eradicate, die out, eliminate, abolish, wipe out, annihilate, kill, slake, decimate, carry off, disappear, exterminate, lapse, expunge, abolition, knock out, quell, destroy, pass away, kill off, deafen, extermination, detruncate, liquidate, snuff_out, snuff out, extirpate, snuff, elimination, perish, discreate, vanish, extinguish"
小費,小费,xiǎo fèi,"tip, gratuity"
小麥,小麦,xiǎo mài,"wheat, CL:粒[li4]"
小於,小于,xiǎo yú,"less than, <"
曉得,晓得,xiǎode,"tell, know, ken"
笑臉,笑脸,xiào liǎn,"smiling face, smiley :) ☺, CL:副[fu4]"
笑容,笑容,xiàoróng,"grinning, smiling expression, laugh, smiling, a smile, a smiling face, smile, grin"
笑聲,笑声,xiàoshēng,laughter
協會,协会,xié huì,"an association, a society, CL:個|个[ge4],家[jia1]"
協商,协商,xiéshāng,"consult, talk things over"
協調,协调,xiétiáo,"coordinate, harmonize, bring into line"
協助,协助,xiézhù,"assist, help"
寫字樓,写字楼,xiě zì loú,"office building"
寫字檯,写字台,xiě zì tái,"writing desk"
心靈,心灵,xīnlíng,"psychical, mind, psyche, soul, spirit, mens, heart"
心願,心愿,xīnyuàn,breathing
心臟,心脏,xīnzàng,"ticker, cardiac, center, pump, heart"
心臟病,心脏病,xīn zàng bìng,"heart disease"
新人,新人,xīnrén,newlywed
新興,新兴,xīnxīng,"burgeoning, new and developing, newly_arisen, rising"
薪水,薪水,xīnshuǐ,"stipend, emolument, remuneration, screw, pay, wages, earnings, fee, compensation, pay_packet, salary, wage, living"
信仰,信仰,xìnyǎng,belief
信用,信用,xìnyòng,"honour, trustfulness, confidence, trustingness, trustworthiness, repute, affiance, credit, reposal, trust, tick, reputation, credence, jawbone, honor"
興旺,兴旺,xīng wàng,"prosperous, thriving, to prosper, to flourish"
行程,行程,xíngchéng,"throw, travel, tenor, itinerary, route, journey, route/distance of travel, distance of travel, stroke, route of travel"
形,形,xíng,"form, shape, body, entity"
凶,凶,xiōngxiōng,"vicious, fierce, ominous, inauspicious, famine, variant of 兇|凶[xiong1]"
兇手,凶手,xiōng shoǔ,"murderer, assassin"
修車,修车,xiū chē,"to repair a bike (car etc)"
袖珍,袖珍,xiù zhēn,"pocket-sized, pocket (book etc)"
懸,悬,xuán,"to hang or suspend, to worry, public announcement, unresolved, baseless, without foundation"
旋轉,旋转,xuánzhuǎn,"revolve, gyrate, spin"
選拔,选拔,xuǎn bá,"to select the best"
選舉,选举,xuǎnjǔ,election
學會,学会,xuéhuì,"learned society, (scholarly) association"
學員,学员,xuéyuán,"trainee, member of institution of learning, student"
血管,血管,xiěguǎn,"afferent, vas, vena, blood_vessel, vessel, vein, blood vessel"
血液,血液,xiěyè,blood
循環,循环,xúnhuán,"circulate, cycle.circulatory system"
壓迫,压迫,yāpò,"oppress, repress, constrict"
煙花,烟花,yān huā,"fireworks, prostitute (esp. in Yuan theater)"
沿,沿,yán,along
沿海,沿海,yánhǎi,"coast, coastal, along the coast, littoral"
沿著,沿着,yán zhe,"to go along, to follow"
研發,研发,yánfā,"research and develop, R&D, research and develop something, research and development"
眼看,眼看,yǎnkàn,"see sth. happen, watch helplessly"
演奏,演奏,yǎnzòu,give instrumental performance
宴會,宴会,yàn huì,"banquet, feast, dinner party, CL:席[xi2],個|个[ge4]"
洋,洋,yáng,"ocean, vast, foreign, silver dollar or coin"
仰,仰,Yǎngyǎng,"surname Yang, to face upward, to look up, to admire, to rely on"
養老,养老,yǎng lǎo,"to provide for the elderly (family members), to enjoy a life in retirement"
氧氣,氧气,yǎngqì,"O, atomic number 8, oxygen"
樣,样,yàng,m.[kind]
藥品,药品,yàopǐn,"pharmaceutical, medicines and chemical reagents, drug, restorative"
要不然,要不然,yàobùrán,"conj.: otherwise, or else, or"
要好,要好,yào hǎo,"to be on good terms, to be close friends, striving for self-improvement"
要麼,要么,yào me,"or, either one or the other"
要素,要素,yàosù,"basics, ingredient, essential, key element, constituent, fashioning, element, core, making, stuff, essential factor, factor, essence, strand, elemental, devising, chemistry, requisite, momentum"
野,野,yě,"wild, undomesticated"
野生,野生,yěshēng,"desert, wild, godforsaken, waste, feral, uncultivated"
醫藥,医药,yīyào,"medicament, medicine, curative, medication, remedy, physic"
依次,依次,yī cì,"in order, in succession"
依賴,依赖,yīlài,rely/depend on
一次性,一次性,yī cì xìng,"one-off (offer), one-time, single-use, disposable (goods)"
一代,一代,yī dài,"generation"
一道,一道,yī dào,"together"
一貫,一贯,yīguàn,"consistent, persistent, all along"
一路上,一路上,yīlùshàng,"All the way"
儀器,仪器,yíqì,"instrumentation, device, setup, apparatus, instrumental, instrument, armamentarium"
儀式,仪式,yíshì,"religious rite, ceremonial occasion, deeds, practice, form, rituality, office, formality, ritual, circumstance, ceremony, formalness, exercise, powwow, observance, ceremonial, rite, works"
遺憾,遗憾,yíhàn,"regret, pity"
一番,一番,yīfān,"Some"
一模一樣,一模一样,yī mú yī yàng,"exactly the same (idiom), carbon copy, also pr. [yi1 mo2 yi1 yang4]"
一齊,一齐,yīqí,"simul, in unison, together, simultaneously"
一時,一时,yī shí,"a period of time, a while, for a short while, temporary, momentary, at the same time"
一同,一同,yītóng,together
一行,一行,yī xíng,"party, delegation"
藝人,艺人,yìrén,"creative person, artiste, entertainer, artist, artisan, cackler, actor, handcraftsman, performer"
議題,议题,yìtí,"item on the agenda, head, question, topic for discussion, topic for/under discussion, topic under discussion, subject under discussion, under discussion, topic for"
異常,异常,yìcháng,"unusual, extraordinary, abnormal"
意想不到,意想不到,yì xiǎng bù dào,"unexpected, previously unimagined"
意願,意愿,yìyuàn,"will, wish, desire, inclination, aspiration, request, pleasure"
因,因,yīn,"conj.: because, as"
因素,因素,yīnsù,"consideration, ingredient, constituent, factor, strand, component, element"
陰謀,阴谋,yīn moú,"plot, conspiracy"
陰影,阴影,yīnyǐng,"umbrage, shadow, shadiness, hatching, spectre, hatch, blight, umbra, penumbra, cloud, umber, shade, shadowiness"
音量,音量,yīnliàng,"intensity, volume, quantity, loudness, volume of sound"
音像,音像,yīn xiàng,"audio and video, audiovisual"
隱藏,隐藏,yǐncáng,"cache, hold back, hidden, blot_out, suppress, disguise, concealment, remain under cover, lurk, secrete, reserve, recess, hoodwink, dissemble, stash, veil, hold in, bury, hide, conceal, occult, mask, ensconce, cover_up, palliate, obscure, hoard"
隱私,隐私,yǐn sī,"secrets, private business, privacy"
印,印,yìn,"print, engrave"
英雄,英雄,yīngxióng,hero
迎來,迎来,yínglái,"Ushered"
影迷,影迷,yǐng mí,"film enthusiast, movie fan, CL:個|个[ge4]"
影星,影星,yǐng xīng,"film star"
應對,应对,yìngduì,"reply, answer"
應急,应急,yìng jí,"to respond to an emergency, to meet a contingency, (attributive) emergency"
用處,用处,yòngchù,"use, value, practical application, function, purpose, point, usefulness, mileage, role"
用得著,用得着,yòng de zháo,"to be able to use, useable, to have a use for sth, (in interrogative sentence) to be necessary to"
用法,用法,yòngfǎ,"hang, usage, use"
用品,用品,yòngpǐn,"succedaneum, articles for use, replacer, substitute"
用心,用心,yòngxīn,be diligent/attentive
優質,优质,yoū zhì,"excellent quality"
遊人,游人,yoú rén,"a tourist"
遊玩,游玩,yoú wán,"to amuse oneself, to have fun, to go sightseeing, to take a stroll"
遊戲機,游戏机,yoú xì jī,"video game, game machine"
遊行,游行,yoú xíng,"march, parade, demonstration"
有關,有关,yǒuguān,be related
有沒有,有没有,yǒuméiyǒu,have or not have
有事,有事,yǒushì,"be occupied/busy, if problems arise"
於,于,yū,"in, at, to, from, out of, by"
娛樂,娱乐,yúlè,"amusement, entertainment, recreation"
愉快,愉快,yūkuài,"be happy, be cheerful"
與,与,yǔ,"and, together with, to give"
宇航員,宇航员,yǔ háng yuán,"astronaut"
雨衣,雨衣,yǔ yī,"raincoat, CL:件[jian4]"
預約,预约,yūyuē,make an appointment
元素,元素,yuánsù,element
園,园,Yuányuán,"surname Yuan, land used for growing plants, site used for public recreation"
園地,园地,yuándì,"special page in periodical, special section in periodical, park/garden area, special section, croft, page in periodical, garden area, special section/page in periodical, garden plot, park area, field, scope, park"
原,原,yuán,"originally, formerly"
原告,原告,yuán gào,"complainant, plaintiff"
原諒,原谅,yuánliàng,"excuse, pardon"
圓珠筆,圆珠笔,yuán zhū bǐ,"ballpoint pen, CL:支[zhi1],枝[zhi1]"
援助,援助,yuánzhù,"support, aid"
緣故,缘故,yuángù,"score, grounds, reason, cause, sake"
遠方,远方,yuǎnfāng,"distance, beyond, beyondness, distant place, corner"
遠離,远离,yuǎnlí,"be far away, stand aloof, be far off (the mark/etc.)"
遠遠,远远,yuǎn yuǎn,"distant"
約定,约定,yuēdìng,agree upon
樂曲,乐曲,yuèqǔ,"composition, piece of music, music, musical composition, piece, number, opus"
暈,晕,yūnyùn,"confused, dizzy, giddy, to faint, to swoon, to lose consciousness, to pass out, dizzy, halo, ring around moon or sun"
允許,允许,yǔnxǔ,"permit, allow"
運作,运作,yùnzuò,"operate, work"
暈車,晕车,yùn chē,"to be carsick"
雜,杂,zázá,"mixed, miscellaneous, various, to mix"
再生,再生,zàishēng,"be reborn, regenerate"
再說,再说,zàishuō,"furthermore, besides"
遭到,遭到,zāodào,"endure, encounter, meet with, run into, suffer, soak_up"
遭受,遭受,zāoshòu,suffer
遭遇,遭遇,zāoyū,"meet with, encounter"
早晚,早晚,zǎo wǎn,"morning and evening, sooner or later"
增進,增进,zēngjìn,"enhance, promote, further"
增值,增值,zēng zhí,"to appreciate (financially), to increase in value, value-added (accountancy)"
紮,扎,zhāzházāzhāzā,"variant of 紮|扎[zha1], penetrating (as of cold), struggle, to tie, to bind, classifier for flowers, banknotes etc: bundle, Taiwan pr. [zha2]"
紮實,扎实,zhā shizhá shi,"strong, solid, sturdy, firm, practical, see 扎實|扎实[zha1 shi5]"
炸,炸,zházhà,"to deep fry, to explode"
炸彈,炸弹,zhà dàn,"bomb, CL:枚[mei2],顆|颗[ke1]"
炸藥,炸药,zhà yào,"explosive (material)"
債,债,zhài,"debt, CL:筆|笔[bi3]"
佔據,占据,zhànjù,"inhabit, occupy, stand, assume, prevail, hold, invade, occupation, take, take up"
戰場,战场,zhàncháng,"field of battle, plain, theatre, camp, cockpit, battlefield, theater, battleground, field, battlefront"
戰略,战略,zhànluè,"stratagem, tactical, strategics, tactics, strategy"
戰術,战术,zhànshù,"tactical, war, tactics, military tactics, tactic, swordcraft"
戰友,战友,zhàn yoǔ,"comrade-in-arms, battle companion"
站台,站台,zhàn tái,"platform (at a railway station)"
章,章,zhāng,m.[general]
長,长,cháng,"long, be strong/good (in/at)"
掌聲,掌声,zhǎngshēng,"clapping, applause"
賬,账,zhàng,"account, bill, debt, CL:本[ben3],筆|笔[bi3]"
賬戶,账户,zhàng hù,"bank account, online account"
漲,涨,zhàng,"rise, go up (of water/prices/etc.)"
障礙,障碍,zhàngài,"discouragement, bottleneck, clog, bar, encumbrance, embarrassment, malfunction, jam-up, baffle, impediment, obstruction, rub, roadblock, stay, rubber, disturbance, balk, holdback, bunker, stymy, remora, obstacle, barrier, stumbling_block, hitch, handicap, lesion, hedge, snag, drawback, let, wall, crab, difficulty, penalty, hang-up, facer, hindrance, hurdle"
招,招,zhāo,m.[general]
招聘,招聘,zhāo pìn,"to invite applications for a job, to recruit"
照樣,照样,zhào yàng,"as before, (same) as usual, in the same manner, still, nevertheless"
照耀,照耀,zhào yào,"to shine, to illuminate"
哲學,哲学,zhéxué,"ism, philosophic, philosophical, philosophy, school of thought, doctrine"
這就是說,这就是说,zhèjìushìshuō,"This means that"
鎮,镇,zhèn,"town, garrison post, trading center"
爭奪,争夺,zhēng duó,"to fight over, to contest, to vie over"
整頓,整顿,zhěngdùn,"rectify, reorganize"
整治,整治,zhěngzhì,"renovate, repair, dredge (river/etc.), punish, discipline, do, work at, prepare, make ready, arrange, regulate, deal with problem or adversary"
正當,正当,zhèngdāng,"proper, legitimate"
政策,政策,zhèngcè,"statism, tack, line, policy, statecraft"
政黨,政党,zhèngdǎng,political party
政權,政权,zhèngquán,"rein, political power, political/state power, state power, power, regime, political"
症狀,症状,zhèngzhuàng,symptom
之類,之类,zhīlèi,conj.: such like
支撐,支撑,zhīchēng,"prop up, sustain, support"
支援,支援,zhīyuán,"backstop, support, side, help, patronize, root, stand by, bear, angel, hold out, back, see through, assist, assistance, sustain, back up"
枝,枝,zhī,m.[general]
知名,知名,zhīmíng,"noted, famous"
織,织,zhī,"to weave, to knit"
直升機,直升机,zhí shēng jī,"helicopter, CL:架[jia4]"
職責,职责,zhí zé,"duty, responsibility, obligation"
止,止,zhǐ,"demeanor, bearing"
只得,只得,zhǐdé,have to
只顧,只顾,zhǐ gù,"solely preoccupied (with one thing), engrossed, focusing (on sth), to look after only one aspect"
只管,只管,zhǐ guǎn,"solely engrossed in one thing, just (one thing, no need to worry about the rest), simply, by all means, please feel free, do not hesitate (to ask for sth)"
指定,指定,zhǐdìng,"earmark, appointed, specify, set, domicile, appointment, ticket, fix, name, delegate, specified, express, named, consign, designate, assignment, state, depute, appoint, nominate, dictate, assign, destine, determine"
指數,指数,zhǐshù,"exponential, index, index number, index (number), indicant, exponential function, exponent, power, index_number, indicator"
指頭,指头,zhǐ tou,"finger, toe, CL:個|个[ge4]"
指著,指着,zhǐzháo,"Poke"
至於,至于,zhìyū,as for/to
治病,治病,zhì bìng,"to treat an illness"
智慧,智慧,zhìhuì,"lore, sapiency, sconce, wit, intelligence, gumption, savvy, wiseness, soundness, wisdom, grey_matter, sapience"
中等,中等,zhōng děng,"medium"
中華,中华,zhōnghuá,"the Chinese nation, China"
中期,中期,zhōng qī,"middle (of a period of time), medium-term (plan, forecast etc)"
中外,中外,zhōngwài,China and foreign countries
忠心,忠心,zhōng xīn,"good faith, devotion, loyalty, dedication"
鐘頭,钟头,zhōngtóu,hour
腫,肿,zhǒng,"to swell, swelling, swollen"
種種,种种,zhǒng zhǒng,"all kinds of"
粥,粥,yùzhoū,"see 葷粥|荤粥[Xun1 yu4], congee, gruel, porridge, CL:碗[wan3]"
珠寶,珠宝,zhū bǎo,"pearls, jewels, precious stones"
諸位,诸位,zhū wèi,"(pron) everyone, Ladies and Gentlemen, Sirs"
主持人,主持人,zhǔchírén,"anchor, emcee, host, symposiarch, anchorman, director, impresario, chair, chairperson, linkman, presenter, compere, master of ceremonies, moderator"
主角,主角,zhǔjiǎo,"leading role, title_role, star, protagonist, lead, principal, title role, name part"
主流,主流,zhǔliú,"main stream/current, essential/main aspect/trend"
煮,煮,zhǔ,"boil, scald, seethe, poach, cook"
住宅,住宅,zhùzhái,"shebang, dwelling_house, dwelling, roof, abode, residential, home, toft, howff, housing, habitation, homesite, tenement, place, residence, house, property"
駐,驻,zhù,"halt, stay, be stationed at"
柱子,柱子,zhù zi,"pillar, CL:根[gen1]"
祝願,祝愿,zhù yuàn,"to wish"
專用,专用,zhuānyòng,use for special purpose
轉,转,zhuǎn,"turn, revolve, rotate"
轉動,转动,zhuǎndòng,"turn (round), move"
賺,赚,zhuàn,"knock_up, garner, take in, clear, make profit, earn, gain, draw, realize, make a profit, do, bring_in, get, pull_in, make, bring in, pick_up, pull in"
賺錢,赚钱,zhuànqián,"profit, gain, make profit, cash in on, earn money, make money"
裝備,装备,zhuāngbèi,"equipment, outfit"
壯觀,壮观,zhuàngguān,"sublime, spectacular, magnificent"
追究,追究,zhuī jiū,"to investigate, to look into"
捉,捉,zhuō,"clutch, cop, grasp, nip, hold, seize, capture, take hold of, hent, catch"
咨詢,咨询,zī xún,"to consult, to seek advice, consultation, (sales) inquiry (formal)"
自來水,自来水,zìláishuǐ,"running/tap water, running, tap_water, running water, tap water"
自我,自我,zìwǒ,"self, oneself"
自學,自学,zì xué,"self-study, to study on one's own"
自言自語,自言自语,zì yán zì yǔ,"to talk to oneself, to think aloud, to soliloquize"
自在,自在,zìzài,"comfortable, unrestrained, at_ease, free"
宗教,宗教,zōngjiào,"theology, community, religious, cult, creed, faith, religion"
總部,总部,zǒngbù,"base of operations, head office, armory, base, headquarters"
總監,总监,zǒng jiān,"head, director (of an organizational unit), (police) commissioner, inspector-general, rank of local governor in Tang dynasty administration"
總經理,总经理,zǒngjīnglǐ,"CEO, general_manager, chief executive officer, chief operating officer, executive, managing director, general manager, president"
總量,总量,zǒng liàng,"total, overall amount"
走私,走私,zǒusī,smuggle
奏,奏,zoù,"to play music, to achieve, to present a memorial to the emperor (old)"
租金,租金,zū jīn,"rent"
足,足,jùzú,"excessive, foot, to be sufficient, ample"
足以,足以,zúyǐ,sufficient/enough to
族,族,zú,"race, nationality, ethnicity, clan, by extension, social group (e.g. office workers 上班族)"
祖父,祖父,zǔfù,"grandad, gramps, grandfather, grandsire, (paternal) grandfather, granddad, grandpa, granddaddy"
祖國,祖国,zǔguó,"country, China (used only by Chinese), mother_country, China, old_country, fatherland, home, country of origin, mother country, old country, homeland, native land, motherland, metropolis"
祖母,祖母,zǔ mǔ,"father's mother, paternal grandmother"
鑽,钻,zuànzuānzuàn,"an auger, diamond, to drill, to bore, to get into, to make one's way into, to enter (a hole), to thread one's way through, to study intensively, to dig into, to curry favor for personal gain"
最佳,最佳,zuìjiā,"first-rate, best, superlative, optimum"
最終,最终,zuìzhōng,"final, ultimate"
辠,罪,zuìzuì,"variant of 罪[zui4], crime"
罪惡,罪恶,zuì è,"crime, evil, sin"
作,作,zuò,"do, make, rise, write, compose, pretend, affect, feign"
作廢,作废,zuò fèi,"to become invalid, to cancel, to delete, to nullify"
作戰,作战,zuòzhàn,"do battle, war, fight, battle, conduct operations"
座談會,座谈会,zuòtánhuì,"colloquium, symposiac, panel_discussion, an informal discussion meeting, symposium, teach-in, forum, symposia, conversazione, panel discussion"
